,cash-on-hand,receivables-total,inventory,pre-paid-expenses,total-current-assets,net-property-plant-equipment,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,106.00000,2004.00000,232.00000,381.00000,2723.00000,14116.00000,6478.00000,47.00000,21460.00000,24183.00000,2445.00000,11209.00000,154.00000,14676.00000,17121.00000,1.00000,9656.00000,-264.00000,7062.00000,24183.00000
2021-12-31,144.00000,1677.00000,164.00000,166.00000,2151.00000,11172.00000,6143.00000,42.00000,18141.00000,20292.00000,2603.00000,8779.00000,144.00000,11698.00000,14301.00000,1.00000,7551.00000,-171.00000,5991.00000,20292.00000
2020-12-31,202.00000,1315.00000,125.00000,375.00000,2017.00000,9309.00000,5816.00000,38.00000,15851.00000,17868.00000,1890.00000,8978.00000,138.00000,11433.00000,13323.00000,1.00000,6165.00000,-146.00000,4545.00000,17868.00000
2019-12-31,52.00000,1530.00000,120.00000,140.00000,1842.00000,10391.00000,6049.00000,19.00000,17128.00000,18970.00000,2198.00000,10431.00000,91.00000,12942.00000,15140.00000,1.00000,5275.00000,-186.00000,3830.00000,18970.00000
2018-12-31,43.00000,1545.00000,109.00000,64.00000,1761.00000,10214.00000,6142.00000,16.00000,16372.00000,18133.00000,2116.00000,10844.00000,83.00000,12614.00000,14730.00000,1.00000,4101.00000,-237.00000,3403.00000,18133.00000
2017-12-31,352.00000,1233.00000,75.00000,112.00000,1772.00000,8291.00000,4957.00000,10.00000,13258.00000,15030.00000,1668.00000,8717.00000,120.00000,10256.00000,11924.00000,1.00000,3005.00000,-151.00000,3106.00000,15030.00000
2016-12-31,312.00000,920.00000,68.00000,61.00000,1361.00000,6619.00000,4002.00000,6.00000,10627.00000,11988.00000,1184.00000,7193.00000,67.00000,9156.00000,10340.00000,1.00000,1654.00000,-218.00000,1648.00000,11988.00000
2015-12-31,179.00000,930.00000,69.00000,116.00000,1294.00000,6631.00000,4148.00000,10.00000,10789.00000,12083.00000,1233.00000,7555.00000,54.00000,9374.00000,10607.00000,1.00000,1088.00000,-250.00000,1476.00000,12083.00000
2014-12-31,158.00000,940.00000,78.00000,122.00000,1298.00000,6446.00000,4378.00000,7.00000,10831.00000,12129.00000,1478.00000,7344.00000,65.00000,8853.00000,10331.00000,1.00000,503.00000,-74.00000,1798.00000,12129.00000
2013-12-31,175.00000,804.00000,70.00000,53.00000,1362.00000,5795.00000,3971.00000,103.00000,9869.00000,11231.00000,1286.00000,6569.00000,69.00000,8097.00000,9383.00000,1.00000,-37.00000,19.00000,1848.00000,11231.00000
2012-12-31,106.00000,793.00000,68.00000,111.00000,1343.00000,5394.00000,4170.00000,119.00000,9683.00000,11026.00000,1351.00000,6734.00000,65.00000,8101.00000,9452.00000,1.00000,-424.00000,84.00000,1574.00000,11026.00000
2011-12-31,36.00000,464.00000,44.00000,75.00000,723.00000,2983.00000,372.00000,65.00000,3420.00000,4143.00000,864.00000,2647.00000,59.00000,3176.00000,4040.00000,1.00000,-499.00000,75.00000,103.00000,4143.00000
2010-12-31,203.00000,377.00000,39.00000,37.00000,725.00000,2673.00000,227.00000,68.00000,2968.00000,3693.00000,569.00000,2700.00000,59.00000,3144.00000,3713.00000,1.00000,-600.00000,87.00000,-20.00000,3693.00000
2009-12-31,169.00000,337.00000,44.00000,89.00000,705.00000,2848.00000,231.00000,75.00000,3154.00000,3859.00000,461.00000,2950.00000,43.00000,3417.00000,3878.00000,1.00000,-574.00000,67.00000,-19.00000,3859.00000
