,cash-on-hand,receivables-total,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,4749.00000,12672.00000,4406.00000,21826.00000,55485.00000,7740.00000,147167.00000,25057.00000,235449.00000,257275.00000,27887.00000,98240.00000,20395.00000,147760.00000,175648.00000,51.00000,51609.00000,-2611.00000,81627.00000,257275.00000
2021-12-31,8711.00000,12008.00000,4088.00000,24807.00000,54047.00000,8687.00000,163134.00000,25230.00000,251098.00000,275905.00000,29348.00000,97888.00000,20620.00000,149068.00000,178415.00000,54.00000,61902.00000,1480.00000,97490.00000,275905.00000
2020-12-31,11740.00000,11466.00000,3535.00000,26741.00000,51995.00000,8267.00000,165423.00000,21443.00000,247128.00000,273869.00000,28796.00000,105782.00000,18222.00000,153335.00000,182131.00000,54.00000,56438.00000,1884.00000,91738.00000,273869.00000
2019-12-31,5500.00000,11292.00000,8600.00000,25392.00000,48322.00000,7683.00000,164218.00000,17799.00000,238022.00000,263414.00000,30292.00000,102931.00000,16765.00000,149248.00000,179540.00000,54.00000,50695.00000,1047.00000,83874.00000,263414.00000
2018-12-31,3814.00000,11104.00000,6930.00000,21848.00000,44437.00000,7883.00000,163877.00000,13639.00000,229836.00000,251684.00000,27603.00000,107345.00000,15329.00000,151579.00000,179182.00000,54.00000,41983.00000,-368.00000,72502.00000,251684.00000
2017-12-31,3428.00000,8834.00000,4081.00000,16343.00000,38470.00000,6931.00000,114277.00000,11441.00000,171119.00000,187462.00000,21993.00000,59422.00000,10972.00000,96010.00000,118003.00000,55.00000,38202.00000,379.00000,69459.00000,187462.00000
2016-12-31,3301.00000,7955.00000,5105.00000,16361.00000,36253.00000,5247.00000,112618.00000,10021.00000,164139.00000,180500.00000,21535.00000,55566.00000,10925.00000,102791.00000,124326.00000,56.00000,23076.00000,98.00000,56174.00000,180500.00000
2015-12-31,2295.00000,6896.00000,3112.00000,12303.00000,33665.00000,3224.00000,109255.00000,8127.00000,154271.00000,166574.00000,18178.00000,48994.00000,10637.00000,94418.00000,112596.00000,29.00000,21413.00000,-174.00000,53978.00000,166574.00000
2014-12-31,4512.00000,6321.00000,2698.00000,13531.00000,30953.00000,3135.00000,103660.00000,7907.00000,145655.00000,159186.00000,17410.00000,43864.00000,10819.00000,88708.00000,106118.00000,30.00000,21539.00000,-146.00000,53068.00000,159186.00000
2013-12-31,5291.00000,6376.00000,2408.00000,14075.00000,29840.00000,3770.00000,103791.00000,7337.00000,144738.00000,158813.00000,18912.00000,44567.00000,11384.00000,88843.00000,107755.00000,30.00000,19235.00000,56.00000,51058.00000,158813.00000
2012-12-31,12415.00000,5521.00000,2055.00000,19991.00000,27232.00000,6325.00000,104189.00000,7234.00000,144980.00000,164971.00000,16714.00000,38082.00000,13271.00000,98461.00000,115175.00000,31.00000,16280.00000,15.00000,49796.00000,164971.00000
2011-12-31,1674.00000,4652.00000,2247.00000,8573.00000,27559.00000,9854.00000,104415.00000,7417.00000,149245.00000,157818.00000,13241.00000,37942.00000,13034.00000,96922.00000,110163.00000,32.00000,13971.00000,-152.00000,47655.00000,157818.00000
2010-12-31,5984.00000,1855.00000,1047.00000,8886.00000,23515.00000,6670.00000,77831.00000,1632.00000,109648.00000,118534.00000,8234.00000,29615.00000,7862.00000,65866.00000,74100.00000,32.00000,12158.00000,-99.00000,44434.00000,118534.00000
2009-12-31,721.00000,1711.00000,551.00000,3223.00000,23855.00000,5947.00000,78490.00000,1218.00000,109510.00000,112733.00000,7249.00000,27940.00000,6767.00000,62673.00000,69922.00000,32.00000,10005.00000,-46.00000,42811.00000,112733.00000
