,cash-on-hand,receivables-total,inventory,pre-paid-expenses,total-current-assets,net-property-plant-equipment,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,other-share-holders-equity,total-share-holder-equity,total-liabilities-share-holders-equity
2022-06-30,3657.73200,4313.81800,3966.29400,347.39100,12285.24000,1647.58700,1616.96300,1645.84700,4910.39700,17195.63000,4564.75900,4998.44900,1354.05800,6352.50700,10917.27000,0.13700,18454.72000,-109.98200,,6278.36600,17195.63000
2021-06-30,5729.13500,3026.43000,2689.29400,207.52800,11652.39000,1303.47900,1622.49900,1313.78700,4239.76500,15892.15000,3527.86700,4990.33300,1346.76400,6337.09700,9864.96400,0.14300,14684.91000,-64.12800,,6027.18800,15892.15000
2020-06-30,6710.25200,2097.09900,1900.02400,146.16000,10853.54000,1071.49900,1652.96800,981.04500,3705.51200,14559.05000,3162.44200,4970.84800,1242.26800,6213.11600,9375.55800,0.14500,11520.59000,-94.21100,10.99500,5183.48900,14559.05000
2019-06-30,5431.20300,1455.52200,1540.14000,133.54400,8560.40900,1059.07700,1701.54700,680.30000,3440.92400,12001.33000,2371.65000,3822.76800,1083.61100,4906.37900,7278.02900,0.14400,9930.91900,-64.03000,49.43900,4723.30400,12001.33000
2018-06-30,4949.59500,2176.93600,1876.16200,147.21800,9149.91100,902.54700,1802.74000,624.28000,3329.56700,12479.48000,3150.30800,1806.56200,942.56500,2749.12700,5899.43500,0.15700,8261.19400,-57.44900,78.19200,6580.04300,12479.48000
2017-06-30,6041.16200,1673.39800,1232.91600,195.02200,9142.49800,685.59500,1796.66800,498.00400,2980.26700,12122.76000,2950.11500,1784.97400,400.36400,2185.33800,5135.45300,0.16200,6249.69100,-61.70000,169.86100,6987.31200,12122.76000
2016-06-30,6827.93400,1262.14500,971.91100,151.16000,9213.15000,639.60800,1951.19700,460.36000,3051.16500,12264.32000,2418.04100,3378.12900,366.07600,3744.20500,6162.24600,0.16000,4820.10900,-69.33300,207.55200,6102.06900,12264.32000
2015-06-30,4076.48600,1093.58200,943.34600,157.43500,6270.84900,621.41800,2115.64900,356.73200,3093.79900,9364.64800,2631.36100,1001.38200,386.95300,1388.33500,4019.69600,0.15900,4096.85500,-57.79600,241.80800,5344.95200,9364.64800
2014-06-30,3065.64400,800.61600,740.50300,176.89900,4783.66200,543.49600,2360.30300,305.84500,3209.64400,7993.30600,1582.00100,1000.55100,381.01900,1381.57000,2963.57100,0.16200,3575.73700,-28.65500,,5029.73500,7993.30600
2013-06-30,2497.21800,602.62400,559.31700,134.67000,3793.82900,603.91000,2526.54100,326.03500,3456.48600,7250.31500,1404.47500,976.17600,380.79200,1356.96800,2761.44300,0.16300,2972.68800,-28.69300,,4488.87200,7250.31500
2012-06-30,2862.68300,765.81800,632.85300,105.97300,4415.10900,584.59600,2686.73000,318.21700,3589.54300,8004.65200,1426.92800,952.12600,493.81700,1445.94300,2872.87100,0.18700,2858.80900,-33.81800,,5131.78100,8004.65200
2011-06-30,2122.24700,590.56800,396.60700,85.40800,3273.26500,270.45800,216.61600,289.63600,780.60200,4053.86700,680.75900,738.48800,164.77500,903.26290,1584.02200,0.12400,2690.08600,9.76100,,2469.84500,4053.86700
2010-06-30,826.45700,499.89000,318.47900,65.67700,1756.66100,200.33600,236.90600,267.27100,730.73100,2487.39200,558.65700,17.64500,142.95500,160.60000,719.25700,0.12600,1966.33600,-69.84900,,1768.13500,2487.39200
2009-06-30,579.38800,253.58500,233.41000,101.71400,1237.14000,215.66600,260.78700,262.58400,756.04390,1993.18400,382.07600,40.88600,117.13300,158.01900,540.09500,0.12700,1624.24600,-52.82200,,1453.08900,1993.18400
