,cash-on-hand,receivables-total,inventory,pre-paid-expenses,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,other-share-holders-equity,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,9229.00000,11254.00000,3579.00000,4401.00000,,28463.00000,4935.00000,241.00000,99595.00000,5571.00000,110342.00000,138805.00000,29538.00000,59135.00000,30655.00000,91980.00000,121518.00000,18.00000,4784.00000,-2199.00000,,17287.00000,138805.00000
2021-12-31,9830.00000,9977.00000,3128.00000,4993.00000,,27928.00000,5110.00000,277.00000,108330.00000,4884.00000,118601.00000,146529.00000,35194.00000,64189.00000,28701.00000,95899.00000,131093.00000,18.00000,3127.00000,-2899.00000,,15436.00000,146529.00000
2020-12-31,8479.00000,8822.00000,3310.00000,3562.00000,,24173.00000,5248.00000,293.00000,116000.00000,4851.00000,126392.00000,150565.00000,28661.00000,77554.00000,27607.00000,108807.00000,137468.00000,18.00000,1055.00000,-3117.00000,,13097.00000,150565.00000
2019-12-31,39924.00000,5428.00000,1813.00000,2354.00000,,49519.00000,2962.00000,93.00000,34253.00000,2288.00000,39596.00000,89115.00000,15585.00000,62975.00000,17597.00000,81702.00000,97287.00000,18.00000,4717.00000,-3596.00000,,-8172.00000,89115.00000
2018-12-31,8061.00000,5384.00000,1605.00000,1895.00000,,16945.00000,2883.00000,1420.00000,36896.00000,1208.00000,42407.00000,59352.00000,17239.00000,35002.00000,14490.00000,50559.00000,67798.00000,18.00000,3368.00000,-2480.00000,,-8446.00000,59352.00000
2017-12-31,9789.00000,5088.00000,1605.00000,4741.00000,,21223.00000,2803.00000,2090.00000,43344.00000,1326.00000,49563.00000,70786.00000,16641.00000,30953.00000,15605.00000,49048.00000,65689.00000,18.00000,5459.00000,-2727.00000,,5097.00000,70786.00000
2016-12-31,6423.00000,4758.00000,1444.00000,3562.00000,,16187.00000,2604.00000,1783.00000,44313.00000,1212.00000,49912.00000,66099.00000,9781.00000,36440.00000,8352.00000,51682.00000,61463.00000,18.00000,4378.00000,-2586.00000,,4636.00000,66099.00000
2015-12-31,8407.00000,4730.00000,1719.00000,1458.00000,,16314.00000,2565.00000,145.00000,32877.00000,1149.00000,36736.00000,53050.00000,10894.00000,29240.00000,3695.00000,38211.00000,49105.00000,17.00000,2248.00000,-2561.00000,,3945.00000,53050.00000
2014-12-31,8374.00000,3735.00000,1124.00000,1952.00000,,16081.00000,2485.00000,92.00000,7375.00000,1480.00000,11432.00000,27513.00000,11393.00000,10538.00000,3681.00000,14378.00000,25771.00000,16.00000,535.00000,-2031.00000,,1742.00000,27513.00000
2013-12-31,9895.00000,4803.00000,1150.00000,1234.00000,,17848.00000,2298.00000,118.00000,8167.00000,767.00000,11350.00000,29198.00000,6879.00000,14292.00000,3535.00000,17827.00000,24706.00000,16.00000,1567.00000,-442.00000,,4492.00000,29198.00000
2012-12-31,7976.00000,4298.00000,1091.00000,1320.00000,,15354.00000,2247.00000,119.00000,8453.00000,835.00000,11654.00000,27008.00000,6776.00000,14630.00000,2239.00000,16869.00000,23645.00000,0.00000,,-350.00000,3713.00000,3363.00000,27008.00000
2011-12-31,653.00000,3817.00000,872.00000,543.00000,,7354.00000,2144.00000,229.00000,9010.00000,784.00000,12167.00000,19521.00000,5897.00000,32.00000,1660.00000,1692.00000,7589.00000,,,-25.00000,11957.00000,11932.00000,19521.00000
2010-12-31,10.77500,3373.10400,836.27000,489.04300,1872.49000,8218.49300,2357.56300,137.36000,9888.36000,,12916.21000,21134.71000,3761.24800,,1670.45800,1670.45800,5431.70600,,,288.28900,15414.71000,15703.00000,21134.71000
2009-12-31,,,,,,,,,0.00000,,,0.00000,,,,,0.00000,0.00000,,,0.00000,0.00000,0.00000
