,cash-on-hand,receivables-total,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,5972.00000,2871.00000,1058.00000,574.00000,10475.00000,29429.00000,1434.00000,30896.00000,41371.00000,5513.00000,3795.00000,2574.00000,11079.00000,16592.00000,206.00000,18472.00000,-8.00000,24779.00000,41371.00000
2021-12-31,5209.00000,2335.00000,584.00000,456.00000,8584.00000,28426.00000,1215.00000,29652.00000,38236.00000,4042.00000,5072.00000,2193.00000,12014.00000,16056.00000,206.00000,15919.00000,-12.00000,22180.00000,38236.00000
2020-12-31,3329.00000,1545.00000,629.00000,359.00000,5862.00000,28599.00000,1342.00000,29943.00000,35805.00000,3460.00000,5035.00000,2149.00000,12043.00000,15503.00000,206.00000,14170.00000,-12.00000,20302.00000,35805.00000
2019-12-31,2027.97200,2153.32300,767.29700,324.74700,5273.33900,30364.60000,1484.31100,31851.27000,37124.61000,4486.98800,4160.91900,1789.88400,10996.90000,15483.89000,205.82200,15648.60000,-4.65200,21640.72000,37124.61000
2018-12-31,1555.63400,2343.12400,859.35900,299.27300,5057.39000,28075.52000,800.78800,28877.08000,33934.47000,3728.36400,5170.16900,1258.35500,10841.92000,14570.29000,205.80400,13543.13000,-1.35800,19364.19000,33934.47000
2017-12-31,834.22800,1710.85100,483.86500,250.16400,3279.10800,25665.04000,871.42700,26553.97000,29833.08000,2725.54200,6030.83600,1275.21300,10824.26000,13549.80000,205.78800,10593.53000,-19.29700,16283.27000,29833.08000
2016-12-31,1599.89500,1228.62500,350.01700,206.67900,3385.21600,25707.08000,190.76700,25913.99000,29299.20000,2027.29100,6979.77900,1282.14200,13290.33000,15317.62000,205.77000,8398.11800,-19.01000,13981.58000,29299.20000
2015-12-31,718.50600,971.31400,598.93500,155.67700,2592.24400,24210.72000,167.50500,24378.23000,26970.47000,1819.28700,6648.91100,971.33500,12208.15000,14027.43000,205.50200,9870.81600,-33.33800,12943.04000,26970.47000
2014-12-31,2087.21300,1850.93200,706.59700,751.66100,5416.02100,29172.64000,174.02200,29346.67000,34762.69000,3384.30800,5903.35400,939.49700,13665.80000,17050.11000,205.49200,14763.10000,-23.05600,17712.58000,34762.69000
2013-12-31,1318.20900,1663.65000,563.26800,282.28200,4072.01500,26148.84000,353.38700,26502.22000,30574.24000,2861.71600,5906.64200,865.06700,12294.06000,15155.78000,202.73200,12168.28000,415.83400,15418.46000,30574.24000
2012-12-31,876.43500,1685.78100,683.18700,344.48100,3589.88400,23337.68000,409.01300,23746.70000,27336.58000,2924.05800,5905.60200,894.75800,11127.76000,14051.81000,202.72000,10175.63000,439.89500,13284.76000,27336.58000
2011-12-31,615.72600,1477.83600,590.59400,569.78200,3253.93800,21288.82000,296.03500,21584.86000,24838.80000,2522.31900,5009.16600,799.18900,9675.57400,12197.89000,202.69300,9789.34500,401.74600,12640.90000,24838.80000
2010-12-31,788.85300,1168.19500,415.79200,145.34600,2527.44600,18680.90000,415.88700,19096.79000,21624.23000,2220.09900,5003.34100,667.45500,9172.50200,11392.60000,202.54200,8870.17900,440.07100,10231.63000,21624.23000
2009-12-31,685.75100,808.42600,261.72300,83.64100,1839.54100,16139.22000,139.90100,16279.13000,18118.67000,1345.56000,2760.00000,632.65200,6775.06500,8120.62500,202.52600,8866.74700,339.72000,9998.04200,18118.67000
