,cash-on-hand,receivables-total,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,345.38600,919.33500,1044.28400,219.05300,2528.05800,635.64100,382.47900,8714.64600,9903.06200,12431.12000,1564.20200,2158.92800,537.21100,3390.40600,4954.60800,2.70000,8857.48500,-574.94500,7476.51200,12431.12000
2021-12-31,346.77200,829.21300,769.17500,183.60500,2128.76500,617.13800,375.00500,8607.35500,9769.42200,11898.19000,1563.31400,2229.14800,514.16600,3462.98900,5026.30300,2.68900,7900.11300,-470.44400,6871.88400,11898.19000
2020-12-31,1212.82200,597.47200,559.17100,153.00500,2522.47000,526.53000,292.62500,6848.62500,7835.01300,10357.48000,1075.91500,2281.44100,517.30300,3332.22200,4408.13700,2.67600,7094.65600,-504.46800,5949.34600,10357.48000
2019-12-31,393.03000,744.76000,624.56700,263.41400,2025.77100,548.90800,279.79000,6810.41100,7818.78900,9844.55900,1425.85800,2271.29200,495.77700,3303.20900,4729.06700,2.66200,6387.61200,-533.13900,5115.49200,9844.55900
2018-12-31,353.97500,732.83900,624.74400,124.58600,1836.14400,554.13000,256.21000,6015.80400,6826.14400,8662.28800,1258.70400,2273.83700,359.48900,3161.66200,4420.36600,2.64000,5653.81100,-551.08800,4241.92200,8662.28800
2017-12-31,646.30000,668.17600,540.50400,79.67500,1934.65500,493.29600,239.12900,5128.98400,5861.40900,7796.06400,1138.66300,1866.16600,251.07600,2629.76800,3768.43100,2.63100,5002.41900,-429.17600,4027.63300,7796.06400
2016-12-31,717.25900,592.32600,492.10400,76.49700,1928.19000,473.23000,146.28300,4552.97100,5172.48400,7100.67400,924.44100,2062.64400,235.30000,2919.72000,3844.16100,2.61500,4403.68300,-542.38900,3256.51300,7100.67400
2015-12-31,381.00500,603.29500,514.45100,73.35200,1618.82700,484.54800,177.48100,4379.59400,5041.62300,6660.45000,1024.02100,1553.11600,204.64100,2381.80300,3405.82400,2.60800,3974.79300,-405.63100,3254.62600,6660.45000
2014-12-31,377.61500,585.46200,495.89600,74.57800,1578.60400,448.44600,154.32200,4239.59100,4842.35900,6420.96300,936.14400,1427.82500,199.04800,2245.25800,3181.40200,2.58900,3469.92300,-266.89400,3239.56100,6420.96300
2013-12-31,295.20300,536.70100,452.84800,45.56200,1369.12900,402.79000,223.69400,3882.28900,4508.77300,5877.90200,874.54500,1141.75000,166.93100,1867.23600,2741.78100,2.58100,2966.01500,-65.23900,3136.12100,5877.90200
2012-12-31,157.98400,507.85000,428.93500,36.67300,1164.74300,383.48300,123.86400,3517.96600,4025.31300,5190.05600,879.96900,1133.12100,158.96300,1774.93600,2654.90500,2.56500,2507.41900,-151.33000,2535.15100,5190.05600
2011-12-31,170.39200,438.24500,380.47100,40.74300,1059.11900,325.32900,145.84800,2789.19400,3260.37100,4319.49000,628.87500,1123.41600,125.30600,1637.81000,2266.68500,2.53800,2101.61500,-157.26300,2052.80500,4319.49000
2010-12-31,168.85300,399.91300,335.25300,43.36700,974.49200,318.12600,191.09600,2335.20100,2844.42300,3818.91500,550.85900,1071.36000,110.02600,1492.85200,2043.71100,1.68100,1755.74200,-91.95800,1775.20400,3818.91500
2009-12-31,251.35000,331.38300,311.54200,44.48600,969.43000,310.05300,167.37000,1799.17900,2276.60200,3246.03200,424.28200,955.88000,92.49200,1254.72600,1679.00800,1.66500,1500.47100,-75.28100,1567.02400,3246.03200
