,cash-on-hand,receivables-total,inventory,pre-paid-expenses,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,other-share-holders-equity,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,22732.00000,10952.00000,8981.00000,,5017.00000,51259.00000,16274.00000,15069.00000,94745.00000,13163.00000,145944.00000,197205.00000,42138.00000,32884.00000,22992.00000,59149.00000,101288.00000,476.00000,125656.00000,-8304.00000,,95916.00000,197205.00000
2021-12-31,31069.00000,11479.00000,9059.00000,,3820.00000,59693.00000,14882.00000,21526.00000,74354.00000,7679.00000,121782.00000,181476.00000,42671.00000,36195.00000,21074.00000,61342.00000,104013.00000,473.00000,103394.00000,-5897.00000,,77462.00000,181476.00000
2020-12-31,12223.00000,7913.00000,8020.00000,,3646.00000,35067.00000,13745.00000,20262.00000,77893.00000,4879.00000,119162.00000,154229.00000,25920.00000,37133.00000,18229.00000,64836.00000,90756.00000,470.00000,90392.00000,-5310.00000,,63473.00000,154229.00000
2019-12-31,9646.00000,6772.00000,7068.00000,,2357.00000,32803.00000,12969.00000,20147.00000,82138.00000,4199.00000,134791.00000,167594.00000,37304.00000,35955.00000,19020.00000,66844.00000,104148.00000,468.00000,97670.00000,-11640.00000,,63447.00000,167594.00000
2018-12-31,18833.00000,8025.00000,7508.00000,,12186.00000,49926.00000,13385.00000,2767.00000,88622.00000,2799.00000,109497.00000,159422.00000,31858.00000,32909.00000,20587.00000,63806.00000,95664.00000,467.00000,89554.00000,-11275.00000,,63758.00000,159422.00000
2017-12-31,19992.00000,8221.00000,7578.00000,,5351.00000,41141.00000,13865.00000,7015.00000,104693.00000,3227.00000,130655.00000,171797.00000,30427.00000,33538.00000,24846.00000,69714.00000,100141.00000,464.00000,85291.00000,-9321.00000,,71656.00000,171797.00000
2016-12-31,17850.00000,8225.00000,6783.00000,,6091.00000,38949.00000,13318.00000,7116.00000,107097.00000,3323.00000,132666.00000,171615.00000,31115.00000,31398.00000,10337.00000,80660.00000,111776.00000,461.00000,71774.00000,-11036.00000,,59840.00000,171615.00000
2015-12-31,23290.00000,8176.00000,7513.00000,,4825.00000,43804.00000,13766.00000,15999.00000,88598.00000,3420.00000,123577.00000,167381.00000,29399.00000,28740.00000,9249.00000,72985.00000,102384.00000,459.00000,71993.00000,-9522.00000,,64998.00000,167381.00000
2014-12-31,36122.00000,8401.00000,5663.00000,,2843.00000,55595.00000,11762.00000,17518.00000,77235.00000,3513.00000,111972.00000,167566.00000,21587.00000,31541.00000,9236.00000,74358.00000,95944.00000,455.00000,72176.00000,-7316.00000,,71622.00000,167566.00000
2013-12-31,32408.00000,9357.00000,6166.00000,,3689.00000,56244.00000,12397.00000,16406.00000,81904.00000,3596.00000,115857.00000,172101.00000,23366.00000,30462.00000,8760.00000,72115.00000,95481.00000,453.00000,69732.00000,-3271.00000,,76620.00000,172101.00000
2012-12-31,32399.00000,10675.00000,6076.00000,,3567.00000,64831.00000,13213.00000,14149.00000,88807.00000,3233.00000,120967.00000,185798.00000,29186.00000,31036.00000,11432.00000,74934.00000,104120.00000,448.00000,54240.00000,-5953.00000,,81678.00000,185798.00000
2011-12-31,26452.00000,13058.00000,6610.00000,,9380.00000,60817.00000,15921.00000,9814.00000,95753.00000,5697.00000,127185.00000,188002.00000,28909.00000,34926.00000,12986.00000,76472.00000,105381.00000,445.00000,46210.00000,-4129.00000,-3.00000,82621.00000,188002.00000
2010-12-31,28012.00000,13380.00000,8275.00000,,9440.00000,61013.00000,18645.00000,9747.00000,101483.00000,4126.00000,134001.00000,195014.00000,28636.00000,38410.00000,11846.00000,78113.00000,106749.00000,444.00000,42716.00000,-3440.00000,-7.00000,88265.00000,195014.00000
2009-12-31,25969.00000,14645.00000,12403.00000,6962.00000,496.00000,61670.00000,22780.00000,13122.00000,110391.00000,4986.00000,151279.00000,212949.00000,37225.00000,43193.00000,14611.00000,85278.00000,122503.00000,443.00000,40426.00000,552.00000,-333.00000,90446.00000,212949.00000
