,cash-on-hand,receivables-total,pre-paid-expenses,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,902.00000,25067.00000,1575.00000,27544.00000,1958.00000,2403.00000,49226.00000,1833.00000,56325.00000,83869.00000,26458.00000,20950.00000,1171.00000,25884.00000,52342.00000,8.00000,17376.00000,-1189.00000,31527.00000,83869.00000
2021-12-31,835.00000,16512.00000,1523.00000,18870.00000,1742.00000,2561.00000,50442.00000,1823.00000,57379.00000,76249.00000,18295.00000,20729.00000,1103.00000,26282.00000,44577.00000,8.00000,14846.00000,-745.00000,31672.00000,76249.00000
2020-12-31,906.00000,14003.00000,1310.00000,16219.00000,1628.00000,2756.00000,51680.00000,1644.00000,58400.00000,74619.00000,15637.00000,20300.00000,964.00000,25912.00000,41549.00000,8.00000,13441.00000,-387.00000,33070.00000,74619.00000
2019-12-31,893.00000,2782.00000,1503.00000,17046.00000,1606.00000,2720.00000,53680.00000,1954.00000,60493.00000,77539.00000,15727.00000,21612.00000,1096.00000,27217.00000,42944.00000,8.00000,12528.00000,-180.00000,34595.00000,77539.00000
2018-12-31,415.00000,1535.00000,274.00000,2224.00000,398.00000,65.00000,7845.00000,311.00000,9038.00000,11262.00000,2010.00000,5955.00000,259.00000,6959.00000,8969.00000,8.00000,11635.00000,-67.00000,2293.00000,11262.00000
2017-12-31,325.00000,997.00000,603.00000,1975.00000,390.00000,,7472.00000,368.00000,8314.00000,10289.00000,1938.00000,4897.00000,171.00000,5620.00000,7558.00000,8.00000,10240.00000,-54.00000,2731.00000,10289.00000
2016-12-31,300.00000,902.00000,526.00000,1728.00000,405.00000,,7206.00000,404.00000,8015.00000,9743.00000,1820.00000,4467.00000,153.00000,5382.00000,7202.00000,4.00000,8994.00000,-76.00000,2541.00000,9743.00000
2015-12-31,275.00000,802.00000,429.00000,1506.00000,396.00000,,7072.00000,366.00000,7834.00000,9340.00000,1502.00000,4288.00000,164.00000,5178.00000,6680.00000,4.00000,8064.00000,-74.00000,2660.00000,9340.00000
2014-12-31,294.00000,798.00000,352.00000,1444.00000,317.00000,,7212.00000,335.00000,7864.00000,9308.00000,1486.00000,3698.00000,129.00000,4527.00000,6013.00000,4.00000,7352.00000,-63.00000,3295.00000,9308.00000
2013-12-31,400.00000,751.00000,366.00000,1572.00000,266.00000,,7358.00000,317.00000,7941.00000,9513.00000,1332.00000,3756.00000,127.00000,4596.00000,5928.00000,4.00000,6598.00000,-60.00000,3585.00000,9513.00000
2012-12-31,358.00000,661.00000,349.00000,1443.00000,248.00000,,6449.00000,357.00000,7054.00000,8497.00000,1105.00000,3228.00000,109.00000,3975.00000,5080.00000,4.00000,5950.00000,-60.00000,3417.00000,8497.00000
2011-12-31,337.00000,666.00000,309.00000,1356.00000,258.00000,,6601.00000,333.00000,7192.00000,8548.00000,1384.00000,3216.00000,73.00000,3906.00000,5290.00000,2.00000,5339.00000,-78.00000,3258.00000,8548.00000
2010-12-31,563.00000,572.00000,245.00000,1417.00000,267.00000,,6256.00000,341.00000,6864.00000,8281.00000,891.00000,3353.00000,181.00000,4161.00000,5052.00000,2.00000,4867.00000,-50.00000,3229.00000,8281.00000
2009-12-31,363.00000,554.00000,314.00000,1277.00000,293.00000,,6377.00000,431.00000,7101.00000,8378.00000,1161.00000,3382.00000,229.00000,4191.00000,5352.00000,2.00000,4371.00000,-69.00000,3026.00000,8378.00000
