,cash-on-hand,receivables-total,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,other-share-holders-equity,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,528.00000,3316.00000,1505.00000,4011.00000,9360.00000,19822.00000,202.00000,3367.00000,37549.00000,46909.00000,7839.00000,4466.00000,18987.00000,27698.00000,35537.00000,13274.00000,-496.00000,-1760.00000,,11372.00000,46909.00000
2021-12-31,576.00000,2421.00000,1288.00000,3696.00000,7981.00000,19612.00000,174.00000,2666.00000,40105.00000,48086.00000,7996.00000,4894.00000,19032.00000,28476.00000,36472.00000,,,-31.00000,11250.00000,11614.00000,48086.00000
2020-12-31,315.00000,1803.00000,1211.00000,3618.00000,6947.00000,22214.00000,184.00000,2721.00000,41147.00000,48094.00000,5219.00000,5890.00000,17795.00000,28199.00000,33418.00000,,2805.00000,-30.00000,,14676.00000,48094.00000
2019-12-31,,,,,,,,,,0.00000,,,,,0.00000,0.00000,,,0.00000,0.00000,0.00000
