,cash-on-hand,receivables-total,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,other-share-holders-equity,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,2488.00000,5958.00000,4587.00000,1559.00000,14592.00000,4538.00000,10110.00000,4284.00000,19589.00000,34181.00000,11075.00000,5980.00000,1412.00000,8581.00000,19656.00000,,-10761.00000,-2971.00000,,14525.00000,34181.00000
2021-12-31,3853.00000,5651.00000,3979.00000,1582.00000,15065.00000,4877.00000,10090.00000,4541.00000,20243.00000,35308.00000,9128.00000,6687.00000,1510.00000,9434.00000,18562.00000,,-10160.00000,-2385.00000,,16746.00000,35308.00000
2020-12-31,4132.00000,5622.00000,4421.00000,2280.00000,16455.00000,5358.00000,10374.00000,4867.00000,21552.00000,38007.00000,10227.00000,6744.00000,1391.00000,9538.00000,19765.00000,,-9942.00000,-1778.00000,,18242.00000,38007.00000
2019-12-31,3249.00000,6416.00000,4608.00000,949.00000,15222.00000,6240.00000,26071.00000,4882.00000,38147.00000,53369.00000,10014.00000,6301.00000,1425.00000,8856.00000,18870.00000,,,-1636.00000,,34499.00000,53369.00000
2018-12-31,3723.00000,5969.00000,4620.00000,659.00000,14971.00000,6228.00000,26436.00000,3732.00000,37468.00000,52439.00000,9020.00000,6285.00000,960.00000,8406.00000,17426.00000,,25.00000,-1219.00000,,35013.00000,52439.00000
2017-12-31,7030.00000,6015.00000,4507.00000,872.00000,18424.00000,6959.00000,26285.00000,4117.00000,38076.00000,56500.00000,9227.00000,6312.00000,889.00000,8863.00000,18090.00000,,-103.00000,-703.00000,,38410.00000,56500.00000
2016-12-31,981.00000,2563.00000,3224.00000,633.00000,7401.00000,2325.00000,9455.00000,2540.00000,14320.00000,21721.00000,4934.00000,38.00000,495.00000,1932.00000,6866.00000,,,-1894.00000,16582.00000,14855.00000,21721.00000
2015-12-31,2324.00000,3217.00000,2917.00000,810.00000,9268.00000,6693.00000,6653.00000,1466.00000,14812.00000,24080.00000,2775.00000,3890.00000,135.00000,4923.00000,7698.00000,437.00000,9614.00000,-1005.00000,,16382.00000,24080.00000
2014-12-31,1740.00000,5418.00000,4074.00000,395.00000,12045.00000,9063.00000,6893.00000,826.00000,16782.00000,28827.00000,4637.00000,3913.00000,178.00000,5460.00000,10097.00000,434.00000,11878.00000,-749.00000,,18730.00000,28827.00000
2013-12-31,1399.00000,5138.00000,3884.00000,494.00000,11295.00000,9076.00000,6849.00000,714.00000,16639.00000,27934.00000,4578.00000,3882.00000,158.00000,5444.00000,10022.00000,438.00000,10438.00000,-504.00000,,17912.00000,27934.00000
2012-12-31,1015.00000,4815.00000,3781.00000,540.00000,10417.00000,8707.00000,6951.00000,614.00000,16272.00000,26689.00000,4124.00000,3837.00000,136.00000,5297.00000,9421.00000,441.00000,9609.00000,-476.00000,,17268.00000,26689.00000
2011-12-31,1050.00000,4878.00000,3222.00000,396.00000,9797.00000,7415.00000,7099.00000,536.00000,15050.00000,24847.00000,3502.00000,3845.00000,148.00000,5381.00000,8883.00000,437.00000,8561.00000,-555.00000,,15964.00000,24847.00000
2010-12-31,1706.00000,3942.00000,2594.00000,231.00000,8707.00000,6310.00000,7438.00000,531.00000,14279.00000,22986.00000,3139.00000,3554.00000,164.00000,5561.00000,8700.00000,432.00000,7083.00000,-420.00000,,14286.00000,22986.00000
2009-12-31,1595.00000,2331.00000,1836.00000,195.00000,6225.00000,3161.00000,1613.00000,440.00000,5214.00000,11439.00000,1613.00000,1785.00000,69.00000,2542.00000,4155.00000,312.00000,6512.00000,-414.00000,,7284.00000,11439.00000
