,cash-on-hand,total-current-assets,net-property-plant-equipment,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,61.07100,61.07100,10943.91000,,236.18300,11180.10000,11241.17000,615.84300,4414.90300,20.67100,4435.57400,5051.41700,1.15200,-1188.85400,-10.05200,6189.74800,11241.17000
2021-12-31,130.59800,130.59800,10856.08000,,298.50800,11154.58000,11285.18000,584.40000,4516.69000,30.18500,4546.87500,5131.27500,1.15100,-1255.80700,-11.13200,6153.90700,11285.18000
2020-12-31,35.61500,35.61500,10967.12000,,192.06100,11159.18000,11194.79000,528.27400,4562.71200,15.39700,4578.10900,5106.38300,1.14100,-1294.18200,-12.12800,6088.40800,11194.79000
2019-12-31,70.54100,70.54100,10987.13000,,172.78100,11159.91000,11230.45000,472.26200,4454.59800,14.13100,4468.72900,4940.99100,1.14000,-1085.47900,-13.17800,6289.45900,11230.45000
2018-12-31,51.67300,51.67300,11151.70000,,120.40700,11272.11000,11323.78000,413.85000,4528.32800,9.41400,4537.74200,4951.59200,1.13600,-989.26300,-0.21200,6372.18900,11323.78000
2017-12-31,88.86700,88.86700,11261.92000,,141.12800,11403.05000,11491.92000,405.56000,4502.05700,10.40800,4512.46500,4918.02500,1.13400,-784.50000,2.15700,6573.89400,11491.92000
2016-12-31,121.80000,121.80000,11341.86000,,140.82900,11482.69000,11604.49000,452.60500,4499.71200,10.07300,4509.78500,4962.39000,1.13300,-707.47900,1.14400,6642.10100,11604.49000
2015-12-31,63.64100,63.64100,6718.36600,1.60700,58.93500,6784.14000,6847.78100,232.15900,3427.56800,30.23100,3457.79900,3689.95800,0.75300,-634.14100,-1.58900,3157.82300,6847.78100
2014-12-31,54.83400,54.83400,6697.50800,2.32100,61.11900,6766.94400,6821.77800,227.43900,3512.69900,29.82900,3542.52800,3769.96700,0.75200,-729.08600,-0.41200,3051.81100,6821.77800
2013-12-31,133.69400,133.69400,6556.30300,4.10600,130.39800,6708.23100,6841.92500,221.33500,3472.71800,34.33500,3507.05300,3728.38800,0.74700,-653.59300,0.10800,3113.53700,6841.92500
2012-12-31,9.88300,9.88300,2689.23400,4.10600,34.00300,2741.18500,2751.06800,99.30500,1673.84800,32.80500,1706.65300,1805.95800,0.42200,-603.31500,-26.05400,945.11000,2751.06800
2011-12-31,58.67900,58.67900,2406.80200,4.10600,46.20100,2471.78900,2530.46800,93.80900,1649.75500,43.44200,1693.19700,1787.00600,0.38900,-621.83300,-35.84800,743.46200,2530.46800
2010-12-31,47.45600,47.45600,2067.35800,4.10600,43.41500,2128.59200,2176.04800,75.81400,1500.19300,59.41300,1559.60600,1635.42000,0.34800,-575.02100,-48.84700,540.62800,2176.04800
2009-12-31,14.38000,14.38000,1926.60200,4.10600,28.36900,1972.44600,1986.82600,71.23000,1399.59600,62.77400,1462.37000,1533.60000,0.29000,-510.99300,-47.43500,453.22600,1986.82600
