,cash-on-hand,receivables-total,inventory,pre-paid-expenses,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,164.00000,1006.00000,67.00000,23.00000,132.00000,1392.00000,23759.00000,652.00000,342.00000,24817.00000,26209.00000,1716.00000,6238.00000,160.00000,8803.00000,10519.00000,2.00000,801.00000,-7.00000,15690.00000,26209.00000
2021-12-31,672.00000,671.00000,62.00000,28.00000,13.00000,1446.00000,20619.00000,701.00000,92.00000,21452.00000,22898.00000,1438.00000,6642.00000,69.00000,8215.00000,9653.00000,2.00000,-1998.00000,,13245.00000,22898.00000
2020-12-31,108.00000,437.00000,33.00000,23.00000,1.00000,602.00000,16214.00000,634.00000,96.00000,17017.00000,17619.00000,1236.00000,5624.00000,64.00000,6579.00000,7815.00000,2.00000,-3864.00000,,9804.00000,17619.00000
2019-12-31,128.00000,634.00000,37.00000,24.00000,46.00000,869.00000,21835.00000,588.00000,97.00000,22662.00000,23531.00000,1263.00000,5371.00000,11.00000,7362.00000,8625.00000,2.00000,890.00000,,14906.00000,23531.00000
2018-12-31,215.00000,392.00000,37.00000,50.00000,231.00000,925.00000,20372.00000,117.00000,85.00000,20671.00000,21596.00000,1019.00000,4464.00000,25.00000,6410.00000,7429.00000,2.00000,762.00000,,14167.00000,21596.00000
2017-12-31,112.44600,231.61300,9.10800,4.90300,0.53100,358.60100,7343.61700,,68.76700,7412.38400,7770.98500,577.42800,1477.34700,6.30300,1611.82000,2189.24800,0.98200,-37.13300,,5581.73700,7770.98500
2016-12-31,1667.07400,120.12200,1.98300,2.98700,,1792.16600,3390.85700,,166.65700,3557.51400,5349.68000,209.34200,1105.91200,,1122.04600,1331.38800,0.90100,-519.39400,,4018.29200,5349.68000
2015-12-31,20.61500,78.90400,1.72800,2.87500,4.62300,108.74500,2597.62500,,44.34900,2641.97400,2750.71900,141.42100,487.80700,,500.32500,641.74600,0.66800,-354.36000,,2108.97300,2750.71900
2014-12-31,30.68300,97.99400,2.82700,4.60000,115.60700,251.71100,2791.80700,,51.96300,2843.77000,3095.48100,266.72900,673.50000,,843.53900,1110.26800,0.56900,196.26800,,1985.21300,3095.48100
2013-12-31,15.55500,39.27300,5.63100,1.18400,0.21300,61.96800,1446.33700,,13.30900,1459.64600,1521.61400,121.32000,460.00000,,554.75300,676.07300,0.47100,2.51300,,845.54100,1521.61400
2012-12-31,26.35800,14.81200,6.19500,1.05300,,50.27500,554.24200,,2.18400,556.42600,606.70100,79.23200,0.19300,0.38800,65.40100,144.63300,0.37000,-52.07400,,462.06800,606.70100
2011-12-31,6.95900,17.51000,6.00700,0.33600,,30.81200,221.14900,10.31000,1.30700,232.76600,263.57800,42.29800,85.00000,6.13900,92.24300,134.54100,,,,129.03700,263.57800
2010-12-31,,,,,,,,,,,0.00000,,,,,0.00000,0.00000,,,0.00000,0.00000
