,cash-on-hand,receivables-total,other-current-assets,total-current-assets,net-property-plant-equipment,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,1859.00000,1652.00000,583.00000,4094.00000,502.00000,8049.00000,1092.00000,10255.00000,14349.00000,2375.00000,7389.00000,996.00000,9285.00000,11660.00000,3.00000,13618.00000,-643.00000,2689.00000,14349.00000
2021-12-31,1902.00000,1720.00000,389.00000,4011.00000,347.00000,8466.00000,1034.00000,10669.00000,14680.00000,2496.00000,7413.00000,826.00000,9268.00000,11764.00000,3.00000,12762.00000,-410.00000,2916.00000,14680.00000
2020-12-31,2696.00000,1430.00000,383.00000,4509.00000,278.00000,6380.00000,515.00000,7900.00000,12409.00000,2222.00000,6422.00000,1073.00000,8424.00000,10646.00000,3.00000,11011.00000,-432.00000,1763.00000,12409.00000
2019-12-31,1930.00000,1419.00000,330.00000,3679.00000,292.00000,5220.00000,389.00000,6586.00000,10265.00000,1912.00000,5581.00000,981.00000,7522.00000,9434.00000,3.00000,9656.00000,-439.00000,831.00000,10265.00000
2018-12-31,1818.00000,1287.00000,282.00000,3387.00000,320.00000,5347.00000,275.00000,6139.00000,9526.00000,2099.00000,5226.00000,1071.00000,6771.00000,8870.00000,3.00000,8594.00000,-426.00000,656.00000,9526.00000
2017-12-31,1183.30000,1147.20000,250.10000,2580.60000,325.10000,5384.80000,159.90000,6013.60000,8594.20000,2063.30000,5111.10000,1053.10000,6645.80000,8709.10000,3.40000,7465.40000,-172.20000,-114.90000,8594.20000
2016-12-31,2224.90000,887.40000,140.80000,3253.10000,325.90000,1320.00000,112.20000,2074.20000,5327.30000,2428.20000,3063.00000,625.00000,3926.40000,6354.60000,3.40000,6688.90000,-364.90000,-1027.30000,5327.30000
2015-12-31,2232.20000,802.00000,179.60000,3243.10000,306.40000,1275.40000,140.40000,1859.90000,5103.00000,1218.50000,3380.60000,620.60000,4217.50000,5436.00000,3.40000,6709.00000,-339.50000,-333.00000,5103.00000
2014-12-31,1677.60000,792.40000,172.50000,2686.40000,302.30000,1366.60000,145.90000,1982.60000,4669.00000,1199.70000,2547.30000,651.20000,3426.40000,4626.10000,3.40000,6044.30000,-235.20000,42.90000,4669.00000
2013-12-31,2106.30000,694.20000,114.40000,2968.80000,278.70000,886.80000,112.10000,1426.30000,4395.10000,1141.30000,2101.80000,555.80000,2905.90000,4047.20000,3.40000,5302.10000,-54.60000,347.90000,4395.10000
2012-12-31,1773.30000,621.80000,91.90000,2525.70000,307.10000,863.60000,96.00000,1435.20000,3960.90000,1164.90000,1607.40000,566.70000,2399.40000,3564.30000,3.40000,4713.30000,-82.10000,396.60000,3960.90000
2011-12-31,774.80000,489.80000,77.60000,1424.40000,326.80000,896.50000,82.00000,1451.70000,2876.10000,1134.00000,1172.50000,520.20000,1900.50000,3034.50000,3.40000,4176.10000,-107.50000,-158.40000,2876.10000
2010-12-31,672.30000,497.50000,127.90000,1343.00000,319.30000,634.30000,55.80000,1197.30000,2540.30000,933.80000,1228.30000,543.10000,1904.90000,2838.70000,3.40000,3736.20000,-33.40000,-298.40000,2540.30000
2009-12-31,483.90000,444.90000,51.80000,1012.90000,293.00000,454.10000,50.70000,990.40000,2003.30000,1236.00000,746.20000,482.00000,1363.40000,2599.40000,3.40000,3329.00000,-41.20000,-596.10000,2003.30000
