,cash-on-hand,pre-paid-expenses,other-current-assets,total-current-assets,net-property-plant-equipment,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,6058.45200,,3208.02100,9266.47300,1398.25700,37930.04000,39328.30000,48594.77000,7930.97400,14353.08000,5533.31700,19886.39000,27817.37000,4637.60100,17181.30000,-217.30600,20777.40000,48594.77000
2021-12-31,6027.80400,,2042.02100,8069.82500,1323.45300,35191.39000,36514.84000,44584.66000,8488.96600,14693.07000,5553.37700,20246.45000,28735.41000,4024.56100,12689.37000,-40.49500,15849.25000,44584.66000
2020-12-31,8205.55000,,1556.03000,9761.58000,960.18300,28558.60000,29518.78000,39280.36000,7805.78500,15809.09000,4600.23900,20409.33000,28215.12000,3447.69800,7573.14400,44.39800,11065.24000,39280.36000
2019-12-31,5018.43700,,1160.06700,6178.50400,565.22100,27231.99000,27797.21000,33975.71000,6855.69600,14759.26000,4778.59900,19537.86000,26393.55000,2793.92900,4811.74900,-23.52100,7582.15700,33975.71000
2018-12-31,3794.48300,,5899.65200,9694.13500,418.28100,15861.98000,16280.27000,25974.40000,6487.32000,10360.06000,3888.25700,14248.31000,20735.63000,2315.98800,2942.35900,-19.58200,5238.76500,25974.40000
2017-12-31,2822.79500,,4847.17900,7669.97400,319.40400,11023.36000,11342.77000,19012.74000,5466.31200,6499.43200,3465.04200,9964.47500,15430.79000,1871.39600,1731.11700,-20.55700,3581.95600,19012.74000
2016-12-31,1733.78200,,3986.50900,5720.29100,250.39500,7615.92400,7866.31900,13586.61000,4586.65700,3364.31100,2955.84200,6320.15300,10906.81000,1599.76200,1128.60300,-48.56500,2679.80000,13586.61000
2015-12-31,2310.71500,,3121.12500,5431.84000,173.41200,4597.61900,4771.03100,10202.87000,3529.62400,2371.36200,2078.45900,4449.82100,7979.44500,1324.80900,941.92500,-43.30800,2223.42600,10202.87000
2014-12-31,1608.49600,,2318.55700,3927.05300,149.87500,2965.57200,3115.44700,7042.50000,2663.15400,885.84900,1635.78900,2521.63800,5184.79200,1042.87000,819.28400,-4.44600,1857.70800,7042.50000
2013-12-31,1200.40500,,1858.35800,3058.76300,133.60500,2220.19500,2353.80000,5412.56300,2154.20300,500.00000,1424.79900,1924.79900,4079.00200,0.06000,552.48500,3.57500,1333.56100,5412.56300
2012-12-31,748.07800,,1492.71300,2240.79100,131.68100,1595.41800,1727.09900,3967.89000,1675.92600,400.00000,1147.29100,1547.29100,3223.21700,0.05600,440.08200,2.91900,744.67300,3967.89000
2011-12-31,797.81100,56.00700,977.03900,1830.85700,136.35300,1101.98600,1238.33900,3069.19600,1225.05500,400.00000,801.33100,1201.33100,2426.38600,0.05500,422.93000,0.70600,642.81000,3069.19600
2010-12-31,350.38700,62.21700,224.62700,637.23100,128.57000,216.26600,344.83600,982.06700,388.57900,200.00000,103.32400,303.32400,691.90300,0.05300,237.73900,0.75000,290.16400,982.06700
2009-12-31,320.24200,26.74100,64.03000,411.01300,131.65300,121.11000,268.72100,679.73400,227.43600,236.57200,16.58300,253.15500,480.59100,0.05300,198.81700,0.27300,199.14300,679.73400
