,cash-on-hand,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,other-share-holders-equity,total-share-holder-equity,total-liabilities-share-holders-equity
2021-12-31,12947.00000,147210.00000,454.00000,29571.00000,222.00000,3630.00000,33877.00000,181087.00000,156321.00000,5477.00000,3391.00000,8868.00000,165189.00000,2.00000,6569.00000,-31.00000,,15898.00000,181087.00000
2020-12-31,5095.00000,117047.00000,403.00000,21723.00000,228.00000,3101.00000,25455.00000,142502.00000,114929.00000,13529.00000,2293.00000,15822.00000,130751.00000,2.00000,5346.00000,23.00000,,11751.00000,142502.00000
2019-12-31,1699.55700,92023.59000,386.84100,20984.54000,235.26900,2633.39700,24240.04000,116263.60000,90933.24000,13475.60000,2003.67700,15479.28000,106412.50000,1.68600,4484.37500,5.13100,,9851.10700,116263.60000
2018-12-31,2811.15900,78336.38000,332.48300,18668.93000,273.97400,1593.44100,20868.83000,99205.20000,79163.23000,10373.91000,990.28400,11364.19000,90527.43000,1.64900,3731.20500,-19.38300,,8677.77700,99205.20000
2017-12-31,2297.02100,64859.00000,296.19700,21014.23000,356.36000,1254.72000,22921.51000,87780.51000,69018.71000,9971.80700,971.69100,10943.50000,79962.20000,1.61700,3051.61100,-3.84000,,7818.30100,87780.51000
2016-12-31,2107.72200,54216.87000,207.59200,17552.00000,377.98600,923.32400,19060.91000,73277.77000,58702.38000,6711.30800,955.43100,7666.73900,66369.12000,1.54300,2459.54000,6.33900,,6908.65200,73277.77000
2015-12-31,1131.21000,45002.40000,172.00800,12626.91000,362.55400,817.41000,13978.88000,58981.29000,47993.46000,4426.80200,855.33500,5282.13700,53275.60000,1.46100,1949.65200,-5.22000,,5705.68300,58981.29000
2014-12-31,817.25000,38689.73000,165.70300,8481.43800,265.57300,747.76300,9660.47700,48350.20000,37130.93000,5707.42300,733.38300,6440.80600,43571.73000,1.38300,1570.87100,3.09600,,4778.46700,48350.20000
2013-12-31,807.98500,34714.29000,166.54400,6278.90100,269.07500,683.95600,7398.47700,42112.76000,32082.72000,5193.13200,676.86800,5870.00000,37952.71000,1.32800,1213.89600,13.27100,,4160.04700,42112.76000
2012-12-31,633.16500,28694.66000,142.20100,4687.98000,283.22700,581.16200,5694.57000,34389.23000,27163.25000,3206.45000,619.43600,3825.88600,30989.13000,1.31300,840.31100,31.37600,,3400.10300,34389.23000
2011-12-31,635.67000,23209.03000,118.36500,3735.88100,176.44700,552.07600,4582.76900,27791.80000,22459.26000,2328.97000,408.55000,2737.52000,25196.78000,1.29400,494.45000,1.18600,,2595.02200,27791.80000
2010-12-31,1528.07500,20110.89000,97.05100,1484.75400,203.54100,481.39500,2266.74100,22377.63000,19235.75000,693.84500,223.28300,917.12800,20152.88000,1.28900,142.36200,0.07800,,2224.75600,22377.63000
2009-12-31,178.55300,18780.87000,92.24000,205.87400,24.54400,388.16200,1159.67900,19940.55000,18158.57000,196.39800,189.67100,386.06900,18544.64000,,,0.06900,1296.24800,1395.90700,19940.55000
