,cash-on-hand,receivables-total,pre-paid-expenses,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-05-31,1274.20000,1318.20000,306.30000,3682.90000,6581.60000,401.30000,5.00000,2056.10000,79.20000,3053.60000,9635.20000,5269.20000,797.70000,242.80000,1280.80000,6550.00000,3.60000,1669.60000,-133.90000,3085.20000,9635.20000
2021-05-31,1083.20000,1053.60000,282.70000,3750.00000,6169.50000,395.80000,7.10000,2096.50000,71.20000,3057.70000,9227.20000,4938.20000,797.30000,233.30000,1341.00000,6279.20000,3.60000,1445.90000,51.80000,2948.00000,9227.20000
2020-05-31,982.20000,790.30000,261.60000,3430.50000,5464.60000,407.40000,10.20000,2121.70000,59.50000,3086.10000,8550.70000,4426.90000,796.80000,207.90000,1342.40000,5769.30000,3.60000,1431.40000,56.50000,2781.40000,8550.70000
2019-05-31,763.20000,854.20000,256.50000,3803.80000,5677.70000,408.70000,10.20000,2181.70000,31.40000,2998.30000,8676.00000,4845.00000,796.40000,179.00000,1211.50000,6056.50000,3.60000,1409.50000,0.10000,2619.50000,8676.00000
2018-05-31,424.20000,524.60000,241.00000,4703.80000,5893.60000,393.50000,295.50000,955.40000,16.40000,2021.80000,7915.40000,5296.70000,,107.50000,261.90000,5558.60000,3.60000,1262.60000,-36.20000,2356.80000,7915.40000
2017-05-31,323.40000,543.40000,103.30000,4301.90000,5272.00000,337.20000,454.00000,714.70000,55.80000,1561.70000,6833.70000,4725.10000,,119.40000,153.30000,4878.40000,3.60000,901.70000,20.00000,1955.30000,6833.70000
2016-05-31,352.10000,444.70000,69.30000,3997.50000,4863.60000,353.00000,441.10000,726.60000,56.50000,1577.20000,6440.80000,4365.90000,,141.10000,163.20000,4529.10000,3.60000,926.20000,29.20000,1911.70000,6440.80000
2015-05-31,536.60000,214.50000,63.70000,4273.40000,5088.20000,353.90000,399.80000,593.90000,31.70000,1379.30000,6467.50000,4573.00000,,107.20000,109.00000,4682.00000,3.60000,894.30000,7.50000,1785.50000,6467.50000
2014-05-31,551.20000,185.70000,55.00000,4198.60000,5002.50000,342.20000,385.60000,580.90000,21.80000,1367.60000,6370.10000,4438.90000,,98.50000,154.20000,4593.10000,3.60000,957.50000,21.50000,1777.00000,6370.10000
2013-05-31,505.50000,165.80000,86.50000,4072.50000,4832.60000,346.00000,369.10000,579.10000,2.80000,1331.10000,6163.70000,4268.20000,,68.50000,121.80000,4390.00000,3.70000,1088.50000,22.00000,1773.70000,6163.70000
2012-05-31,316.30000,173.00000,40.80000,4544.20000,5075.90000,324.30000,473.70000,573.20000,3.30000,1403.70000,6479.60000,4745.70000,,88.80000,129.40000,4875.10000,3.60000,1002.10000,37.70000,1604.50000,6479.60000
2011-05-31,464.00000,190.50000,30.80000,3566.70000,4257.90000,308.70000,207.30000,590.90000,3.60000,1135.90000,5393.80000,3788.30000,,86.20000,109.30000,3897.60000,3.60000,919.50000,37.50000,1496.20000,5393.80000
2010-05-31,366.80000,215.30000,32.20000,3541.00000,4159.10000,269.30000,290.10000,483.20000,3.50000,1067.20000,5226.30000,3742.20000,,74.30000,82.10000,3824.30000,3.60000,856.30000,42.40000,1402.00000,5226.30000
2009-05-31,492.47900,205.68000,30.11100,3501.37600,4239.82600,274.53000,82.23400,509.95700,4.38100,887.58900,5127.41500,3701.89300,,71.27100,84.04400,3785.93700,3.61000,829.50100,41.94000,1341.47800,5127.41500
