,cash-on-hand,receivables-total,inventory,pre-paid-expenses,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-06-30,3957.00000,1629.00000,2920.00000,792.00000,9298.00000,2650.00000,,5949.00000,1064.00000,11612.00000,20910.00000,5815.00000,5144.00000,1651.00000,9505.00000,15320.00000,6.00000,13912.00000,-762.00000,5590.00000,20910.00000
2021-06-30,4958.00000,1702.00000,2505.00000,603.00000,9768.00000,2280.00000,,6711.00000,1022.00000,12203.00000,21971.00000,5298.00000,5537.00000,2037.00000,10582.00000,15880.00000,6.00000,12244.00000,-470.00000,6091.00000,21971.00000
2020-06-30,5022.00000,1194.00000,2062.00000,614.00000,8892.00000,2055.00000,,3739.00000,813.00000,8889.00000,17781.00000,5179.00000,4914.00000,1448.00000,8640.00000,13819.00000,6.00000,10134.00000,-665.00000,3962.00000,17781.00000
2019-06-30,2987.00000,1831.00000,2006.00000,388.00000,7212.00000,2068.00000,,3071.00000,805.00000,5944.00000,13156.00000,4605.00000,2896.00000,1244.00000,4140.00000,8745.00000,6.00000,9984.00000,-563.00000,4411.00000,13156.00000
2018-06-30,2715.00000,1487.00000,1618.00000,348.00000,6168.00000,1823.00000,843.00000,3202.00000,531.00000,6399.00000,12567.00000,3310.00000,3361.00000,1186.00000,4547.00000,7857.00000,6.00000,9040.00000,-434.00000,4710.00000,12567.00000
2017-06-30,1741.00000,1395.00000,1479.00000,349.00000,4964.00000,1671.00000,1026.00000,3243.00000,664.00000,6604.00000,11568.00000,2823.00000,3383.00000,960.00000,4343.00000,7166.00000,6.00000,8452.00000,-484.00000,4402.00000,11568.00000
2016-06-30,1383.00000,1258.00000,1264.00000,320.00000,4225.00000,1583.00000,1108.00000,1572.00000,735.00000,4998.00000,9223.00000,2681.00000,1910.00000,1045.00000,2955.00000,5636.00000,6.00000,7693.00000,-545.00000,3587.00000,9223.00000
2015-06-30,1525.10000,1174.50000,1215.80000,268.20000,4183.60000,1490.20000,420.30000,1471.40000,661.40000,4043.30000,8226.90000,2129.80000,1595.10000,847.70000,2442.80000,4572.60000,5.70000,7004.10000,-381.50000,3654.30000,8226.90000
2014-06-30,1629.10000,1379.30000,1294.00000,522.80000,4825.20000,1502.60000,13.60000,1050.50000,476.90000,3043.60000,7868.80000,2056.70000,1324.70000,618.00000,1942.70000,3999.40000,5.60000,6265.80000,-100.30000,3869.40000,7868.80000
2013-06-30,1495.70000,1171.70000,1113.90000,515.90000,4297.20000,1350.70000,,1051.10000,446.20000,2848.00000,7145.20000,1934.60000,1326.00000,582.70000,1908.70000,3843.30000,5.60000,5364.10000,-157.50000,3301.90000,7145.20000
2012-06-30,1347.70000,1060.30000,983.60000,463.50000,3855.10000,1231.80000,,1072.70000,433.40000,2737.90000,6593.00000,2125.80000,1069.10000,650.60000,1719.70000,3845.50000,5.50000,4764.90000,-212.90000,2747.50000,6593.00000
2011-06-30,1253.00000,945.60000,995.60000,492.30000,3686.50000,1143.10000,,1104.80000,339.50000,2587.40000,6273.90000,1943.30000,1080.10000,603.50000,1683.60000,3626.90000,5.50000,4113.70000,17.70000,2647.00000,6273.90000
2010-06-30,1120.70000,746.20000,826.60000,427.50000,3121.00000,1023.60000,,862.00000,329.00000,2214.60000,5335.60000,1572.20000,1205.00000,593.00000,1798.00000,3370.20000,2.70000,3564.00000,-196.70000,1965.40000,5335.60000
2009-06-30,864.50000,853.30000,795.00000,399.70000,2912.50000,1026.70000,12.70000,910.00000,314.70000,2264.10000,5176.60000,1459.20000,1387.60000,665.80000,2053.40000,3512.60000,2.60000,3195.00000,-117.10000,1664.00000,5176.60000
