,cash-on-hand,receivables-total,inventory,pre-paid-expenses,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,182.00000,1580.00000,1117.00000,113.00000,57.00000,3433.00000,22713.00000,71.00000,310.00000,27920.00000,31353.00000,2985.00000,13190.00000,4939.00000,20773.00000,23758.00000,3.00000,1350.00000,-52.00000,7595.00000,31353.00000
2021-12-31,476.00000,943.00000,667.00000,139.00000,46.00000,2627.00000,22352.00000,71.00000,264.00000,26126.00000,28753.00000,2204.00000,12092.00000,4805.00000,19361.00000,21565.00000,3.00000,1057.00000,-59.00000,7188.00000,28753.00000
2020-12-31,49.00000,872.00000,576.00000,104.00000,471.00000,2404.00000,21017.00000,70.00000,3503.00000,27262.00000,29666.00000,3074.00000,11800.00000,6585.00000,20515.00000,23589.00000,3.00000,214.00000,-86.00000,6077.00000,29666.00000
2019-12-31,157.00000,903.00000,605.00000,86.00000,33.00000,2331.00000,18926.00000,71.00000,739.00000,24506.00000,26837.00000,2704.00000,12027.00000,4602.00000,19078.00000,21782.00000,3.00000,-25.00000,-73.00000,5055.00000,26837.00000
2018-12-31,174.00000,978.00000,650.00000,101.00000,53.00000,2468.00000,18126.00000,69.00000,478.00000,22061.00000,24529.00000,2624.00000,10684.00000,4407.00000,17113.00000,19737.00000,3.00000,-271.00000,-65.00000,4792.00000,24529.00000
2017-12-31,199.00000,1044.00000,672.00000,83.00000,20.00000,2475.00000,16761.00000,64.00000,799.00000,20575.00000,23050.00000,2784.00000,9214.00000,4452.00000,15788.00000,18572.00000,3.00000,-531.00000,-50.00000,4478.00000,23050.00000
2016-12-31,254.00000,833.00000,626.00000,81.00000,17.00000,2280.00000,15715.00000,65.00000,353.00000,19342.00000,21622.00000,2655.00000,8750.00000,2778.00000,14677.00000,17332.00000,3.00000,-616.00000,-50.00000,4290.00000,21622.00000
2015-12-31,285.00000,785.00000,778.00000,77.00000,16.00000,2320.00000,14705.00000,64.00000,343.00000,17979.00000,20299.00000,2302.00000,8518.00000,2840.00000,14022.00000,16324.00000,3.00000,-855.00000,-47.00000,3975.00000,20299.00000
2014-12-31,244.00000,892.00000,918.00000,72.00000,116.00000,2597.00000,13412.00000,61.00000,352.00000,16588.00000,19185.00000,1948.00000,8139.00000,2734.00000,13530.00000,15478.00000,3.00000,-1058.00000,-49.00000,3707.00000,19185.00000
2013-12-31,204.00000,924.00000,881.00000,86.00000,40.00000,2526.00000,12246.00000,59.00000,409.00000,14890.00000,17416.00000,1945.00000,7239.00000,2846.00000,11980.00000,13925.00000,3.00000,-1242.00000,-22.00000,3491.00000,17416.00000
2012-12-31,122.00000,865.00000,1084.00000,53.00000,67.00000,2422.00000,11551.00000,57.00000,293.00000,14709.00000,17131.00000,1797.00000,6863.00000,2724.00000,12096.00000,13893.00000,3.00000,-1423.00000,-55.00000,3238.00000,17131.00000
2011-12-31,188.00000,879.00000,1187.00000,50.00000,1.00000,2565.00000,10633.00000,50.00000,276.00000,13887.00000,16452.00000,2338.00000,6207.00000,2465.00000,11042.00000,13380.00000,3.00000,-1553.00000,-49.00000,3072.00000,16452.00000
2010-12-31,270.00000,991.00000,1175.00000,37.00000,36.00000,2759.00000,10069.00000,49.00000,249.00000,12857.00000,15616.00000,2021.00000,6636.00000,2500.00000,10758.00000,12779.00000,2.00000,-1757.00000,-40.00000,2837.00000,15616.00000
2009-12-31,122.00000,996.00000,1319.00000,31.00000,21.00000,2742.00000,9682.00000,9.00000,235.00000,12514.00000,15256.00000,1954.00000,6092.00000,2530.00000,10364.00000,12318.00000,2.00000,-1927.00000,-33.00000,2938.00000,15256.00000
