,cash-on-hand,receivables-total,inventory,pre-paid-expenses,other-current-assets,total-current-assets,net-property-plant-equipment,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,111.00000,1373.00000,803.00000,414.00000,2443.00000,5144.00000,48253.00000,482.00000,54840.00000,61188.00000,6078.00000,22813.00000,9390.00000,38435.00000,44513.00000,1374.00000,7239.00000,-93.00000,16675.00000,61188.00000
2021-12-31,166.00000,1018.00000,631.00000,333.00000,2091.00000,4239.00000,45457.00000,498.00000,52321.00000,57851.00000,5046.00000,21779.00000,9015.00000,37193.00000,42239.00000,1360.00000,6572.00000,-123.00000,15612.00000,57851.00000
2020-12-31,129.00000,916.00000,535.00000,292.00000,1403.00000,3275.00000,42950.00000,409.00000,49192.00000,53957.00000,4239.00000,19645.00000,8697.00000,35143.00000,39382.00000,1344.00000,5968.00000,-141.00000,14575.00000,53957.00000
2019-12-31,248.00000,837.00000,544.00000,228.00000,1256.00000,3113.00000,39483.00000,514.00000,45663.00000,50448.00000,4568.00000,17407.00000,8342.00000,32641.00000,37209.00000,1311.00000,5413.00000,-141.00000,13239.00000,50448.00000
2018-12-31,147.00000,860.00000,548.00000,233.00000,1306.00000,3094.00000,36944.00000,306.00000,42893.00000,45987.00000,4460.00000,15803.00000,8289.00000,29305.00000,33765.00000,1285.00000,4893.00000,-124.00000,12222.00000,45987.00000
2017-12-31,83.00000,797.00000,610.00000,251.00000,1232.00000,2973.00000,34329.00000,326.00000,40057.00000,43030.00000,4088.00000,14520.00000,8022.00000,27487.00000,31575.00000,1269.00000,4413.00000,-125.00000,11455.00000,43030.00000
2016-12-31,85.00000,776.00000,604.00000,245.00000,1132.00000,2842.00000,32842.00000,298.00000,38313.00000,41155.00000,3247.00000,14195.00000,4733.00000,26887.00000,30134.00000,1268.00000,3982.00000,-110.00000,11021.00000,41155.00000
2015-12-31,84.94000,724.60600,608.58400,318.75700,1033.33900,2770.22600,31205.85000,83.66400,36051.25000,38821.48000,4058.29700,12398.88000,4600.51700,24162.26000,28220.56000,1268.83900,3552.72800,-109.75300,10600.92000,38821.48000
2014-12-31,79.60800,826.50600,597.18300,356.60000,1258.27300,3364.38000,28756.92000,229.73200,33593.50000,36957.88000,4064.58300,11499.63000,4315.59400,22678.82000,26743.40000,1264.33300,3220.95800,-108.13900,10214.48000,36957.88000
2013-12-31,107.14400,744.16000,576.53800,252.25800,1196.73800,3218.04000,26122.16000,302.08300,30689.45000,33907.49000,3654.49800,10910.75000,3596.78100,20687.04000,24341.54000,1244.92900,2807.98300,-106.27500,9565.95000,33907.49000
2012-12-31,82.32300,718.04600,535.57400,171.31500,1085.35300,2625.13900,23809.35000,326.30500,28515.55000,31140.69000,2937.07300,10143.91000,3504.69600,19329.54000,22266.61000,1219.89900,2413.81600,-112.65300,8874.07700,31140.69000
2011-12-31,155.97100,753.12000,618.23200,121.48000,1155.31500,2982.56400,22353.37000,308.81300,26514.70000,29497.27000,3588.63900,8848.51300,3468.89100,17426.43000,21015.07000,1216.23400,2032.55600,-94.03500,8482.19800,29497.27000
2010-12-31,108.43700,718.47400,560.80000,193.62100,1151.31100,2732.64300,20663.08000,364.07000,24655.04000,27387.69000,2536.53300,9263.14400,2953.78300,16662.66000,19199.19000,1205.83400,1701.70300,-53.09300,8188.49900,27387.69000
2009-12-31,115.64800,730.15200,566.20500,192.79100,1148.76000,2976.63500,18508.30000,451.82600,22329.33000,25305.96000,3089.99900,7888.62800,2844.39900,14827.74000,17917.74000,1143.77300,1419.20100,-49.70900,7388.22500,25305.96000
