,cash-on-hand,receivables-total,inventory,pre-paid-expenses,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,other-share-holders-equity,total-share-holder-equity,total-liabilities-share-holders-equity
2021-12-31,30013.00000,1867.00000,11863.00000,1797.00000,1484.00000,47024.00000,5170.00000,12916.00000,5115.00000,3423.00000,30888.00000,77912.00000,34779.00000,1473.00000,280.00000,4598.00000,39377.00000,,5305.00000,-956.00000,249.00000,38535.00000,77912.00000
2020-12-31,23156.54000,1089.95400,9031.80400,979.82100,1599.26400,35984.87000,3463.07600,14955.78000,4366.62300,2040.74000,28733.57000,64718.44000,26669.22000,1920.42300,50.82300,6710.37800,33379.60000,0.06200,5734.62800,-543.76500,234.98500,31338.84000,64718.44000
2019-12-31,9267.00800,889.22200,8321.43400,585.78300,693.38400,19979.68000,2966.77200,8186.52000,3109.17300,977.65800,17327.29000,37306.98000,20112.19000,1443.84800,32.44600,5034.16300,25146.35000,0.05500,-1711.14900,597.99900,209.59600,12160.63000,37306.98000
2018-12-31,5750.51000,1615.88100,6403.91000,559.69900,525.54400,15250.64000,3066.37200,6873.41900,3218.82500,768.51800,15171.13000,30421.77000,17578.65000,1436.19900,44.86800,3990.39800,21569.05000,0.05500,-3496.19400,488.56000,203.68100,8852.71600,30421.77000
2017-12-31,5899.88100,2514.35500,6409.23100,347.18500,1720.04600,17679.58000,1932.61600,4392.53300,3134.51600,342.42800,10609.15000,28288.73000,18174.79000,1678.77200,51.83500,2061.94600,20236.73000,0.05800,-3417.39700,283.12300,97.74600,8051.99700,28288.73000
2016-12-31,6168.46300,2515.39800,4163.82500,316.70700,408.15000,15401.42000,1065.39400,3354.90200,2512.38300,477.56200,7697.16600,23098.59000,15085.73000,1571.17000,63.47000,3092.38300,18178.11000,0.05400,-3148.54500,222.29500,19.14700,4920.47500,23098.59000
2015-12-31,3513.42400,1467.82600,3170.75900,236.28680,276.43500,9025.91700,962.22600,1523.67800,1147.89600,325.21400,4121.47400,13538.14000,7568.75100,425.09800,,842.70300,8661.44700,0.05690,-2885.37900,124.38480,8.83190,4876.69000,13538.14000
2014-12-31,5175.93100,392.65300,1964.80700,281.01550,216.34600,8049.14200,388.17000,164.56800,1712.28800,100.79500,2667.61400,10773.94000,4673.16400,,,,4698.10000,0.05800,-1494.43000,-60.94380,2.43190,6075.84100,10773.94000
2013-12-31,2412.23500,82.93900,1054.91800,36.19300,127.15600,3713.44100,169.22300,6.03000,136.99100,66.38500,583.07300,4296.51400,2770.20500,,,,2770.20500,0.03300,-704.30100,-44.37300,0.43700,1526.30900,4296.51400
2012-12-31,1662.97800,78.29100,776.76900,26.04900,17.93500,2562.02200,104.46600,0.46400,126.21700,70.25300,360.53600,2922.55800,1876.38800,,,,1876.38800,0.03000,-688.38500,-25.15000,0.30000,1046.17000,2922.55800
