,cash-on-hand,receivables-total,inventory,pre-paid-expenses,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,1276.00000,,2752.00000,230.00000,4258.00000,1236.00000,141.00000,4972.00000,204.00000,7780.00000,12038.00000,2271.00000,2622.00000,283.00000,4300.00000,6571.00000,3.00000,6656.00000,-323.00000,5467.00000,12038.00000
2021-12-31,1347.00000,,2611.00000,296.00000,4254.00000,1299.00000,181.00000,5286.00000,225.00000,8352.00000,12606.00000,2165.00000,2777.00000,365.00000,4654.00000,6819.00000,3.00000,5794.00000,-153.00000,5787.00000,12606.00000
2020-12-31,312.15400,1073.38900,2414.61200,233.87700,4034.03200,1248.70300,155.22400,5405.78800,163.66200,8326.50100,12360.53000,1988.49100,2812.64100,374.64000,4700.74200,6689.23300,3.20800,4776.04000,-99.00900,5671.30000,12360.53000
2019-12-31,523.02000,1131.13200,2772.77700,260.89000,4687.81900,1234.40000,139.24300,5256.87300,153.11000,8092.13700,12779.96000,2178.51200,3715.38900,365.67200,5552.86400,7731.37600,3.19900,4140.13600,-200.88500,5048.58000,12779.96000
2018-12-31,331.76100,1154.08300,2836.07500,199.03000,4520.94900,1220.16200,179.16900,5310.21000,162.91200,6872.45300,11393.40000,1690.34800,4188.67400,364.19400,4864.30200,6554.65000,3.18400,3598.87600,-174.95000,4838.75200,11393.40000
2017-12-31,279.76600,1027.10600,2380.78300,134.47900,3822.13400,913.08900,208.40400,4280.28000,142.96500,5544.73800,9366.87200,1322.72400,3277.62000,307.51600,3837.49500,5160.21900,3.09100,3124.10300,-70.47600,4206.65300,9366.87200
2016-12-31,227.40000,860.54900,1935.23700,87.76800,3567.59400,811.57600,183.46700,3639.00000,101.56200,4735.60500,8303.19900,1210.78500,3275.66200,174.14600,3649.46500,4860.25000,3.07500,2590.35900,-267.17500,3442.94900,8303.19900
2015-12-31,87.39700,590.16000,1556.55200,106.60300,2340.71200,696.56700,2.75500,2534.36300,73.44000,3307.12500,5647.83700,751.97000,1528.66800,125.27800,1781.18500,2533.15500,3.05500,2126.38400,-105.47000,3114.68200,5647.83700
2014-12-31,114.60500,601.42200,1433.84700,85.79900,2235.67300,629.98700,,2534.42000,75.65900,3240.06600,5475.73900,744.50400,1784.21000,119.43000,2010.57800,2755.08200,3.03500,1703.16100,-40.22500,2720.65700,5475.73900
2013-12-31,150.48800,458.09400,1076.95200,50.34500,1799.81700,546.65100,,2091.18300,81.12300,2718.95700,4518.77400,677.95300,1264.24600,92.00800,1490.07600,2168.02900,3.00800,1321.64200,20.01100,2350.74500,4518.77400
2012-12-31,59.77000,311.80800,900.80300,58.48500,1384.35100,494.37900,,1796.99900,47.72700,2339.10500,3723.45600,487.94400,1046.76200,122.38100,1271.41800,1759.36200,2.97800,1010.01900,0.75900,1964.09400,3723.45600
2011-12-31,48.24700,281.76400,736.84600,37.18800,1149.73500,424.09800,,1584.97300,40.89800,2049.96900,3199.70400,397.69300,926.55200,142.57800,1157.92600,1555.61900,2.93900,748.79400,-8.96100,1644.08500,3199.70400
2010-12-31,95.68900,191.08500,492.68800,24.90800,836.87600,331.31200,,1102.27500,29.04600,1462.63300,2299.50900,225.32100,548.06600,45.90200,660.02700,885.34800,1.45500,538.53000,4.37800,1414.16100,2299.50900
2009-12-31,108.90600,152.44300,385.68600,14.26600,702.86800,289.90200,,1006.02200,21.32900,1317.25300,2020.12100,168.48100,592.98200,27.01500,672.20600,840.68700,1.42000,369.45900,-7.39700,1179.43400,2020.12100
