,cash-on-hand,receivables-total,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,894.30000,507.40000,414.80000,103.00000,1919.50000,1158.30000,204.90000,125.70000,38.10000,1697.30000,3616.80000,519.00000,206.70000,51.60000,412.90000,931.90000,18.80000,2987.80000,-183.00000,2684.90000,3616.80000
2021-12-31,762.60000,489.00000,378.40000,112.00000,1742.00000,1057.50000,207.70000,132.90000,39.20000,1571.80000,3313.80000,594.10000,208.80000,38.20000,384.30000,978.40000,18.80000,2456.70000,-159.60000,2335.40000,3313.80000
2020-12-31,615.50000,385.30000,321.30000,51.60000,1373.70000,943.20000,214.70000,141.60000,23.40000,1420.10000,2793.80000,503.40000,252.90000,31.80000,435.90000,939.30000,18.80000,1846.70000,-110.60000,1854.50000,2793.80000
2019-12-31,439.10000,319.30000,235.70000,64.60000,1058.70000,839.30000,192.70000,137.60000,24.70000,1282.70000,2341.40000,341.60000,255.00000,23.40000,426.60000,768.20000,18.80000,1549.40000,-149.60000,1573.20000,2341.40000
2018-12-31,337.40000,288.20000,214.50000,54.30000,894.40000,822.00000,91.20000,126.10000,20.50000,1084.50000,1978.90000,283.70000,196.00000,33.60000,298.90000,582.60000,18.80000,1353.40000,-154.20000,1396.30000,1978.90000
2017-12-31,235.90000,253.20000,215.20000,39.20000,743.50000,855.00000,85.80000,129.40000,23.40000,1119.30000,1862.80000,279.50000,197.00000,42.60000,303.40000,582.90000,18.80000,1178.20000,-117.30000,1279.90000,1862.80000
2016-12-31,203.00000,200.50000,199.30000,39.10000,641.90000,778.30000,82.70000,126.30000,21.30000,1074.80000,1716.70000,241.00000,226.20000,47.20000,358.20000,599.20000,18.40000,1071.60000,-186.80000,1117.50000,1716.70000
2015-12-31,274.60000,181.40000,181.10000,36.60000,673.70000,721.00000,61.30000,142.20000,26.40000,1021.40000,1695.10000,314.30000,228.90000,,356.90000,671.20000,18.10000,964.60000,-162.60000,1023.90000,1695.10000
2014-12-31,255.30000,179.00000,181.50000,35.50000,659.10000,705.80000,60.60000,150.60000,27.50000,1010.60000,1669.70000,252.50000,308.30000,52.60000,460.30000,712.80000,17.80000,902.20000,-119.20000,956.90000,1669.70000
2013-12-31,230.00000,185.70000,176.90000,42.20000,650.70000,711.70000,60.90000,162.50000,24.00000,1020.90000,1671.60000,236.90000,371.30000,55.00000,528.30000,765.20000,17.60000,805.00000,-32.40000,906.40000,1671.60000
2012-12-31,174.30000,175.00000,162.20000,38.10000,557.30000,669.00000,59.80000,163.10000,24.50000,1006.70000,1564.00000,261.80000,378.80000,38.30000,573.29990,835.10000,17.20000,719.90000,-75.90000,728.90000,1564.00000
2011-12-31,118.30000,147.20000,151.80000,46.80000,472.00000,593.60000,56.20000,163.50000,28.70000,927.10000,1399.10000,243.20000,299.30000,54.10000,501.00000,744.20000,8.60000,664.50000,-71.50000,654.90000,1399.10000
2010-12-31,110.20000,126.40000,147.00000,42.50000,436.60000,554.80000,48.20000,167.60000,22.60000,857.70000,1294.30000,169.70000,358.10000,33.60000,498.90000,668.60000,8.60000,612.60000,-31.30000,625.70000,1294.30000
2009-12-31,83.10000,138.70000,129.20000,38.40000,397.20000,577.10000,38.20000,169.80000,19.30000,873.80000,1271.00000,171.10000,379.10000,33.70000,520.80000,691.90000,8.60000,569.40000,-19.70000,579.10000,1271.00000
