,cash-on-hand,receivables-total,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,other-share-holders-equity,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,1755.60000,748.70000,2504.30000,755.70000,4142.60000,3272.60000,688.70000,8859.60100,11643.30000,680.70000,946.10000,1932.40000,2613.10000,44.90000,8409.70000,-53.00000,190.70000,9030.20000,11643.30000
2021-12-31,1523.10000,1058.30000,2581.40000,736.20000,4938.30000,3606.60000,445.30000,9726.39900,12509.00000,765.70000,1240.40000,2471.90000,3237.60000,45.80000,8083.60000,-26.50000,248.70000,9271.40000,12509.00000
2020-12-31,2151.70000,863.10000,3014.80000,695.40000,5946.30000,665.70000,219.20000,7526.60000,10659.00000,406.30000,829.90000,2545.70000,2952.00000,45.60000,7029.80000,-23.00000,,7707.00000,10659.00000
2019-12-31,1781.80000,646.60000,2428.40000,674.40000,5216.70000,665.70000,234.40000,6791.20000,9330.40000,358.40000,602.60000,1869.90000,2228.30000,47.00000,6443.50000,-43.00000,,7102.10000,9330.40000
2018-12-31,1425.20000,549.60000,1974.80000,661.30000,4133.80000,665.70000,253.70000,5714.50000,7689.30000,406.00000,418.70000,1159.00000,1565.00000,47.60000,5464.10000,-42.00000,,6124.30000,7689.30000
2017-12-31,1902.70000,565.30000,2468.00000,652.00000,3525.70000,665.70000,224.00000,5067.40000,7535.40000,393.00000,325.20000,1318.00000,1711.00000,49.00000,4932.90000,-3.60000,,5824.40000,7535.40000
2016-12-31,1204.90000,455.10000,1660.00000,615.10000,2938.00000,665.70000,346.20000,4565.00000,6225.00000,312.70000,216.50000,903.70000,1216.40000,49.00000,4293.60000,11.50000,,5008.60000,6225.00000
2015-12-31,1172.30000,446.00000,1618.30000,607.10000,2018.90000,665.70000,196.90000,3488.60000,5106.90000,276.00000,68.90000,68.90000,344.90000,50.10000,3970.70000,86.60000,,4762.00000,5106.90000
2014-12-31,1506.10000,442.80000,1948.90000,586.40000,2292.30000,665.70000,151.10000,3695.50000,5644.40000,249.20000,,,249.20000,52.20000,4450.10000,136.40000,,5395.20000,5644.40000
2013-12-31,1398.00000,398.80000,1796.80000,572.90000,1925.50000,665.70000,72.20000,3236.30000,5033.10000,215.00000,,,215.00000,52.40000,3682.80000,188.30000,,4818.10000,5033.10000
2012-12-31,879.10000,353.90000,1233.00000,561.00000,1580.80000,665.70000,162.30000,2969.80000,4202.80000,356.70000,,,356.70000,51.40000,3031.80000,131.90000,,3846.10000,4202.80000
2011-12-31,897.90000,304.50000,1202.40000,567.40000,1169.20000,665.70000,165.60000,2567.90000,3770.30000,349.60000,,,349.60000,50.70000,2765.20000,102.80000,,3420.70000,3770.30000
2010-12-31,813.10000,307.90000,1121.00000,560.30000,1142.30000,665.70000,152.70000,2521.00000,3642.00000,345.50000,,,345.50000,51.70000,2599.40000,139.10000,,3296.50000,3642.00000
2009-12-31,743.30000,246.20000,989.50000,512.80000,905.80000,665.70000,136.50000,2220.80000,3210.30000,328.10000,,,328.10000,51.70000,2240.10000,101.90000,,2882.20000,3210.30000
