,cash-on-hand,total-current-assets,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,34363.00000,356657.00000,147771.00000,14410.00000,38425.00000,200606.00000,557263.00000,452044.00000,58713.00000,694.00000,59407.00000,511451.00000,2714.00000,53572.00000,-10172.00000,45812.00000,557263.00000
2021-12-31,82254.00000,367989.00000,141142.00000,12734.00000,35326.00000,189202.00000,557191.00000,470019.00000,30784.00000,662.00000,31446.00000,501465.00000,2713.00000,50228.00000,409.00000,55726.00000,557191.00000
2020-12-31,92190.00000,330354.00000,94851.00000,10475.00000,30999.00000,136325.00000,466679.00000,374859.00000,37195.00000,584.00000,37779.00000,412638.00000,2713.00000,46848.00000,2770.00000,54041.00000,466679.00000
2019-12-31,28474.00000,266658.00000,92000.00000,10877.00000,40760.00000,143637.00000,410295.00000,300371.00000,60263.00000,318.00000,60581.00000,360952.00000,2712.00000,42215.00000,799.00000,49343.00000,410295.00000
2018-12-31,16501.00000,241111.00000,95595.00000,11201.00000,34408.00000,141204.00000,382315.00000,276841.00000,52414.00000,5290.00000,57704.00000,334545.00000,2711.00000,38919.00000,-725.00000,47770.00000,382315.00000
2017-12-31,33844.00000,254346.00000,87523.00000,11005.00000,27894.00000,126422.00000,380768.00000,273798.00000,54299.00000,5086.00000,59385.00000,333183.00000,2710.00000,35481.00000,-148.00000,47585.00000,380768.00000
2016-12-31,30590.00000,241338.00000,86675.00000,10861.00000,27506.00000,125042.00000,366380.00000,266519.00000,48530.00000,4477.00000,53007.00000,319526.00000,2709.00000,31670.00000,-265.00000,46854.00000,366380.00000
2015-12-31,34611.00000,240120.00000,81115.00000,10692.00000,26566.00000,118373.00000,358493.00000,257720.00000,49962.00000,4831.00000,54793.00000,312513.00000,2708.00000,29043.00000,130.00000,45980.00000,358493.00000
2014-12-31,40344.00000,244092.00000,66551.00000,10947.00000,23482.00000,100980.00000,345072.00000,245926.00000,48263.00000,4809.00000,53072.00000,298998.00000,2705.00000,26200.00000,503.00000,46074.00000,345072.00000
2013-12-31,21237.00000,215496.00000,70854.00000,11290.00000,22552.00000,104696.00000,320192.00000,234907.00000,36819.00000,4429.00000,41248.00000,276155.00000,2698.00000,23251.00000,436.00000,44037.00000,320192.00000
2012-12-31,12763.00000,198276.00000,72283.00000,10869.00000,23679.00000,106831.00000,305107.00000,229371.00000,29127.00000,4844.00000,33971.00000,263342.00000,2690.00000,20265.00000,834.00000,41765.00000,305107.00000
2011-12-31,9992.00000,167595.00000,70768.00000,10144.00000,22698.00000,103610.00000,271205.00000,199396.00000,29449.00000,5114.00000,34563.00000,233959.00000,2683.00000,18253.00000,-105.00000,37246.00000,271205.00000
2010-12-31,10437.00000,159637.00000,73482.00000,10753.00000,20412.00000,104647.00000,264284.00000,190722.00000,35344.00000,5380.00000,40724.00000,231446.00000,2682.00000,15859.00000,-431.00000,32838.00000,264284.00000
2009-12-31,13290.00000,168300.00000,66281.00000,12909.00000,22373.00000,101563.00000,269863.00000,194510.00000,35263.00000,7523.00000,42786.00000,237296.00000,2354.00000,13144.00000,-1962.00000,32567.00000,269863.00000
