,cash-on-hand,receivables-total,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,other-share-holders-equity,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,7416.00000,3264.00000,10680.00000,1031.00000,7466.00000,33643.00000,63292.00000,105432.00000,117628.00000,3566.00000,12419.00000,57642.00000,76186.00000,79752.00000,2.00000,29876.00000,-1101.00000,,37876.00000,117628.00000
2021-12-31,9323.00000,3789.00000,13112.00000,762.00000,7262.00000,33804.00000,96087.00000,137915.00000,152648.00000,4348.00000,14527.00000,90250.00000,110494.00000,114842.00000,2.00000,27688.00000,-550.00000,,37806.00000,152648.00000
2020-12-31,8664.00000,3535.00000,12199.00000,681.00000,6919.00000,32814.00000,123720.00000,164134.00000,176982.00000,3527.00000,23771.00000,107600.00000,138121.00000,141648.00000,2.00000,24334.00000,-337.00000,,35334.00000,176982.00000
2019-12-31,4829.00000,3179.00000,8008.00000,715.00000,5489.00000,32931.00000,121479.00000,160614.00000,168622.00000,3224.00000,20421.00000,106314.00000,131785.00000,135009.00000,2.00000,21662.00000,-571.00000,,33613.00000,168622.00000
2018-12-31,6488.00000,2657.00000,9145.00000,643.00000,4476.00000,31365.00000,113944.00000,150428.00000,159573.00000,3280.00000,25634.00000,93548.00000,123860.00000,127140.00000,2.00000,19282.00000,-691.00000,,32433.00000,159573.00000
2017-12-31,7038.00000,2699.00000,9737.00000,592.00000,3474.00000,30609.00000,175829.00000,210504.00000,220241.00000,8328.00000,24190.00000,151932.00000,180065.00000,188393.00000,2.00000,16939.00000,-432.00000,,31848.00000,220241.00000
2016-12-31,6175.00000,2115.00000,8290.00000,559.00000,2603.00000,30481.00000,178244.00000,211887.00000,220177.00000,2760.00000,32923.00000,150310.00000,188267.00000,191027.00000,2.00000,13660.00000,-716.00000,,29150.00000,220177.00000
2015-12-31,6231.00000,2237.00000,8468.00000,581.00000,2608.00000,30495.00000,183109.00000,216793.00000,225261.00000,3039.00000,36266.00000,152061.00000,193642.00000,196681.00000,2.00000,12033.00000,-448.00000,,28580.00000,225261.00000
2014-12-31,6001.00000,2120.00000,8121.00000,467.00000,5241.00000,30305.00000,195658.00000,231671.00000,239792.00000,2900.00000,41965.00000,162418.00000,209407.00000,212307.00000,2.00000,10145.00000,-273.00000,,27485.00000,239792.00000
2013-12-31,4551.00000,2247.00000,6798.00000,525.00000,2151.00000,30481.00000,179918.00000,213075.00000,219873.00000,2831.00000,29096.00000,156191.00000,190426.00000,193257.00000,2.00000,8230.00000,-35.00000,,26616.00000,219873.00000
2012-12-31,4903.00000,2250.00000,7153.00000,557.00000,1750.00000,30312.00000,160679.00000,193298.00000,200451.00000,2702.00000,31110.00000,135729.00000,172164.00000,174866.00000,2.00000,6473.00000,-59.00000,,25585.00000,200451.00000
2011-12-31,3560.00000,1960.00000,5520.00000,537.00000,1631.00000,30148.00000,142022.00000,174376.00000,179896.00000,2428.00000,27182.00000,119601.00000,152198.00000,154626.00000,1.00000,5118.00000,-127.00000,-1.00000,25270.00000,179896.00000
2010-12-31,3460.00000,2095.00000,5555.00000,428.00000,1540.00000,30317.00000,140553.00000,172904.00000,178459.00000,2745.00000,22175.00000,121728.00000,149386.00000,152131.00000,1.00000,3798.00000,-96.00000,-1.00000,26328.00000,178459.00000
2009-12-31,4708.00000,1718.00000,6426.00000,443.00000,1049.00000,30346.00000,139757.00000,171698.00000,178124.00000,5061.00000,22769.00000,120121.00000,148510.00000,153571.00000,1.00000,2436.00000,-96.00000,-137.00000,24553.00000,178124.00000
