,cash-on-hand,receivables-total,inventory,pre-paid-expenses,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,17901.00000,20456.00000,8247.00000,3739.00000,50343.00000,143591.00000,45238.00000,4722.00000,436.00000,207366.00000,257709.00000,34208.00000,21375.00000,63259.00000,97467.00000,1832.00000,190024.00000,-2798.00000,160242.00000,257709.00000
2021-12-31,5675.00000,18419.00000,6795.00000,2849.00000,33738.00000,146961.00000,40696.00000,4385.00000,768.00000,205797.00000,239535.00000,26791.00000,31113.00000,72804.00000,99595.00000,1832.00000,165546.00000,-3889.00000,139940.00000,239535.00000
2020-12-31,5627.00000,11471.00000,5676.00000,3304.00000,26078.00000,156618.00000,39052.00000,4402.00000,1101.00000,213712.00000,239790.00000,22183.00000,42767.00000,84881.00000,107064.00000,1832.00000,160377.00000,-5612.00000,132726.00000,239790.00000
2019-12-31,5749.00000,13325.00000,5848.00000,3407.00000,28329.00000,150494.00000,38688.00000,4463.00000,3411.00000,209099.00000,237428.00000,26530.00000,23691.00000,65690.00000,92220.00000,1832.00000,174945.00000,-4990.00000,145208.00000,237428.00000
2018-12-31,10345.00000,15050.00000,5704.00000,2922.00000,34021.00000,169207.00000,35546.00000,4518.00000,1863.00000,219842.00000,253863.00000,27171.00000,28733.00000,71050.00000,98221.00000,1832.00000,180987.00000,-3544.00000,155642.00000,253863.00000
2017-12-31,4822.00000,15353.00000,5585.00000,2800.00000,28560.00000,177712.00000,32497.00000,4531.00000,640.00000,225246.00000,253806.00000,27737.00000,33571.00000,76750.00000,104487.00000,1832.00000,174106.00000,-3589.00000,149319.00000,253806.00000
2016-12-31,7001.00000,14092.00000,5419.00000,3107.00000,29619.00000,182186.00000,30250.00000,4581.00000,4119.00000,230459.00000,260078.00000,31785.00000,35286.00000,81571.00000,113356.00000,1832.00000,173046.00000,-3843.00000,146722.00000,260078.00000
2015-12-31,11332.00000,12860.00000,6334.00000,3904.00000,34430.00000,188396.00000,27110.00000,4588.00000,1449.00000,230110.00000,264540.00000,25467.00000,33622.00000,85187.00000,110654.00000,1832.00000,181578.00000,-4291.00000,153886.00000,264540.00000
2014-12-31,13215.00000,16736.00000,6505.00000,5776.00000,42232.00000,183173.00000,26912.00000,4593.00000,,223794.00000,266026.00000,31926.00000,24028.00000,77909.00000,109835.00000,1832.00000,184987.00000,-4859.00000,156191.00000,266026.00000
2013-12-31,16516.00000,21622.00000,6380.00000,5732.00000,50250.00000,164829.00000,25502.00000,4639.00000,580.00000,203503.00000,253753.00000,33018.00000,20057.00000,70308.00000,103326.00000,1832.00000,173677.00000,-3579.00000,150427.00000,253753.00000
2012-12-31,21913.00000,20997.00000,6144.00000,6666.00000,55720.00000,141348.00000,23718.00000,4640.00000,,177262.00000,232982.00000,34212.00000,12065.00000,60938.00000,95150.00000,1832.00000,159730.00000,-6369.00000,137832.00000,232982.00000
2011-12-31,20071.00000,21793.00000,5543.00000,5827.00000,53234.00000,122608.00000,22868.00000,4642.00000,,156240.00000,209474.00000,33600.00000,9812.00000,53693.00000,87293.00000,1832.00000,140399.00000,-6022.00000,122181.00000,209474.00000
2010-12-31,17070.00000,20759.00000,5493.00000,5519.00000,48841.00000,104504.00000,21520.00000,4617.00000,,135928.00000,184769.00000,29012.00000,11289.00000,49946.00000,78958.00000,1832.00000,119641.00000,-4466.00000,105811.00000,184769.00000
2009-12-31,8822.00000,17703.00000,5529.00000,5162.00000,37216.00000,96468.00000,21158.00000,4618.00000,,127405.00000,164621.00000,26211.00000,10130.00000,45849.00000,72060.00000,1832.00000,106289.00000,-4321.00000,92561.00000,164621.00000
