,cash-on-hand,receivables-total,total-current-assets,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,other-share-holders-equity,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,2127.00000,31137.00000,33264.00000,120965.00000,21728.00000,17399.00000,165880.00000,199144.00000,132079.00000,14402.00000,1523.00000,16525.00000,148604.00000,10346.00000,48334.00000,-10193.00000,,50540.00000,199144.00000
2021-12-31,1811.00000,28901.00000,30712.00000,126510.00000,20668.00000,16651.00000,169342.00000,200054.00000,122643.00000,15169.00000,1831.00000,17697.00000,140340.00000,10985.00000,47365.00000,350.00000,,59714.00000,200054.00000
2020-12-31,1836.00000,26278.00000,28114.00000,122612.00000,21211.00000,13435.00000,162660.00000,190774.00000,113341.00000,14948.00000,1844.00000,17992.00000,131333.00000,11064.00000,39337.00000,2869.00000,,59441.00000,190774.00000
2019-12-31,1646.00000,25735.00000,27381.00000,111739.00000,21359.00000,11222.00000,149562.00000,176943.00000,105947.00000,13559.00000,994.00000,15665.00000,121612.00000,11121.00000,36142.00000,619.00000,,55331.00000,176943.00000
2018-12-31,1340.00000,26270.00000,27610.00000,102824.00000,21414.00000,11001.00000,140161.00000,167771.00000,102834.00000,12087.00000,1926.00000,14625.00000,117459.00000,11121.00000,31700.00000,-2448.00000,,50312.00000,167771.00000
2017-12-31,851.00000,24552.00000,25403.00000,104341.00000,22054.00000,10501.00000,141619.00000,167022.00000,101550.00000,11556.00000,1737.00000,14300.00000,115850.00000,11121.00000,27474.00000,543.00000,,51172.00000,167022.00000
2016-12-31,985.00000,22729.00000,23714.00000,101033.00000,22095.00000,8630.00000,136072.00000,159786.00000,96512.00000,12610.00000,1093.00000,14999.00000,111511.00000,11121.00000,23613.00000,-314.00000,,48275.00000,159786.00000
2015-12-31,1775.00000,16896.00000,18671.00000,67812.00000,5683.00000,6949.00000,83635.00000,102306.00000,62428.00000,9389.00000,1047.00000,10743.00000,73171.00000,7833.00000,19478.00000,-735.00000,,29135.00000,102306.00000
2014-12-31,655.00000,17635.00000,18290.00000,64426.00000,5724.00000,6912.00000,79958.00000,98248.00000,63664.00000,3357.00000,1331.00000,4997.00000,68661.00000,8055.00000,16644.00000,1191.00000,,29587.00000,98248.00000
2013-12-31,579.00000,16471.00000,17050.00000,62490.00000,5404.00000,6637.00000,77460.00000,94510.00000,59936.00000,3807.00000,1633.00000,5749.00000,65685.00000,8899.00000,13791.00000,1152.00000,,28825.00000,94510.00000
2012-12-31,615.00000,16466.00000,17081.00000,61884.00000,4975.00000,6279.00000,75464.00000,92545.00000,59550.00000,3360.00000,1795.00000,5464.00000,65014.00000,9591.00000,10033.00000,2887.00000,,27531.00000,92545.00000
2011-12-31,614.00000,17025.00000,17639.00000,57251.00000,4799.00000,5411.00000,69682.00000,87321.00000,57776.00000,3360.00000,1385.00000,5213.00000,62989.00000,10095.00000,7327.00000,1911.00000,,24332.00000,87321.00000
2010-12-31,772.00000,17385.00000,18157.00000,52922.00000,4664.00000,5202.00000,65198.00000,83355.00000,54659.00000,3358.00000,1939.00000,5722.00000,60381.00000,10161.00000,5926.00000,1594.00000,-2.00000,22974.00000,83355.00000
2009-12-31,669.00000,17564.00000,18233.00000,48198.00000,3931.00000,5019.00000,59747.00000,77980.00000,52817.00000,3158.00000,1918.00000,5496.00000,58313.00000,10503.00000,2818.00000,823.00000,-2.00000,19667.00000,77980.00000
