,cash-on-hand,receivables-total,pre-paid-expenses,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,1171.69100,261.84900,80.20300,1513.74300,249.74400,29.13700,673.13000,47.70100,1121.21800,2634.96100,631.75500,2385.33900,120.40600,2550.48000,3182.23500,0.12500,-1048.26700,-314.21700,-547.27400,2634.96100
2021-12-31,984.61200,247.47200,109.41700,1341.50100,275.06200,85.03400,1978.23400,56.11500,2490.30800,3831.80900,615.58800,2385.70100,122.41700,2587.60200,3203.19000,0.12700,71.74400,-75.01400,628.61900,3831.80900
2020-12-31,1669.21800,169.41100,56.15200,1894.78100,112.49500,39.09400,328.25900,29.74500,509.70800,2404.48900,454.66400,1107.27800,41.64200,1207.40100,1662.06500,0.12600,-146.81900,5.95100,742.42400,2404.48900
2019-12-31,817.25200,65.17200,38.61400,921.03800,144.86400,89.34300,337.96700,34.88300,621.31400,1542.35200,188.52800,838.73700,43.95600,947.19000,1135.71800,0.11900,-227.41400,-8.69900,406.63400,1542.35200
2018-12-31,624.28700,33.31600,22.68600,680.28900,120.17900,,72.07100,5.84800,221.56200,901.85100,112.06200,338.57200,19.86400,388.89100,500.95300,0.12000,-153.44200,-7.81300,400.89800,901.85100
2017-12-31,340.55000,78.33500,20.37900,439.26400,117.61700,,42.64100,5.90200,166.31900,605.58300,102.47700,64.16400,18.26200,106.21200,208.68900,0.12200,-96.29000,-6.37900,396.89400,605.58300
2016-12-31,282.08600,56.24300,15.57100,371.03200,126.40700,,43.16400,6.32600,210.16100,581.19300,84.00800,62.65600,24.70400,152.42800,236.43600,0.11600,-116.34100,18.47200,344.75700,581.19300
2015-12-31,292.86400,39.53700,9.52100,359.05400,105.02100,,30.62300,6.96700,194.00700,553.06100,80.12200,59.37500,21.64600,142.44100,222.56300,0.11300,-86.44000,10.80500,330.49800,553.06100
2014-12-31,88.84300,25.97700,12.24100,127.06100,75.53800,,36.24100,7.36300,119.14200,246.20300,41.45300,53.46800,3.83300,57.45000,98.90300,0.04400,-32.37700,-3.93400,147.30000,246.20300
2013-12-31,54.87000,16.39200,3.72100,76.78500,23.10700,,5.83900,0.42800,29.37400,106.15900,19.21900,0.03800,1.42800,2.72500,21.94400,0.03300,-17.13400,0.16000,84.21500,106.15900
2012-12-31,,,,,,,0.00000,,,0.00000,,,,,0.00000,0.00000,,,0.00000,0.00000
