,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-01-31,1404.00000,17605.00000,1051.00000,20060.00000,19071.00000,199.00000,,1038.00000,24580.00000,44640.00000,19668.00000,23859.00000,781.00000,29788.00000,49456.00000,335.00000,-5115.00000,-36.00000,-4816.00000,44640.00000
2021-01-31,5196.00000,16193.00000,937.00000,22326.00000,19155.00000,200.00000,,882.00000,24409.00000,46735.00000,18730.00000,20668.00000,991.00000,26568.00000,45298.00000,366.00000,1117.00000,-136.00000,1437.00000,46735.00000
2020-01-31,876.00000,13179.00000,1263.00000,15318.00000,18769.00000,372.00000,,905.00000,24153.00000,39471.00000,15182.00000,16768.00000,712.00000,22317.00000,37499.00000,381.00000,1727.00000,-136.00000,1972.00000,39471.00000
2019-01-31,729.00000,12561.00000,938.00000,14228.00000,18432.00000,256.00000,303.00000,995.00000,20280.00000,34508.00000,14497.00000,14391.00000,1149.00000,16367.00000,30864.00000,401.00000,3452.00000,-209.00000,3644.00000,34508.00000
2018-01-31,690.00000,11393.00000,689.00000,12772.00000,19721.00000,408.00000,1307.00000,915.00000,22519.00000,35291.00000,12096.00000,15564.00000,955.00000,17322.00000,29418.00000,415.00000,5425.00000,11.00000,5873.00000,35291.00000
2017-01-31,658.00000,10458.00000,884.00000,12000.00000,19949.00000,366.00000,1082.00000,789.00000,22408.00000,34408.00000,11974.00000,14394.00000,843.00000,16000.00000,27974.00000,433.00000,6241.00000,-240.00000,6434.00000,34408.00000
2016-01-31,712.00000,9458.00000,391.00000,10561.00000,19577.00000,222.00000,154.00000,511.00000,20705.00000,31266.00000,10492.00000,11545.00000,846.00000,13120.00000,23612.00000,455.00000,7593.00000,-394.00000,7654.00000,31266.00000
2015-01-31,591.00000,8911.00000,349.00000,9851.00000,20034.00000,354.00000,,1349.00000,21870.00000,31721.00000,9348.00000,10806.00000,869.00000,12405.00000,21753.00000,480.00000,9591.00000,-103.00000,9968.00000,31721.00000
2014-01-31,576.00000,9127.00000,341.00000,10296.00000,20834.00000,279.00000,,1323.00000,22436.00000,32732.00000,8876.00000,10086.00000,896.00000,12003.00000,20879.00000,515.00000,11355.00000,-17.00000,11853.00000,32732.00000
2013-01-31,666.00000,8600.00000,301.00000,9784.00000,21477.00000,271.00000,,1134.00000,22882.00000,32666.00000,7708.00000,9030.00000,901.00000,11101.00000,18809.00000,555.00000,13224.00000,52.00000,13857.00000,32666.00000
2012-01-31,1300.00000,8355.00000,234.00000,10072.00000,21970.00000,504.00000,,1013.00000,23487.00000,33559.00000,7891.00000,7035.00000,865.00000,9135.00000,17026.00000,621.00000,15852.00000,46.00000,16533.00000,33559.00000
2011-01-31,1123.00000,8321.00000,330.00000,9967.00000,22089.00000,1008.00000,,635.00000,23732.00000,33699.00000,7119.00000,6537.00000,833.00000,8468.00000,15587.00000,677.00000,17371.00000,53.00000,18112.00000,33699.00000
2010-01-31,1057.00000,8249.00000,218.00000,9732.00000,22499.00000,277.00000,,497.00000,23273.00000,33005.00000,7355.00000,4528.00000,906.00000,6581.00000,13936.00000,729.00000,18307.00000,27.00000,19069.00000,33005.00000
2009-01-31,661.00000,8209.00000,215.00000,9190.00000,22722.00000,253.00000,,460.00000,23435.00000,32625.00000,7560.00000,5039.00000,1372.00000,7010.00000,14570.00000,735.00000,17049.00000,-6.00000,18055.00000,32625.00000
