,cash-on-hand,receivables-total,inventory,pre-paid-expenses,other-current-assets,total-current-assets,net-property-plant-equipment,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,other-share-holders-equity,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,1040.00000,2120.00000,3651.00000,240.00000,846.00000,7897.00000,6740.00000,73482.00000,2394.00000,82616.00000,90513.00000,9028.00000,19233.00000,3086.00000,32655.00000,41683.00000,12.00000,489.00000,-2810.00000,,48830.00000,90513.00000
2021-12-31,3445.00000,1957.00000,2729.00000,136.00000,727.00000,8994.00000,6806.00000,74838.00000,2756.00000,84400.00000,93394.00000,9064.00000,21061.00000,3076.00000,34882.00000,43946.00000,12.00000,-1682.00000,-1824.00000,,49448.00000,93394.00000
2020-12-31,3417.00000,2063.00000,2773.00000,132.00000,2437.00000,10822.00000,6876.00000,79756.00000,2376.00000,89008.00000,99830.00000,8061.00000,28070.00000,1751.00000,41526.00000,49587.00000,12.00000,-2694.00000,-1967.00000,,50243.00000,99830.00000
2019-12-31,2279.00000,1973.00000,2721.00000,384.00000,740.00000,8097.00000,7055.00000,84198.00000,2100.00000,93353.00000,101450.00000,7875.00000,28216.00000,1459.00000,41826.00000,49701.00000,12.00000,-3060.00000,-1886.00000,,51749.00000,101450.00000
2018-12-31,1130.00000,2281.00000,2667.00000,400.00000,2597.00000,9075.00000,7078.00000,85971.00000,1337.00000,94386.00000,103461.00000,7503.00000,30770.00000,902.00000,44183.00000,51686.00000,12.00000,-4853.00000,-1943.00000,,51775.00000,103461.00000
2017-12-31,1629.00000,1812.00000,2760.00000,345.00000,655.00000,7201.00000,7061.00000,104257.00000,1573.00000,112891.00000,120092.00000,10154.00000,28308.00000,1088.00000,43868.00000,54022.00000,12.00000,8495.00000,-1054.00000,,66070.00000,120092.00000
2016-12-31,4204.00000,1158.00000,2684.00000,,707.00000,8753.00000,6688.00000,103422.00000,1617.00000,111727.00000,120480.00000,9501.00000,29713.00000,806.00000,53405.00000,62906.00000,12.00000,588.00000,-1628.00000,,57574.00000,120480.00000
2015-12-31,4837.00000,1454.00000,2618.00000,,871.00000,9780.00000,6524.00000,105171.00000,1498.00000,113193.00000,122973.00000,6932.00000,25151.00000,752.00000,49828.00000,56760.00000,12.00000,,-671.00000,,66213.00000,122973.00000
2014-12-31,2298.00000,851.00000,1185.00000,,581.00000,4915.00000,2365.00000,28147.00000,1144.00000,31656.00000,36571.00000,3092.00000,13358.00000,282.00000,17823.00000,20915.00000,4.00000,,-574.00000,,15656.00000,36571.00000
2013-12-31,1686.00000,1048.00000,1616.00000,,198.00000,4908.00000,4115.00000,13734.00000,391.00000,18240.00000,23148.00000,3410.00000,9976.00000,428.00000,14551.00000,17961.00000,,1281.00000,-499.00000,,5187.00000,23148.00000
2012-12-31,1255.00000,1089.00000,1928.00000,,131.00000,4823.00000,4204.00000,13827.00000,325.00000,18356.00000,23179.00000,3606.00000,9966.00000,405.00000,16001.00000,19607.00000,,-206.00000,-460.00000,,3572.00000,23179.00000
2011-12-31,,903.00000,1943.00000,,194.00000,3272.00000,4278.00000,13946.00000,43.00000,18267.00000,21539.00000,2572.00000,27.00000,641.00000,2379.00000,4951.00000,,,-125.00000,16713.00000,16588.00000,21539.00000
2010-12-31,,,,,,,,0.00000,,,0.00000,,,,,0.00000,0.00000,,,0.00000,0.00000,0.00000
