,cash-on-hand,receivables-total,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,other-share-holders-equity,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,973.00000,3561.00000,755.00000,2047.00000,7336.00000,69076.00000,232.00000,6630.00000,1141.00000,88013.00000,95349.00000,10611.00000,35662.00000,11973.00000,59994.00000,70605.00000,20908.00000,4597.00000,-638.00000,,24744.00000,95349.00000
2021-12-31,993.00000,2865.00000,581.00000,1683.00000,13957.00000,64558.00000,250.00000,6630.00000,885.00000,119056.00000,133013.00000,16111.00000,31139.00000,12630.00000,82107.00000,98218.00000,20324.00000,16942.00000,-2750.00000,,34795.00000,133013.00000
2020-12-31,1101.00000,4629.00000,1722.00000,5110.00000,12562.00000,82584.00000,440.00000,6677.00000,3831.00000,116755.00000,129317.00000,12771.00000,35483.00000,28657.00000,81678.00000,94449.00000,19373.00000,16735.00000,-3400.00000,,34868.00000,129317.00000
2019-12-31,945.00000,6175.00000,1768.00000,3149.00000,12037.00000,80233.00000,464.00000,6677.00000,4041.00000,112940.00000,124977.00000,14185.00000,31719.00000,27902.00000,76219.00000,90404.00000,19274.00000,16267.00000,-3194.00000,,34573.00000,124977.00000
2018-12-31,1596.00000,5863.00000,1685.00000,4184.00000,13328.00000,76707.00000,625.00000,6677.00000,2399.00000,106306.00000,119634.00000,11404.00000,34465.00000,25409.00000,75183.00000,86587.00000,19116.00000,14743.00000,-2995.00000,,33047.00000,119634.00000
2017-12-31,1105.00000,5577.00000,1651.00000,3563.00000,11896.00000,74202.00000,640.00000,6677.00000,2062.00000,104874.00000,116770.00000,10798.00000,32565.00000,26249.00000,73785.00000,84583.00000,18964.00000,14081.00000,-3026.00000,,32187.00000,116770.00000
2016-12-31,888.00000,5359.00000,1638.00000,4527.00000,12412.00000,71555.00000,629.00000,6677.00000,2524.00000,102492.00000,114904.00000,13457.00000,32216.00000,19233.00000,73835.00000,87292.00000,18794.00000,12030.00000,-2660.00000,,27612.00000,114904.00000
2015-12-31,6707.00000,4099.00000,1566.00000,2962.00000,15334.00000,57439.00000,639.00000,2672.00000,2893.00000,80050.00000,95384.00000,9118.00000,24286.00000,17497.00000,58972.00000,68090.00000,18676.00000,12068.00000,-2624.00000,193.00000,27294.00000,95384.00000
2014-12-31,2149.00000,4709.00000,1603.00000,3392.00000,11853.00000,52170.00000,544.00000,2672.00000,2564.00000,74563.00000,86416.00000,8762.00000,19853.00000,17524.00000,53521.00000,62283.00000,16709.00000,10910.00000,-2684.00000,193.00000,24133.00000,86416.00000
2013-12-31,1776.00000,4156.00000,1105.00000,2527.00000,10137.00000,47330.00000,3112.00000,2625.00000,2739.00000,69787.00000,79924.00000,7728.00000,18271.00000,16204.00000,49256.00000,56984.00000,16741.00000,10358.00000,-2040.00000,193.00000,22940.00000,79924.00000
2012-12-31,1619.00000,4228.00000,1014.00000,3148.00000,10140.00000,45186.00000,3055.00000,2625.00000,3752.00000,68421.00000,78561.00000,7791.00000,18346.00000,15628.00000,49040.00000,56831.00000,16632.00000,9893.00000,-2767.00000,193.00000,21730.00000,78561.00000
2011-12-31,1056.00000,2613.00000,864.00000,1180.00000,5713.00000,32570.00000,766.00000,2625.00000,2296.00000,49282.00000,54995.00000,5134.00000,12189.00000,12750.00000,35473.00000,40607.00000,9107.00000,10055.00000,-2450.00000,,14388.00000,54995.00000
2010-12-31,1642.00000,3128.00000,806.00000,822.00000,6398.00000,29941.00000,732.00000,2625.00000,1996.00000,45842.00000,52240.00000,4240.00000,12004.00000,12067.00000,34437.00000,38677.00000,9006.00000,9304.00000,-2423.00000,,13563.00000,52240.00000
2009-12-31,2050.00000,2049.00000,757.00000,585.00000,5441.00000,27341.00000,724.00000,2625.00000,1508.00000,43739.00000,49180.00000,4238.00000,11385.00000,11455.00000,32302.00000,36540.00000,8923.00000,8134.00000,-2089.00000,,12640.00000,49180.00000
