,cash-on-hand,receivables-total,inventory,pre-paid-expenses,other-current-assets,total-current-assets,net-property-plant-equipment,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,51.92700,1858.83900,40.60200,260.41000,,2211.77800,4979.81700,236.39000,358.59700,5574.80400,7786.58200,1568.23100,1261.73800,369.31400,2551.58300,4119.81400,1.67100,6423.73000,3666.76800,7786.58200
2021-12-31,355.54900,1723.23400,25.03200,209.55400,,2313.36900,4067.65500,191.09300,222.23100,4480.97900,6794.34800,1729.60000,945.25700,256.23300,1946.93200,3676.53200,1.67100,5621.10300,3117.81600,6794.34800
2020-12-31,313.30200,1310.25200,23.80400,194.75900,,1842.11700,3688.89400,212.12200,185.21500,4086.23100,5928.34800,1084.80300,1305.42400,245.96100,2243.40700,3328.21000,1.67100,4984.73900,2600.13800,5928.34800
2019-12-31,35.00000,1242.16000,21.10600,183.03300,,1481.29900,3620.86600,202.83200,165.85700,3989.55500,5470.85400,1035.76600,1295.74000,173.24100,2168.05900,3203.82500,1.67100,4592.93800,2267.02900,5470.85400
2018-12-31,7.60000,1326.20900,21.97700,147.19500,,1502.98100,3445.11100,105.15700,38.39800,3588.66600,5091.64700,1352.34800,898.39800,96.05600,1637.91500,2990.26300,1.67100,4188.43500,2101.38400,5091.64700
2017-12-31,14.61200,1204.26600,20.68800,99.16200,,1338.72800,2983.33100,113.45500,29.83500,3126.62100,4465.34900,921.84400,1085.64900,76.66100,1704.18000,2626.02400,1.67100,3803.84400,1839.32500,4465.34900
2016-12-31,6.37700,745.28800,18.57700,107.51300,189.66500,1067.42000,2818.79100,2.35600,62.16000,2883.30700,3950.72700,694.87300,986.27800,64.88100,1841.79300,2536.66600,1.67100,3218.94300,1414.06100,3950.72700
2015-12-31,5.56600,731.28000,23.19100,97.88800,,857.92500,2701.32900,,70.29000,2771.61900,3629.54400,532.41700,998.00300,58.55200,1796.77500,2329.19200,1.67100,2885.84300,1300.35200,3629.54400
2014-12-31,5.96100,653.79500,27.74000,78.54600,95.45700,861.49900,2482.53200,,34.45500,2516.98700,3378.48600,771.07000,683.53900,59.56100,1402.89300,2173.96300,1.67100,2555.97200,1204.52300,3378.48600
2013-12-31,5.83100,568.51900,26.24800,64.19000,15.41500,680.20300,2112.20400,,26.99700,2139.20100,2819.40400,712.29600,458.41700,58.27400,1094.65600,1806.95200,1.67100,2274.78400,1012.45200,2819.40400
2012-12-31,5.58900,466.01100,23.06500,50.10600,9.76100,554.53200,1885.47400,,24.63500,1910.10900,2464.64100,502.76000,585.34700,53.05000,1170.02100,1672.78100,1.67100,1985.21300,791.86000,2464.64100
2011-12-31,5.45000,411.47900,20.93200,46.38400,24.16100,513.54200,1726.87000,,26.92000,1753.79000,2267.33200,438.51500,699.17700,45.38200,1261.27400,1699.78900,1.67100,1758.29000,567.54300,2267.33200
2010-12-31,7.65100,351.18700,17.33600,54.32400,32.14700,462.64500,1479.48400,,19.53100,1499.01500,1961.66000,509.94900,454.20700,39.48000,878.68990,1388.63900,1.67100,1563.52700,573.02100,1961.66000
2009-12-31,7.84300,310.33900,17.27300,48.57100,8.43900,392.46500,1444.67100,,19.77800,1464.44900,1856.91400,269.21800,565.00000,35.58100,943.84300,1213.06100,1.67100,1423.82000,643.85300,1856.91400
