,cash-on-hand,receivables-total,inventory,pre-paid-expenses,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,1452.48200,656.84700,1515.04500,315.91500,3955.15100,1147.00500,1208.36000,746.45500,85.25700,3776.01900,7731.17000,1211.63500,34.98700,315.19500,1526.83000,17.97900,4733.51700,-114.53300,6204.34000,7731.17000
2021-12-31,1846.03800,843.44500,1227.60900,328.71900,4261.77200,1067.47800,1268.69800,791.07300,103.38300,3592.65500,7854.42700,1448.14800,62.86300,292.12000,1740.26800,17.97900,4320.73700,117.83500,6114.15900,7854.42700
2020-12-31,1846.08400,849.46900,762.08400,191.56900,3669.35100,855.53900,1131.17500,828.56600,190.15100,3362.02200,7031.37300,1164.21700,108.30400,351.04000,1515.25700,17.97900,3754.37200,183.42700,5516.11600,7031.37300
2019-12-31,1404.03000,706.76300,752.90800,169.04400,3057.85000,728.92100,1205.47500,659.62900,159.32400,3108.94900,6166.79900,1035.93300,106.04900,337.37000,1373.30300,17.97900,3229.06100,55.87400,4793.49600,6166.79900
2018-12-31,1384.72100,569.83300,561.84000,120.51200,2665.36800,663.52700,1330.12300,417.08000,100.32800,2717.49000,5382.85800,921.31300,129.06100,298.57100,1219.88400,17.97900,2710.61900,8.43000,4162.97400,5382.85800
2017-12-31,1053.17500,590.88200,517.64400,153.91200,2346.13800,595.68400,1260.03300,409.80100,107.62300,2602.15100,4948.28900,792.11500,140.08300,303.75500,1095.87000,17.97900,2418.44400,56.42800,3852.41900,4948.28900
2016-12-31,1113.83500,527.06200,484.82100,89.90300,2263.01600,482.87800,1213.28500,305.00200,94.50800,2262.11700,4525.13300,782.73500,122.76800,324.39500,1107.13000,17.97900,2056.70200,-36.76100,3418.00300,4525.13300
2015-12-31,1048.23100,531.48100,500.55400,81.64500,2211.08700,446.08900,1343.38700,245.55200,97.98900,2288.30400,4499.39100,865.99800,103.32600,288.26700,1154.26500,1797.43500,1930.51700,-30.42800,3345.12600,4499.39100
2014-12-31,1364.25700,570.19100,420.47500,48.61500,2510.97600,430.88700,1407.34400,218.08300,22.16100,2182.32700,4693.30300,1033.26100,82.04800,256.67500,1289.93600,1797.43500,1859.97200,2.57100,3403.36700,4693.30300
2013-12-31,1329.01100,564.58600,382.22600,55.24300,2595.63600,414.84800,1502.10600,219.49400,18.03800,2283.96700,4879.60300,905.30400,141.82300,314.59300,1219.89700,1797.43500,1865.58700,38.04100,3659.70600,4879.60300
2012-12-31,1384.26300,603.67300,389.93100,35.52000,2536.12000,409.75100,1488.31200,232.59700,16.06500,2283.00400,4819.12400,909.02600,182.78800,378.30200,1287.32800,1797.43500,1604.62500,138.55400,3531.79600,4819.12400
2011-12-31,1398.31300,607.45000,397.74100,77.63000,2574.83700,417.10500,1097.00200,246.64600,6.28800,1896.50100,4471.33800,858.27900,163.39500,356.47800,1214.75700,1797.43500,1413.58200,87.19300,3256.58100,4471.33800
2010-12-31,1285.35400,747.24900,387.57700,24.89400,2498.75500,427.80500,777.40100,185.15200,1.27700,1489.93300,3988.68800,669.03700,155.02700,270.08900,939.12600,1797.43500,1264.61300,56.00400,3049.56200,3988.68800
2009-12-31,1111.16400,874.11000,309.93800,34.15600,2396.07900,441.33800,746.46400,213.66000,2.04700,1432.00300,3828.08200,685.87600,257.01500,305.75900,991.63500,1.00100,2816.60700,-13.38200,2836.44700,3828.08200
