,cash-on-hand,receivables-total,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,1019.00000,1891.00000,741.00000,301.00000,3952.00000,56038.00000,2375.00000,1412.00000,61497.00000,65449.00000,5520.00000,31648.00000,1785.00000,47766.00000,53286.00000,2782.00000,58887.00000,-582.00000,12163.00000,65449.00000
2021-12-31,1006.00000,1722.00000,621.00000,202.00000,3551.00000,54871.00000,2241.00000,1075.00000,59974.00000,63525.00000,5744.00000,27563.00000,1953.00000,43620.00000,49364.00000,2781.00000,55049.00000,-914.00000,14161.00000,63525.00000
2020-12-31,1859.00000,1505.00000,638.00000,212.00000,4214.00000,54161.00000,2164.00000,249.00000,58184.00000,62398.00000,4173.00000,25660.00000,2077.00000,41267.00000,45440.00000,2781.00000,51326.00000,-1593.00000,16958.00000,62398.00000
2019-12-31,891.00000,1595.00000,751.00000,222.00000,3459.00000,53916.00000,2050.00000,436.00000,58214.00000,61673.00000,4351.00000,23943.00000,1788.00000,39194.00000,43545.00000,2780.00000,48605.00000,-1356.00000,18128.00000,61673.00000
2018-12-31,1333.00000,1755.00000,742.00000,333.00000,4163.00000,52679.00000,1912.00000,393.00000,54984.00000,59147.00000,4626.00000,20925.00000,1871.00000,34098.00000,38724.00000,2779.00000,45284.00000,-1415.00000,20423.00000,59147.00000
2017-12-31,1365.00000,1493.00000,749.00000,399.00000,4006.00000,51605.00000,1809.00000,386.00000,53800.00000,57806.00000,3939.00000,16144.00000,1931.00000,29011.00000,32950.00000,2778.00000,41317.00000,-1141.00000,24856.00000,57806.00000
2016-12-31,1337.00000,1258.00000,717.00000,284.00000,3596.00000,50389.00000,1457.00000,276.00000,52122.00000,55718.00000,3640.00000,14249.00000,1901.00000,32146.00000,35786.00000,2777.00000,32587.00000,-1272.00000,19932.00000,55718.00000
2015-12-31,1391.00000,1356.00000,736.00000,647.00000,4130.00000,48866.00000,1410.00000,194.00000,50470.00000,54600.00000,3206.00000,13607.00000,1844.00000,30692.00000,33898.00000,2776.00000,30233.00000,-1195.00000,20702.00000,54600.00000
2014-12-31,1586.00000,1611.00000,712.00000,492.00000,4401.00000,46272.00000,1390.00000,309.00000,47971.00000,52372.00000,3764.00000,10952.00000,2064.00000,27419.00000,31183.00000,2775.00000,27367.00000,-1210.00000,21189.00000,52372.00000
2013-12-31,1432.00000,1414.00000,653.00000,223.00000,3990.00000,43749.00000,1321.00000,671.00000,45741.00000,49731.00000,3791.00000,8872.00000,1680.00000,24715.00000,28506.00000,2774.00000,23901.00000,-750.00000,21225.00000,49731.00000
2012-12-31,1063.00000,1331.00000,660.00000,297.00000,3614.00000,41997.00000,1259.00000,283.00000,43539.00000,47153.00000,3119.00000,8801.00000,2248.00000,24157.00000,27276.00000,1386.00000,22271.00000,-1186.00000,19877.00000,47153.00000
2011-12-31,1217.00000,1401.00000,614.00000,189.00000,3727.00000,39934.00000,1175.00000,260.00000,41369.00000,45096.00000,3317.00000,8697.00000,2136.00000,23201.00000,26518.00000,1386.00000,19508.00000,-1054.00000,18578.00000,45096.00000
2010-12-31,1086.00000,1184.00000,534.00000,367.00000,3432.00000,38253.00000,1137.00000,266.00000,39656.00000,43088.00000,2952.00000,9003.00000,1813.00000,22373.00000,25325.00000,1385.00000,17154.00000,-734.00000,17763.00000,43088.00000
2009-12-31,1850.00000,666.00000,475.00000,350.00000,3680.00000,37202.00000,1036.00000,266.00000,38504.00000,42184.00000,2682.00000,9636.00000,2021.00000,22701.00000,25383.00000,1384.00000,15027.00000,-654.00000,16801.00000,42184.00000
