,cash-on-hand,receivables-total,total-current-assets,net-property-plant-equipment,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,other-share-holders-equity,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,722.29210,1463.01100,3076.14700,32925.03000,68.32100,1499.79000,34493.14000,37893.23000,1535.32500,14548.09000,14932.53000,16883.68000,491.91900,-6709.14600,-119.70700,,21009.55000,37893.23000
2021-12-31,346.75500,1169.09600,2584.53200,30695.63000,68.32100,1039.04300,31803.00000,34910.32000,1235.55400,14130.95000,14532.25000,16313.74000,448.60500,-5717.17900,-121.31600,,18596.58000,34910.32000
2020-12-31,2021.04300,973.09700,3437.51200,27565.71000,68.32100,946.23400,28580.26000,32483.64000,1041.59400,13798.72000,14142.21000,15602.07000,418.69100,-5016.12300,-148.50400,,16881.57000,32483.64000
2019-12-31,385.76600,1223.97000,1880.11800,30312.46000,68.32100,583.42300,30964.20000,33380.75000,1009.48200,14915.07000,15390.95000,16874.12000,411.00500,-4869.56800,-112.15700,,16506.63000,33380.75000
2018-12-31,316.12900,1053.93900,1700.40700,28090.43000,68.32100,482.91400,28641.66000,30342.07000,1034.28300,13226.48000,13650.52000,14755.47000,384.46500,-4697.02200,-129.76900,0.29400,15586.60000,30342.07000
2017-12-31,309.30300,950.15900,1686.96100,25743.58000,68.32100,445.58500,26257.48000,27944.45000,911.86300,11731.94000,12107.13000,13018.99000,372.44900,-4155.13200,-111.46500,0.67000,14925.45000,27944.45000
2016-12-31,607.22000,1168.87600,2392.16100,25947.56000,68.32100,457.13800,26473.02000,28865.18000,827.03400,12358.25000,12756.68000,13583.71000,363.07100,-3341.40600,-169.53100,3.05900,15281.47000,28865.18000
2015-12-31,422.69000,1101.86800,2344.05000,26069.19000,68.32100,542.28100,26679.79000,29023.85000,697.19100,12967.69000,13150.77000,13847.96000,354.81100,-3120.28400,-88.24300,4.09800,15175.88000,29023.85000
2014-12-31,553.42300,745.83200,1679.42400,22471.03000,68.32100,744.15100,23283.50000,24962.92000,626.82500,10776.64000,10863.05000,11489.87000,328.83500,-2793.90100,-77.00900,5.50700,13473.05000,24962.92000
2013-12-31,231.60100,553.31000,1117.05700,21348.07000,68.32100,479.62900,21966.90000,23083.96000,640.57300,10652.01000,10687.05000,11327.63000,289.46100,-2270.98500,-24.53100,6.02000,11756.33000,23083.96000
2012-12-31,1141.42100,411.09500,2448.18100,16527.34000,68.32100,438.93600,17100.93000,19549.11000,462.09900,8531.89800,8566.49000,9028.59000,260.39600,-1509.76000,-11.02800,6.46100,10520.52000,19549.11000
2011-12-31,233.10200,380.52700,906.13600,13649.84000,68.32100,241.72200,14018.47000,14924.61000,371.55700,7240.75200,7274.40200,7645.95900,192.29900,-1078.32300,-11.92800,6.12000,7278.64700,14924.61000
2010-12-31,210.63900,328.98800,974.93100,8155.52900,51.20700,237.10700,8476.80300,9451.73400,244.34500,4469.73600,4474.28900,4718.63400,147.15500,-751.68510,-11.09900,5.69700,4733.10000,9451.73400
2009-12-31,58.71300,199.33900,680.23200,5658.44000,,5.81600,5686.95400,6367.18600,145.71300,2414.02200,2414.02200,2559.73500,123.38500,-509.98900,-2.89100,4.80400,3807.45100,6367.18600
