,cash-on-hand,receivables-total,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-09-30,6382.00000,5643.00000,6341.00000,2358.00000,20724.00000,5168.00000,,12390.00000,8929.00000,28290.00000,49014.00000,11866.00000,13537.00000,3982.00000,19135.00000,31001.00000,195.00000,17840.00000,-22.00000,18013.00000,49014.00000
2021-09-30,12414.00000,3579.00000,3228.00000,854.00000,20075.00000,4559.00000,,8704.00000,6311.00000,21165.00000,41240.00000,11951.00000,13701.00000,3561.00000,19339.00000,31290.00000,,9822.00000,128.00000,9950.00000,41240.00000
2020-09-30,11214.00000,4003.00000,2598.00000,704.00000,18519.00000,3711.00000,,7976.00000,4037.00000,17075.00000,35594.00000,8672.00000,15226.00000,4858.00000,20845.00000,29517.00000,586.00000,5284.00000,207.00000,6077.00000,35594.00000
2019-09-30,12260.00000,2471.00000,1400.00000,634.00000,16765.00000,3081.00000,,8454.00000,3461.00000,16192.00000,32957.00000,8935.00000,13437.00000,2428.00000,19113.00000,28048.00000,343.00000,4466.00000,100.00000,4909.00000,32957.00000
2018-09-30,12088.00000,2904.00000,1693.00000,699.00000,17384.00000,2975.00000,,9453.00000,1970.00000,15334.00000,32718.00000,11389.00000,15365.00000,1225.00000,20522.00000,31911.00000,,542.00000,265.00000,807.00000,32718.00000
2017-09-30,37308.00000,3632.00000,2035.00000,618.00000,43593.00000,3216.00000,1270.00000,10360.00000,4147.00000,21893.00000,65486.00000,10907.00000,19398.00000,2432.00000,23833.00000,34740.00000,274.00000,30088.00000,384.00000,30746.00000,65486.00000
2016-09-30,18648.00000,2219.00000,1556.00000,558.00000,22981.00000,2306.00000,13702.00000,9179.00000,2161.00000,29378.00000,52359.00000,7311.00000,10008.00000,895.00000,13280.00000,20591.00000,414.00000,30936.00000,428.00000,31768.00000,52359.00000
2015-09-30,17321.00000,1964.00000,1492.00000,687.00000,22099.00000,2534.00000,13626.00000,9221.00000,1863.00000,28697.00000,50796.00000,6100.00000,9969.00000,817.00000,13282.00000,19382.00000,,31226.00000,195.00000,31414.00000,50796.00000
2014-09-30,17565.00000,2412.00000,1458.00000,401.00000,22413.00000,2487.00000,14457.00000,7068.00000,975.00000,26161.00000,48574.00000,6013.00000,,428.00000,3395.00000,9408.00000,,30799.00000,634.00000,39166.00000,48574.00000
2013-09-30,14966.00000,2142.00000,1302.00000,572.00000,19555.00000,2995.00000,14440.00000,6529.00000,938.00000,25961.00000,45516.00000,5213.00000,,550.00000,4216.00000,9429.00000,,25461.00000,753.00000,36087.00000,45516.00000
2012-09-30,12374.00000,1459.00000,1030.00000,473.00000,15645.00000,2851.00000,14463.00000,6855.00000,1786.00000,27367.00000,43012.00000,5302.00000,,426.00000,4165.00000,9467.00000,,20701.00000,866.00000,33545.00000,43012.00000
2011-09-30,11652.00000,993.00000,765.00000,346.00000,14293.00000,2414.00000,9261.00000,6531.00000,2220.00000,22129.00000,36422.00000,5289.00000,,620.00000,4161.00000,9450.00000,,16204.00000,353.00000,26972.00000,36422.00000
2010-09-30,10279.00000,730.00000,528.00000,275.00000,12133.00000,2373.00000,8123.00000,4510.00000,1511.00000,18439.00000,30572.00000,5468.00000,,761.00000,4246.00000,9714.00000,,13305.00000,697.00000,20858.00000,30572.00000
2009-09-30,11069.00000,700.00000,453.00000,199.00000,12570.00000,2387.00000,6673.00000,4557.00000,415.00000,14875.00000,27445.00000,2813.00000,,852.00000,4316.00000,7129.00000,,11235.00000,588.00000,20316.00000,27445.00000
