,cash-on-hand,receivables-total,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,other-share-holders-equity,total-share-holder-equity,total-liabilities-share-holders-equity
2022-04-30,169.90000,524.70000,1089.30000,226.20000,2010.10000,2131.70000,11668.00000,138.70000,14044.90000,16055.00000,1952.80000,4310.60000,80.40000,5962.10000,7914.90000,26.60000,2893.00000,-237.40000,,8140.10000,16055.00000
2021-04-30,334.30000,533.70000,959.90000,113.80000,1941.70000,2001.50000,12064.80000,134.20000,14342.50000,16284.20000,2867.50000,3516.80000,96.80000,5291.89900,8159.40000,27.10000,2847.50000,-277.40000,,8124.80000,16284.20000
2020-04-30,391.10000,551.40000,895.30000,134.90000,1972.70000,1969.40000,12733.50000,146.40000,14997.70000,16970.40000,1587.10000,5373.30000,98.20000,7192.40000,8779.50000,29.00000,2746.80000,-379.00000,,8190.90000,16970.40000
2019-04-30,101.30000,503.80000,910.30000,109.80000,1625.20000,1912.40000,13029.70000,144.00000,15086.10000,16711.30000,2341.50000,4686.30000,110.30000,6399.30000,8740.80000,28.90000,2367.60000,-181.80000,,7970.50000,16711.30000
2018-04-30,192.60000,385.60000,854.40000,122.40000,1555.00000,1729.10000,11858.70000,158.40000,13746.20000,15301.20000,1033.80000,4688.00000,105.10000,6376.30000,7410.10000,28.90000,2239.20000,-116.70000,,7891.10000,15301.20000
2017-04-30,166.80000,438.70000,905.70000,130.60000,1641.80000,1617.50000,12227.00000,153.40000,13997.90000,15639.70000,1832.60000,4445.50000,88.00000,6956.90000,8789.50000,28.40000,1240.50000,-143.40000,,6850.20000,15639.70000
2016-04-30,109.80000,450.10000,899.40000,114.10000,1573.40000,1627.70000,12585.50000,197.50000,14410.70000,15984.10000,1213.00000,5146.00000,88.10000,7762.60000,8975.60000,29.10000,1267.70000,-148.40000,,7008.50000,15984.10000
2015-04-30,125.60000,430.10000,1163.60000,264.60000,1983.90000,1678.30000,12961.90000,182.20000,14822.40000,16806.30000,1022.60000,5944.90000,91.40000,8696.80100,9719.40000,29.90000,1159.20000,-109.80000,-0.10000,7086.90000,16806.30000
2014-04-30,153.50000,309.40000,931.00000,145.20000,1539.10000,1265.60000,6122.50000,133.00000,7521.10000,9060.20000,885.80000,1873.10000,56.80000,3144.80000,4030.60000,25.40000,1091.00000,-51.60000,-1.00000,5029.60000,9060.20000
2013-04-30,256.40000,313.70000,945.50000,79.60000,1595.20000,1142.50000,6142.30000,151.80000,7436.60000,9031.80000,596.80000,1967.80000,101.10000,3286.20000,3883.00000,26.60000,1075.50000,-76.60000,-1.80000,5148.80000,9031.80000
2012-04-30,229.70000,347.50000,961.60000,104.70000,1643.50000,1096.10000,6241.60000,134.00000,7471.70000,9115.20000,616.90000,2020.50000,105.30000,3334.90000,3951.80000,27.60000,961.20000,-84.00000,-2.60000,5163.40000,9115.20000
2011-04-30,319.84500,344.41000,863.57900,109.16500,1636.99900,867.88200,5752.75600,66.94800,6687.58600,8324.58500,482.67600,1304.03900,44.17300,2549.54600,3032.22200,28.54300,866.93300,3.62900,-3.33400,5292.36300,8324.58500
2010-04-30,283.57000,238.86700,654.93900,46.25400,1223.63000,858.31300,5834.24500,58.66500,6751.22300,7974.85300,478.89700,900.00000,35.57000,2169.63600,2648.53300,29.78000,746.06300,-20.58100,-4.06900,5326.32000,7974.85300
2009-04-30,456.69300,266.03700,603.92600,72.23500,1398.89100,838.43300,5890.36700,64.47000,6793.27100,8192.16100,1061.23600,910.00000,30.60300,2190.99400,3252.23000,29.60600,424.50400,-57.27000,-4.83000,4939.93100,8192.16100
