,cash-on-hand,receivables-total,other-current-assets,total-current-assets,net-property-plant-equipment,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,2034.13100,2107.64500,118.69600,4518.01700,501.91600,7.92700,17.62200,1072.41700,5590.43400,2054.05500,,422.84400,2476.89900,1.54300,3310.89200,-202.55300,3113.53500,5590.43400
2021-12-31,1728.69200,3810.28600,108.80100,6635.04500,487.87000,7.92700,19.20000,974.88400,7609.92900,3726.29700,,385.64100,4111.93800,1.67200,3620.00800,-130.41400,3497.99100,7609.92900
2020-12-31,1527.79100,1998.05500,110.25000,3963.54400,506.42500,7.92700,16.88400,963.95890,4927.50300,1893.04300,,371.23300,2264.27600,1.69300,2600.20100,-99.75300,2663.22700,4927.50300
2019-12-31,1230.49100,1315.09100,92.55800,2769.92300,499.34400,7.92700,16.62100,921.96090,3691.88400,1168.31800,,326.34700,1494.66500,1.69600,2321.31600,-131.18700,2197.21900,3691.88400
2018-12-31,923.73500,1581.53000,70.04100,2734.81600,504.10500,7.92700,27.24600,579.74300,3314.55900,1326.83900,,,1326.83900,1.71600,2088.70700,-105.48100,1987.72000,3314.55900
2017-12-31,1051.09900,1414.74100,75.61200,2541.45200,525.20300,7.92700,29.21900,575.55600,3117.00800,1093.11900,29.51600,29.51600,1122.63500,1.76400,2063.51200,-73.96400,1994.37300,3117.00800
2016-12-31,974.43500,1190.13000,54.01400,2218.57900,536.57200,7.92700,27.79300,572.29200,2790.87100,929.93100,,13.72700,943.65800,1.79900,1944.78900,-104.59200,1847.21300,2790.87100
2015-12-31,807.79600,1112.26000,56.45300,1976.50900,524.72400,7.92700,56.41700,589.06800,2565.57700,861.37300,,9.52800,870.90100,1.82100,1771.37900,-81.23800,1694.67600,2565.57700
2014-12-31,967.44300,1236.04200,65.48600,2289.25000,538.41500,7.92700,55.31300,601.65500,2890.90500,983.78300,,35.51400,1019.29700,1.91600,1903.19600,-37.81700,1871.60800,2890.90500
2013-12-31,1273.98900,1073.50000,49.38400,2415.26900,563.06400,7.92700,28.55200,599.54300,3014.81200,870.20000,,58.28100,928.48100,2.02500,2087.37600,-6.26500,2086.33100,3014.81200
2012-12-31,1260.98100,1031.37600,53.14000,2357.59900,556.20400,7.92700,32.39500,596.52600,2954.12500,842.55800,,78.99700,921.55500,2.06400,2018.61800,5.73400,2032.57000,2954.12500
2011-12-31,1294.35600,934.75200,47.36000,2286.88300,538.80600,7.92700,33.21100,579.94400,2866.82700,796.14500,,60.61300,856.75800,2.12000,1991.22200,-2.96400,2010.06900,2866.82700
2010-12-31,1084.98900,1003.88400,42.77600,2140.35500,498.64800,11.64300,28.53300,538.82400,2679.17900,861.97800,,69.04700,931.02500,2.12000,1717.24900,8.12500,1748.15400,2679.17900
2009-12-31,926.58400,810.36900,42.53900,1787.83000,495.70100,12.86500,27.32600,535.89200,2323.72200,708.38600,,53.98900,762.37500,2.12000,1532.01800,0.60400,1561.34700,2323.72200
