,cash-on-hand,receivables-total,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,581.11800,191.94000,109.32700,882.38500,176.13600,,2706.11300,141.18300,3300.37900,4182.76400,556.35400,3835.72600,116.93400,3985.29100,4541.64500,0.28700,-7782.56800,-369.18200,-358.88100,4182.76400
2021-12-31,827.20200,188.48200,202.56800,1218.25200,163.25600,,3183.69300,163.15000,3845.03600,5063.28800,1168.29500,3829.42100,129.89300,4090.83500,5259.13000,0.28300,-8144.51400,-223.75400,-195.84200,5063.28800
2020-12-31,739.16400,137.02300,144.02500,1020.21200,107.79900,,1501.43200,123.52400,2026.24200,3046.45400,500.03600,3840.93000,101.01000,3959.79300,4459.82900,0.26700,-8422.23700,-81.45400,-1413.37500,3046.45400
2019-12-31,465.67600,116.45900,97.85000,3708.06400,101.06500,,1468.16300,64.23200,4656.73900,8364.80300,1010.18000,2889.62600,56.45300,3456.30500,4466.48500,0.27900,1689.92500,-136.34900,3898.31800,8364.80300
2018-12-31,2255.29700,279.18900,228.25300,2762.73900,318.80000,235.05500,3358.28100,134.92400,4111.84600,6874.58500,883.55800,2245.54800,104.39100,2439.22600,3322.78400,0.27800,1258.79400,-128.72200,3551.80100,6874.58500
2017-12-31,1635.80400,304.02700,185.37400,2125.20500,315.17000,64.97700,3222.80300,73.33400,3742.60500,5867.81000,799.72800,1979.46900,63.85300,2121.25900,2920.98700,0.27700,595.03800,-103.56800,2946.82300,5867.81000
2016-12-31,1418.52900,220.13800,204.06800,1842.73500,306.24800,122.81000,2279.50300,92.06600,2803.13800,4645.87300,713.38800,1582.48400,77.70600,1921.81500,2635.20300,0.27200,290.11400,-166.12300,2010.67000,4645.87300
2015-12-31,1520.64700,250.07700,174.28600,1945.01000,302.81700,137.38600,2686.19200,117.28600,3243.68100,5188.69100,768.54600,1726.95400,98.20200,2204.32000,2972.86600,0.27000,331.39400,-152.10300,2215.82500,5188.69100
2014-12-31,1151.05300,236.08600,148.74900,1535.88800,302.45900,114.98300,2246.86200,56.69300,2720.99700,4256.88500,673.70000,1080.00000,77.82600,1590.04300,2263.74300,0.26800,325.11800,-87.70000,1993.14200,4256.88500
2013-12-31,1106.44800,207.40800,161.53000,1475.38600,293.96400,179.99000,2120.65900,164.68500,2759.29800,4234.68400,586.89700,1080.00000,474.77700,1918.38600,2505.28300,0.26700,-32.73500,-13.04600,1729.40100,4234.68400
2012-12-31,770.58100,229.83000,156.33900,1156.75000,270.51200,161.27800,2099.05800,118.23000,2649.07800,3805.82800,624.88900,580.00000,511.77500,1473.30400,2098.19300,0.26700,-318.51900,-32.16900,1707.63500,3805.82800
2011-12-31,869.84800,177.03000,112.25500,1159.13300,259.58800,173.75200,1736.63100,80.76100,2250.73200,3409.86500,534.18500,95.84400,467.13400,915.54000,1449.72500,0.25000,-477.78500,-12.44300,1960.14000,3409.86500
2010-12-31,1306.09600,119.58100,118.30800,1543.98500,267.92800,200.72100,1234.53700,81.90800,1785.09400,3329.07900,356.87300,95.84400,495.92400,922.13800,1279.01100,0.24200,-652.01800,17.54600,2050.06800,3329.07900
2009-12-31,1733.58800,93.47400,172.98700,2000.04900,290.33300,272.93000,1228.66700,223.91000,2015.84000,4015.88900,290.27700,95.84400,473.76200,597.78600,888.06300,0.23900,-751.37700,24.50300,3127.82600,4015.88900
