,cash-on-hand,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,other-share-holders-equity,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,801144.00000,1908623.00000,11510.00000,862819.00000,69022.00000,199401.00000,1142752.00000,3051375.00000,2457380.00000,275982.00000,44816.00000,320798.00000,2778178.00000,58953.00000,207003.00000,-21156.00000,,273197.00000,3051375.00000
2021-12-31,853165.00000,1907800.00000,10833.00000,982627.00000,69022.00000,199213.00000,1261695.00000,3169495.00000,2581637.00000,280117.00000,37675.00000,317792.00000,2899429.00000,62398.00000,188064.00000,-5104.00000,,270066.00000,3169495.00000
2020-12-31,889921.00000,1872444.00000,11000.00000,684850.00000,68951.00000,182382.00000,947183.00000,2819627.00000,2238243.00000,262934.00000,45526.00000,308460.00000,2546703.00000,85982.00000,164088.00000,-1656.00000,,272924.00000,2819627.00000
2019-12-31,673090.00000,1712195.00000,10561.00000,472197.00000,68951.00000,170175.00000,721884.00000,2434079.00000,1890184.00000,240856.00000,38229.00000,279085.00000,2169269.00000,91723.00000,156319.00000,-6633.00000,,264810.00000,2434079.00000
2018-12-31,660377.00000,1673852.00000,9906.00000,441753.00000,68951.00000,160045.00000,680655.00000,2354507.00000,1821899.00000,229392.00000,37891.00000,267283.00000,2089182.00000,118896.00000,136314.00000,-12211.00000,,265325.00000,2354507.00000
2017-12-31,590692.00000,1590101.00000,9247.00000,440130.00000,68951.00000,172805.00000,691133.00000,2281234.00000,1752386.00000,227402.00000,34300.00000,261702.00000,2014088.00000,138089.00000,113816.00000,-7082.00000,,267146.00000,2281234.00000
2016-12-31,536032.00000,1499303.00000,9139.00000,430731.00000,71716.00000,177178.00000,688764.00000,2188067.00000,1665569.00000,216823.00000,39480.00000,256303.00000,1921872.00000,147038.00000,101225.00000,-7288.00000,,266195.00000,2188067.00000
2015-12-31,536106.00000,1486620.00000,9485.00000,406888.00000,76616.00000,164678.00000,657667.00000,2144287.00000,1612897.00000,236764.00000,38450.00000,275214.00000,1888111.00000,151042.00000,88219.00000,-5358.00000,,256176.00000,2144287.00000
2014-12-31,529707.00000,1471360.00000,10049.00000,380461.00000,77919.00000,164745.00000,633174.00000,2104534.00000,1571015.00000,243139.00000,46909.00000,290048.00000,1861063.00000,153458.00000,75024.00000,-4320.00000,,243471.00000,2104534.00000
2013-12-31,534183.00000,1515798.00000,10475.00000,323945.00000,80470.00000,171585.00000,586475.00000,2102273.00000,1582507.00000,249674.00000,37407.00000,287081.00000,1869588.00000,155293.00000,72497.00000,-8457.00000,,232685.00000,2102273.00000
2012-12-31,577145.00000,1551665.00000,11858.00000,360331.00000,82511.00000,203609.00000,658309.00000,2209974.00000,1651417.00000,275585.00000,46016.00000,321601.00000,1973018.00000,158142.00000,62843.00000,-2797.00000,,236956.00000,2209974.00000
2011-12-31,526608.00000,1499786.00000,13637.00000,311416.00000,85498.00000,218709.00000,629260.00000,2129046.00000,1467160.00000,372265.00000,59520.00000,431785.00000,1898945.00000,156621.00000,60520.00000,-5437.00000,,230101.00000,2129046.00000
2010-12-31,539147.00000,1558464.00000,14306.00000,338054.00000,98961.00000,255124.00000,706445.00000,2264909.00000,1532316.00000,448431.00000,55914.00000,504345.00000,2036661.00000,150905.00000,60849.00000,-66.00000,-2.00000,228248.00000,2264909.00000
2009-12-31,517680.00000,1506478.00000,15500.00000,311441.00000,118114.00000,278699.00000,723754.00000,2230232.00000,1509606.00000,438521.00000,50661.00000,489182.00000,1998788.00000,128734.00000,71233.00000,-5619.00000,-112.00000,231444.00000,2230232.00000
