,cash-on-hand,receivables-total,inventory,pre-paid-expenses,other-current-assets,total-current-assets,net-property-plant-equipment,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,555.00000,4076.00000,3430.00000,685.00000,,8746.00000,3146.00000,20281.00000,1940.00000,26267.00000,35014.00000,6360.00000,8321.00000,1444.00000,11580.00000,17939.00000,4.00000,8468.00000,-3946.00000,17075.00000,35014.00000
2021-12-31,568.00000,3297.00000,2969.00000,677.00000,,7511.00000,3064.00000,20606.00000,2012.00000,26516.00000,34027.00000,7212.00000,6831.00000,1502.00000,10364.00000,17576.00000,4.00000,7594.00000,-3633.00000,16451.00000,34027.00000
2020-12-31,1102.00000,2904.00000,2109.00000,576.00000,2487.00000,9178.00000,2964.00000,17078.00000,1750.00000,22646.00000,31824.00000,5881.00000,7010.00000,1439.00000,10970.00000,16851.00000,4.00000,6794.00000,-4195.00000,14973.00000,31824.00000
2019-12-31,591.00000,3437.00000,2805.00000,518.00000,1377.00000,8728.00000,3496.00000,18094.00000,1679.00000,24077.00000,32805.00000,5132.00000,7819.00000,1204.00000,11540.00000,16672.00000,4.00000,8170.00000,-4290.00000,16133.00000,32805.00000
2018-12-31,440.00000,3858.00000,2785.00000,507.00000,,7590.00000,3467.00000,18174.00000,1568.00000,23502.00000,31092.00000,5154.00000,6768.00000,1054.00000,9796.00000,14950.00000,4.00000,8161.00000,-4145.00000,16142.00000,31092.00000
2017-12-31,1095.00000,3943.00000,2620.00000,679.00000,,8337.00000,3502.00000,18833.00000,1698.00000,24286.00000,32623.00000,5075.00000,7167.00000,965.00000,10258.00000,15333.00000,4.00000,8669.00000,-3404.00000,17290.00000,32623.00000
2016-12-31,746.00000,3560.00000,2346.00000,381.00000,,7033.00000,3443.00000,18715.00000,960.00000,23443.00000,30476.00000,5485.00000,6711.00000,934.00000,9993.00000,15478.00000,5.00000,7555.00000,-4448.00000,14998.00000,30476.00000
2015-12-31,445.00000,3479.00000,2323.00000,369.00000,,6616.00000,3565.00000,19493.00000,960.00000,24380.00000,30996.00000,4625.00000,7746.00000,978.00000,11140.00000,15765.00000,5.00000,7346.00000,-3863.00000,15231.00000,30996.00000
2014-12-31,1026.00000,3667.00000,2428.00000,386.00000,,8100.00000,3750.00000,20449.00000,1002.00000,25429.00000,33529.00000,5355.00000,8024.00000,1085.00000,12335.00000,17690.00000,5.00000,7078.00000,-2899.00000,15839.00000,33529.00000
2013-12-31,1709.00000,3648.00000,2382.00000,415.00000,,8731.00000,3833.00000,21681.00000,1006.00000,26760.00000,35491.00000,4914.00000,8969.00000,1299.00000,13714.00000,18628.00000,5.00000,6866.00000,-1560.00000,16863.00000,35491.00000
2012-12-31,1104.00000,3474.00000,2336.00000,421.00000,,7900.00000,3786.00000,22023.00000,1748.00000,27910.00000,35810.00000,5515.00000,9765.00000,1059.00000,15117.00000,20632.00000,5.00000,5805.00000,-1964.00000,15178.00000,35810.00000
2011-12-31,1084.00000,2444.00000,1701.00000,199.00000,,5826.00000,2602.00000,7729.00000,582.00000,12047.00000,17873.00000,3637.00000,3366.00000,501.00000,6744.00000,10381.00000,167.00000,5103.00000,-1964.00000,7492.00000,17873.00000
2010-12-31,1171.00000,2239.00000,1564.00000,229.00000,,5506.00000,2477.00000,7726.00000,542.00000,11746.00000,17252.00000,3233.00000,3382.00000,575.00000,6616.00000,9849.00000,170.00000,4455.00000,-1348.00000,7403.00000,17252.00000
2009-12-31,773.00000,1899.00000,1326.00000,,149.00000,4524.00000,2445.00000,7876.00000,464.00000,11758.00000,16282.00000,2689.00000,3349.00000,536.00000,6775.00000,9464.00000,166.00000,3893.00000,-1208.00000,6818.00000,16282.00000
