,cash-on-hand,receivables-total,inventory,pre-paid-expenses,other-current-assets,total-current-assets,net-property-plant-equipment,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,452.00000,1149.00000,1236.00000,109.00000,,2946.00000,975.00000,887.00000,113.00000,2241.00000,5187.00000,1889.00000,2946.00000,339.00000,3560.00000,5449.00000,225.00000,-947.00000,226.00000,-262.00000,5187.00000
2021-12-31,926.00000,1171.00000,1216.00000,109.00000,,3422.00000,896.00000,956.00000,114.00000,2153.00000,5575.00000,1939.00000,2949.00000,437.00000,3580.00000,5519.00000,241.00000,-652.00000,232.00000,56.00000,5575.00000
2020-12-31,1326.00000,1138.00000,876.00000,149.00000,,3489.00000,908.00000,920.00000,294.00000,2288.00000,5777.00000,1934.00000,2792.00000,481.00000,3422.00000,5356.00000,258.00000,79.00000,-142.00000,421.00000,5777.00000
2019-12-31,697.00000,997.00000,754.00000,90.00000,173.00000,2711.00000,878.00000,768.00000,494.00000,2316.00000,5027.00000,1548.00000,2771.00000,602.00000,3535.00000,5083.00000,276.00000,-332.00000,-179.00000,-56.00000,5027.00000
2018-12-31,552.00000,990.00000,798.00000,84.00000,342.00000,2766.00000,885.00000,799.00000,943.00000,2627.00000,5393.00000,1684.00000,2971.00000,669.00000,3640.00000,5324.00000,294.00000,-278.00000,-127.00000,69.00000,5393.00000
2017-12-31,1302.00000,1066.00000,784.00000,111.00000,,3263.00000,1129.00000,1028.00000,114.00000,2271.00000,5534.00000,1667.00000,2969.00000,715.00000,3684.00000,5351.00000,310.00000,-298.00000,-65.00000,183.00000,5534.00000
2016-12-31,1191.00000,917.00000,712.00000,114.00000,,2934.00000,1060.00000,986.00000,157.00000,2203.00000,5137.00000,1460.00000,2995.00000,785.00000,3780.00000,5240.00000,318.00000,-381.00000,-235.00000,-103.00000,5137.00000
2015-12-31,1716.00000,853.00000,687.00000,72.00000,,3328.00000,1027.00000,999.00000,310.00000,2336.00000,5664.00000,2403.00000,2403.00000,800.00000,3203.00000,5606.00000,330.00000,-300.00000,-165.00000,58.00000,5664.00000
2014-12-31,1685.00000,820.00000,712.00000,68.00000,335.00000,3620.00000,1046.00000,982.00000,1560.00000,3588.00000,7208.00000,2211.00000,2919.00000,950.00000,3869.00000,6080.00000,345.00000,690.00000,-111.00000,1128.00000,7208.00000
2013-12-31,1544.00000,1004.00000,765.00000,82.00000,,3468.00000,1252.00000,2052.00000,185.00000,3489.00000,6957.00000,1686.00000,3421.00000,666.00000,4484.00000,6170.00000,349.00000,79.00000,115.00000,787.00000,6957.00000
2012-12-31,1351.00000,933.00000,726.00000,107.00000,100.00000,3217.00000,1326.00000,2045.00000,287.00000,3658.00000,6875.00000,1862.00000,3422.00000,4.00000,4479.00000,6341.00000,349.00000,-102.00000,59.00000,534.00000,6875.00000
2011-12-31,1656.00000,914.00000,769.00000,70.00000,20.00000,3429.00000,1567.00000,2087.00000,214.00000,3868.00000,7297.00000,2363.00000,3222.00000,,4192.00000,6555.00000,348.00000,38.00000,76.00000,742.00000,7297.00000
2010-12-31,1715.00000,888.00000,732.00000,129.00000,,3464.00000,1737.00000,2652.00000,287.00000,4676.00000,8140.00000,1487.00000,4032.00000,,5071.00000,6558.00000,349.00000,720.00000,273.00000,1582.00000,8140.00000
2009-12-31,1413.00000,983.00000,743.00000,312.00000,,3451.00000,1981.00000,3398.00000,345.00000,5724.00000,9175.00000,1781.00000,3604.00000,,4577.00000,6358.00000,350.00000,1871.00000,366.00000,2817.00000,9175.00000
