,cash-on-hand,receivables-total,total-current-assets,net-property-plant-equipment,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,621.62800,823.54000,1445.16800,21763.16000,8146.72000,31069.18000,33011.27000,1491.58300,24960.29000,2237.56100,27410.08000,29399.62000,0.03400,-5926.97400,-164.87300,3611.65200,33011.27000
2021-12-31,533.93600,919.65400,1453.59000,22311.24000,8387.42000,31819.67000,33777.38000,1433.21600,25321.02000,2115.48500,27984.25000,29924.39000,0.03400,-5823.70800,-185.18600,3852.98500,33777.38000
2020-12-31,1011.61300,1236.73400,2248.34700,23158.26000,7785.15800,32025.59000,34786.85000,1311.92500,26723.36000,2577.83000,29487.08000,31314.50000,0.03400,-6102.31400,-188.67500,3472.34600,34786.85000
2019-12-31,669.37300,832.15100,1501.52400,23898.72000,4102.70200,29215.45000,31231.63000,1390.68200,24163.23000,2030.59800,26412.89000,28320.38000,0.03200,-5379.95200,-118.60400,2911.25000,31231.63000
2018-12-31,514.33500,763.81500,1278.15000,24208.13000,3989.90200,29408.07000,30686.22000,1316.86100,23305.54000,2036.70800,25572.41000,26889.26000,0.03200,-4893.06900,-126.01700,3796.95600,30686.22000
2017-12-31,1482.30900,742.67200,2224.98100,24457.52000,4201.15900,30032.66000,32257.64000,1269.19000,24632.46000,1926.74100,26749.68000,28018.87000,0.03200,-4782.17300,-110.45300,4238.76400,32257.64000
2016-12-31,560.05900,664.61900,1224.67800,24360.34000,4164.97700,29878.90000,31103.58000,1214.02200,22977.10000,1814.77800,24929.64000,26143.67000,0.03200,-4459.38700,-114.12600,4959.91200,31103.58000
2015-12-31,701.13400,624.60500,1325.73900,23547.74000,4424.93700,29239.44000,30565.18000,1323.80100,22416.68000,1582.79300,24025.01000,25348.81000,0.03100,-4266.93000,-252.68600,5216.36900,30565.18000
2014-12-31,612.28200,580.19700,1192.47900,22367.79000,4165.27700,28339.85000,29532.33000,1259.68100,20852.99000,1442.61400,22321.14000,23580.82000,0.03100,-4208.18300,-61.04100,5951.50500,29532.33000
2013-12-31,1691.00600,520.36100,2211.36700,22243.85000,4444.26000,31113.21000,33324.57000,1223.10200,22669.92000,1300.64900,25278.84000,26501.94000,0.03100,-3218.68600,-75.79500,6822.63200,33324.57000
2012-12-31,1184.51800,521.30100,1705.81900,25184.13000,4125.92000,30880.79000,32586.61000,1374.17200,23113.01000,1028.33200,24319.35000,25693.52000,0.03100,-3083.19000,-90.90000,6893.08900,32586.61000
2011-12-31,798.65000,486.73100,1936.38100,21268.92000,1378.08400,24280.54000,26216.93000,1091.71200,18446.44000,866.54000,19580.92000,20672.64000,0.03000,-3251.74000,-94.26300,5544.28800,26216.93000
2010-12-31,796.71800,426.73600,1874.45400,19797.43000,1390.10500,22982.98000,24857.43000,993.73800,17473.76000,670.71000,18229.94000,19223.68000,0.03000,-3114.57100,6.53000,5633.75200,24857.43000
2009-12-31,3957.71800,402.72900,4992.44700,18331.65000,1468.57700,20955.82000,25948.27000,987.53000,18630.30000,617.09900,19777.78000,20765.30000,0.02900,-2955.67100,-3.08800,5182.96200,25948.27000
