,cash-on-hand,receivables-total,inventory,pre-paid-expenses,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,other-share-holders-equity,total-share-holder-equity,total-liabilities-share-holders-equity
2021-12-31,15756.71000,864.32400,151.38800,978.54100,0.07800,17751.04000,852.69100,3864.78700,644.64900,629.39400,6359.04800,24110.08000,7924.76000,200.09700,57.36800,606.33900,8531.09900,0.43800,12160.57000,-129.94100,195.38700,15578.99000,24110.08000
2020-12-31,14792.48000,701.37100,95.20400,936.77100,,16525.83000,698.14700,2810.92100,640.34600,782.94000,5217.40100,21743.23000,7163.75300,,22.81200,1859.50700,9023.26000,0.42800,9833.36200,-99.68700,188.26800,12719.97000,21743.23000
2019-12-31,10801.29000,598.89100,93.44700,691.97900,38.96700,12224.57000,663.86700,1673.97300,532.50300,814.30200,3881.08800,16105.66000,5493.26500,,25.55700,1621.49100,7114.75600,0.37900,8100.43900,-10.26200,174.55400,8990.90200,16105.66000
2018-12-31,7967.65400,623.73600,729.81200,673.08500,,9994.28700,782.28000,777.55900,509.42800,430.61200,2654.67400,12648.96000,5106.39300,,7.80400,848.38600,5954.77900,0.38100,6399.15500,2.48000,176.65300,6694.18200,12648.96000
2017-12-31,7536.86200,556.34200,841.48100,586.51400,,9521.19900,579.33500,428.01300,91.18500,171.02900,1396.13100,10917.33000,3650.32600,,2.80500,130.05300,3780.37900,0.41200,6567.95400,5.62300,185.39300,7136.95100,10917.33000
2016-12-31,5740.45600,612.31400,227.29800,532.61600,,7189.93300,348.48200,362.96000,84.81700,368.68100,1168.39500,8358.32800,2813.62600,,0.02900,4.88600,2818.51200,0.38500,5088.40800,8.85500,167.09800,5539.81600,8358.32800
2015-12-31,4302.52700,403.55500,126.24100,416.11500,,5311.82200,322.95600,443.76900,36.87700,234.37700,1041.79000,6353.61200,1801.13900,,13.11800,25.68900,1826.82800,0.41500,4078.49800,4.23800,156.05900,4526.78400,6353.61200
2014-12-31,4062.37700,140.72400,,234.00700,,4469.67100,206.49600,108.46800,12.51500,91.72500,422.61400,4892.28500,1088.94200,,17.15300,38.69100,1127.63300,0.43100,3420.68400,,151.06200,3764.65200,4892.28500
2013-12-31,3489.05000,66.49000,,,210.37000,3765.92000,144.06000,82.59000,1.86000,56.51000,288.83000,4054.76000,699.27000,,23.93000,23.93000,723.20000,0.44000,3057.49000,,132.39000,3331.55000,4054.76000
2012-12-31,2621.69000,43.25000,,,203.16000,2868.12000,130.82000,78.65000,1.85000,14.52000,226.19000,3094.32000,574.06000,,16.04000,16.04000,590.11000,0.43000,2296.85000,,89.08000,2504.21000,3094.32000
2011-12-31,2102.30000,36.55000,,,160.86000,2299.71000,134.80000,,9.65000,9.36000,154.22000,2453.95000,362.66000,,10.15000,10.15000,372.81000,0.42000,1850.85000,,70.60000,2081.13000,2453.95000
2010-12-31,1457.53000,38.83000,,,113.76000,1610.13000,114.51000,,23.74000,6.93000,145.41000,1755.55000,277.00000,,5.05000,5.27000,282.27000,0.40000,1297.79000,,46.18000,1473.27000,1755.55000
2009-12-31,1046.08000,27.44000,,,94.44000,1167.98000,81.71000,,32.98000,6.41000,121.71000,1289.71000,201.86000,,0.02000,0.02000,201.89000,0.39000,941.39000,,31.11000,1087.81000,1289.71000
