,cash-on-hand,receivables-total,total-current-assets,long-term-investments,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,other-share-holders-equity,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,655983.00000,135448.00000,970717.00000,431874.00000,39208.00000,471082.00000,1441799.00000,1077472.00000,247138.00000,247138.00000,1324610.00000,9.00000,139372.00000,-3010.00000,5696.00000,117189.00000,1441799.00000
2021-12-31,645510.00000,160673.00000,964745.00000,464635.00000,34608.00000,499243.00000,1463988.00000,1099970.00000,254092.00000,254092.00000,1354062.00000,9.00000,131811.00000,-2068.00000,4211.00000,109926.00000,1463988.00000
2020-12-31,406062.00000,121331.00000,643508.00000,482075.00000,37445.00000,519520.00000,1163028.00000,853615.00000,213481.00000,213481.00000,1067096.00000,9.00000,112947.00000,-1434.00000,3468.00000,95932.00000,1163028.00000
2019-12-31,355308.00000,74605.00000,538817.00000,419269.00000,34882.00000,454151.00000,992968.00000,695627.00000,207076.00000,207076.00000,902703.00000,9.00000,106465.00000,-1484.00000,3195.00000,90265.00000,992968.00000
2018-12-31,405090.00000,72455.00000,575382.00000,327419.00000,28995.00000,356414.00000,931796.00000,617462.00000,224149.00000,224149.00000,841611.00000,9.00000,100100.00000,693.00000,2845.00000,90185.00000,931796.00000
2017-12-31,421721.00000,84788.00000,572442.00000,315988.00000,28346.00000,344334.00000,916776.00000,616846.00000,217687.00000,217687.00000,834533.00000,9.00000,91519.00000,-1880.00000,2777.00000,82243.00000,916776.00000
2016-12-31,423236.00000,65824.00000,538732.00000,295952.00000,25481.00000,321433.00000,860165.00000,584186.00000,189086.00000,189086.00000,773272.00000,9.00000,89039.00000,-1216.00000,3914.00000,86893.00000,860165.00000
2015-12-31,405385.00000,71883.00000,522675.00000,313502.00000,25218.00000,338720.00000,861395.00000,599245.00000,175422.00000,175422.00000,774667.00000,9.00000,83386.00000,-718.00000,4151.00000,86728.00000,861395.00000
2014-12-31,397976.00000,94479.00000,521393.00000,312248.00000,22201.00000,334449.00000,855842.00000,605743.00000,167302.00000,167302.00000,773045.00000,9.00000,78984.00000,-743.00000,3766.00000,82797.00000,855842.00000
2013-12-31,437102.00000,97880.00000,549877.00000,339121.00000,22509.00000,361630.00000,911507.00000,672075.00000,160965.00000,160965.00000,833040.00000,8.00000,71961.00000,-524.00000,3839.00000,78467.00000,911507.00000
2012-12-31,400567.00000,91354.00000,491921.00000,407011.00000,39623.00000,446634.00000,938555.00000,695534.00000,167305.00000,167305.00000,862839.00000,8.00000,65223.00000,-193.00000,3298.00000,75716.00000,938555.00000
2011-12-31,461402.00000,74465.00000,535867.00000,364206.00000,23152.00000,387358.00000,923225.00000,679301.00000,173545.00000,173545.00000,852846.00000,8.00000,58834.00000,-516.00000,5681.00000,70379.00000,923225.00000
2010-12-31,448180.00000,78140.00000,526320.00000,356953.00000,28059.00000,385012.00000,911332.00000,659577.00000,174399.00000,174399.00000,833976.00000,8.00000,57163.00000,-286.00000,7706.00000,77356.00000,911332.00000
2009-12-31,409172.00000,67900.00000,477072.00000,342402.00000,29468.00000,371870.00000,848942.00000,593143.00000,185085.00000,185085.00000,778228.00000,8.00000,50252.00000,-362.00000,6245.00000,70714.00000,848942.00000
