,cash-on-hand,receivables-total,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,1325.00000,1518.00000,1055.00000,1357.00000,5255.00000,927.00000,147.00000,4654.00000,310.00000,7559.00000,12814.00000,4560.00000,6013.00000,1691.00000,8123.00000,12683.00000,2.00000,1343.00000,-2535.00000,131.00000,12814.00000
2021-12-31,1874.00000,1386.00000,788.00000,1364.00000,5412.00000,1042.00000,209.00000,3670.00000,558.00000,6777.00000,12189.00000,4063.00000,5688.00000,2148.00000,8149.00000,12212.00000,2.00000,1350.00000,-2379.00000,-23.00000,12189.00000
2020-12-31,1254.00000,1390.00000,508.00000,1175.00000,4327.00000,1022.00000,158.00000,3453.00000,482.00000,6549.00000,10876.00000,3489.00000,5163.00000,2363.00000,7928.00000,11417.00000,2.00000,1127.00000,-2446.00000,-541.00000,10876.00000
2019-12-31,1001.00000,1412.00000,447.00000,1318.00000,4178.00000,992.00000,159.00000,3394.00000,422.00000,6464.00000,10642.00000,3439.00000,5113.00000,2276.00000,7886.00000,11325.00000,2.00000,1239.00000,-2440.00000,-683.00000,10642.00000
2018-12-31,1257.00000,1293.00000,356.00000,1366.00000,4272.00000,895.00000,169.00000,2744.00000,344.00000,5137.00000,9409.00000,3096.00000,5289.00000,2300.00000,7589.00000,10685.00000,2.00000,1051.00000,-2765.00000,-1276.00000,9409.00000
2017-12-31,1268.00000,1523.00000,327.00000,832.00000,3950.00000,856.00000,247.00000,1799.00000,333.00000,4258.00000,8208.00000,2931.00000,4419.00000,2585.00000,7004.00000,9935.00000,2.00000,467.00000,-2562.00000,-1727.00000,8208.00000
2016-12-31,1030.00000,1410.00000,273.00000,755.00000,3468.00000,789.00000,238.00000,1549.00000,200.00000,4995.00000,8463.00000,2668.00000,4392.00000,2355.00000,6747.00000,9415.00000,2.00000,1148.00000,-2317.00000,-952.00000,8463.00000
2015-12-31,1980.00000,1362.00000,296.00000,981.00000,4619.00000,487.00000,231.00000,420.00000,311.00000,3727.00000,8346.00000,2193.00000,4345.00000,1904.00000,6249.00000,8442.00000,2.00000,1716.00000,-1866.00000,-96.00000,8346.00000
2014-12-31,3954.00000,1409.00000,345.00000,740.00000,6879.00000,549.00000,316.00000,383.00000,145.00000,3544.00000,10423.00000,2250.00000,3396.00000,2011.00000,5407.00000,7657.00000,2.00000,3410.00000,-1855.00000,2766.00000,10423.00000
2013-12-31,3225.00000,1369.00000,347.00000,1628.00000,7020.00000,610.00000,232.00000,361.00000,1638.00000,4831.00000,11851.00000,3220.00000,2457.00000,2485.00000,4942.00000,8162.00000,3.00000,2425.00000,-2287.00000,3689.00000,11851.00000
2012-12-31,3603.00000,1881.00000,513.00000,800.00000,7401.00000,839.00000,240.00000,1510.00000,273.00000,5278.00000,12679.00000,3335.00000,1859.00000,4195.00000,6054.00000,9389.00000,3.00000,1625.00000,-3300.00000,3290.00000,12679.00000
2011-12-31,5091.00000,1866.00000,512.00000,686.00000,8768.00000,896.00000,166.00000,1428.00000,296.00000,5161.00000,13929.00000,3815.00000,1130.00000,3710.00000,4840.00000,8655.00000,3.00000,1016.00000,-2876.00000,5274.00000,13929.00000
2010-12-31,8863.00000,1547.00000,521.00000,5352.00000,17154.00000,922.00000,242.00000,1429.00000,3910.00000,8423.00000,25577.00000,8710.00000,2098.00000,3782.00000,5880.00000,14590.00000,3.00000,4460.00000,-2222.00000,10987.00000,25577.00000
2009-12-31,7963.00000,2845.00000,1097.00000,3045.00000,16032.00000,1819.00000,522.00000,2714.00000,2233.00000,9571.00000,25603.00000,8261.00000,3365.00000,4094.00000,7459.00000,15720.00000,3.00000,3827.00000,-2286.00000,9883.00000,25603.00000
