,cash-on-hand,inventory,pre-paid-expenses,other-current-assets,total-current-assets,net-property-plant-equipment,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-01-31,984.90000,4367.30000,,257.00000,5609.20000,4477.30000,5084.40000,105.30000,16112.60000,21721.80000,4176.60000,3417.00000,256.10000,9826.69900,14003.30000,2.20000,6507.60000,-35.20000,7718.50000,21721.80000
2021-01-31,1416.70000,3427.00000,,207.10000,5050.80000,4116.30000,5084.40000,97.20000,15645.20000,20696.00000,3730.30000,3226.20000,352.60000,9680.39900,13410.70000,2.30000,5179.70000,-35.20000,7285.30000,20696.00000
2020-01-31,539.20000,3522.00000,,208.20000,4269.40000,3881.80000,5083.30000,90.70000,15305.20000,19574.60000,3546.50000,3522.20000,258.00000,9773.30000,13319.80000,2.40000,3837.80000,-39.80000,6254.80000,19574.60000
2019-01-31,422.10000,3536.00000,,335.20000,4293.30000,3445.30000,5685.30000,77.30000,9207.89900,13501.20000,2095.70000,4265.30000,488.70000,5762.60000,7858.30000,2.40000,3076.10000,-38.30000,5642.90000,13501.20000
2018-01-31,1097.80000,3169.30000,,309.20000,4576.30000,3200.70000,8500.50000,55.30000,11756.50000,16332.80000,2859.10000,4762.10000,500.30000,6291.40000,9150.50000,2.40000,4666.90000,-32.30000,7182.30000,16332.80000
2017-01-31,870.40000,2865.80000,,201.80000,3938.00000,3115.80000,8597.20000,50.60000,11763.60000,15701.60000,2105.90000,6169.70000,506.40000,8206.20000,10312.10000,2.40000,2952.60000,-37.60000,5389.50000,15701.60000
2016-01-31,740.10000,2885.50000,,310.30000,3935.90000,3125.50000,8696.90000,142.90000,11965.30000,15901.20000,2095.40000,7238.40000,502.50000,9398.90000,11494.30000,2.40000,2056.40000,-43.10000,4406.90000,15901.20000
2015-01-31,864.10000,1035.70000,,66.50000,1994.60000,1210.50000,166.10000,90.90000,1498.10000,3492.70000,861.60000,682.70000,156.90000,846.10000,1707.70000,2.10000,1774.00000,-34.10000,1785.00000,3492.70000
2014-01-31,267.70000,1035.30000,56.60000,,1378.50000,1094.00000,169.30000,106.00000,1393.40000,2771.90000,686.30000,757.00000,152.40000,914.90000,1601.20000,2.10000,1174.80000,-16.90000,1170.70000,2771.90000
2013-01-31,399.90000,971.70000,79.40000,,1473.50000,960.70000,173.30000,116.20000,1278.50000,2752.00000,676.20000,257.00000,145.90000,408.50000,1084.70000,2.20000,1666.30000,-1.50000,1667.30000,2752.00000
2012-01-31,288.30000,867.40000,27.50000,,1209.40000,825.30000,173.10000,104.00000,1119.20000,2328.60000,581.00000,250.00000,137.50000,403.00000,984.00000,1.10000,1344.10000,-0.60000,1344.60000,2328.60000
2011-01-31,486.00000,803.10000,27.90000,,1333.30000,741.10000,173.10000,95.00000,1047.20000,2380.50000,532.80000,250.00000,123.50000,388.70000,921.50000,1.20000,1458.20000,-0.40000,1459.00000,2380.50000
2010-01-31,599.40000,679.80000,20.20000,,1305.60000,714.30000,133.30000,101.50000,984.10000,2289.70000,475.90000,250.00000,120.20000,384.60000,860.50000,0.90000,1430.70000,-2.40000,1429.20000,2289.70000
2009-01-31,364.40000,675.80000,25.30000,,1073.20000,710.30000,133.30000,85.90000,962.50000,2035.70000,409.90000,250.00000,107.90000,372.60000,782.50000,0.90000,1216.90000,-2.60000,1253.20000,2035.70000
