,cash-on-hand,receivables-total,inventory,pre-paid-expenses,other-current-assets,total-current-assets,net-property-plant-equipment,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,1434.20000,2631.30000,2093.60000,320.00000,,6479.10000,1204.30000,7180.20000,462.60000,8847.10000,15326.20000,2676.10000,4575.00000,443.30000,5576.60000,8252.70000,0.60000,4979.40000,-535.00000,7073.50000,15326.20000
2021-12-31,1241.40000,2454.80000,1894.10000,367.90000,,5958.20000,1175.30000,7133.70000,411.20000,8720.20000,14678.40000,2447.10000,4795.90000,438.70000,5871.20000,8318.30000,0.60000,4278.90000,-286.50000,6360.10000,14678.40000
2020-12-31,1738.10000,1951.60000,1462.20000,338.90000,,5490.80000,1054.60000,5429.60000,352.30000,6836.50000,12327.30000,2304.30000,3636.20000,407.20000,4571.10000,6875.40000,0.60000,3705.40000,-278.10000,5451.90000,12327.30000
2019-12-31,908.60000,1736.40000,1310.10000,256.10000,,4211.20000,999.00000,5309.10000,296.20000,6604.30000,10815.50000,2132.70000,3203.40000,424.00000,4086.60000,6219.30000,0.30000,3348.40000,-430.90000,4596.20000,10815.50000
2018-12-31,1291.70000,1791.80000,1233.80000,254.30000,,4571.60000,875.80000,4501.10000,96.40000,5473.30000,10044.90000,2451.30000,2806.40000,277.20000,3529.40000,5980.70000,0.30000,3028.70000,-390.20000,4064.20000,10044.90000
2017-12-31,1753.70000,1598.60000,1106.90000,,196.80000,4656.00000,816.80000,4531.10000,,5347.90000,10003.90000,1579.40000,3541.50000,326.40000,4381.10000,5960.50000,0.30000,2941.50000,-201.00000,4043.40000,10003.90000
2016-12-31,1173.20000,1349.30000,928.90000,,139.80000,3591.20000,711.40000,4196.10000,,4907.50000,8498.70000,1635.20000,2635.50000,138.80000,3140.40000,4775.60000,0.30000,3122.70000,-469.00000,3723.10000,8498.70000
2015-12-31,1760.40000,1104.60000,851.80000,,133.20000,3850.00000,609.50000,2998.90000,,3608.40000,7458.40000,1008.40000,2813.20000,95.90000,3171.60000,4180.00000,0.30000,2804.40000,-349.50000,3278.40000,7458.40000
2014-12-31,1329.60000,1123.70000,865.60000,,133.30000,3452.20000,590.70000,2943.00000,,3533.70000,6985.90000,1045.60000,2654.60000,,3002.40000,4048.00000,0.30000,2453.50000,-205.80000,2937.90000,6985.90000
2013-12-31,1192.20000,1001.00000,792.60000,,171.80000,3157.60000,532.40000,2478.00000,,3010.40000,6168.00000,1609.90000,1431.40000,,1678.00000,3287.90000,0.30000,2424.40000,-55.00000,2880.10000,6168.00000
2012-12-31,942.50300,910.71100,733.71800,,119.98300,2706.91500,417.43600,2091.11200,,2508.54800,5215.46300,888.51400,1606.20400,33.99200,1884.76700,2773.28100,0.16000,2210.12000,-117.00400,2442.18200,5215.46300
2011-12-31,648.93400,767.18100,649.86200,,115.26000,2181.23700,380.50100,1746.11300,137.37400,2263.98800,4445.22500,642.41500,1376.83100,34.14400,1618.02400,2260.43900,0.16300,2102.49700,-120.05700,2184.78600,4445.22500
2010-12-31,624.22900,718.54500,549.16900,,100.18700,1992.13000,366.99600,1533.29900,123.43200,2023.72700,4015.85700,654.99000,799.64000,41.87600,1018.15200,1673.14200,0.17600,2260.58100,-84.75700,2342.71500,4015.85700
2009-12-31,422.38300,449.59100,461.75000,,86.67100,1420.39500,332.87500,1368.67200,97.24200,1798.78900,3219.18400,503.15900,753.05000,27.92200,953.20700,1456.36600,0.17400,1774.62500,-100.09000,1762.81800,3219.18400
