,cash-on-hand,receivables-total,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,4848.00000,26312.90000,31160.90000,996.10000,95831.40000,3131.50000,156432.80000,261078.70000,292239.60000,109179.50000,3997.00000,167532.30000,173017.30000,282196.80000,4.90000,17042.30000,-7199.00000,10042.80000,292239.60000
2021-12-31,2332.00000,1842.40000,4174.40000,1038.00000,109601.70000,3228.20000,182857.40000,300482.80000,304657.20000,88696.91000,4280.20000,192886.10000,199834.50000,288531.40000,4.80000,12884.50000,1610.90000,16125.80000,304657.20000
2020-12-31,2849.80000,1723.80000,4573.60000,1019.00000,107017.50000,3434.00000,177173.90000,292054.10000,296627.70000,89589.00000,4279.20000,183533.50000,190421.40000,280010.40000,4.80000,11838.00000,2383.10000,16617.30000,296627.70000
2019-12-31,2515.90000,1740.30000,4256.20000,967.70000,97038.00000,3480.50000,166824.10000,271831.60000,276087.80000,83258.50000,3734.10000,172331.70000,178143.50000,261402.00000,4.80000,11074.30000,1037.90000,14685.80000,276087.80000
2018-12-31,2977.50000,1413.10000,4390.60000,767.30000,85402.80000,2415.10000,146366.80000,238645.50000,243036.10000,76295.80000,3259.60000,150649.80000,155284.30000,231580.10000,4.80000,10290.20000,-1565.10000,11456.00000,243036.10000
2017-12-31,2470.80000,1469.80000,3940.60000,759.50000,82713.30000,2383.50000,160603.60000,250000.60000,253941.20000,72063.60000,3178.40000,164566.80000,168955.70000,241019.30000,4.70000,9482.90000,165.50000,12921.90000,253941.20000
2016-12-31,2719.60000,1361.90000,4081.50000,699.00000,76416.10000,2346.10000,141091.40000,223932.80000,228014.30000,67896.10000,3125.70000,145615.90000,149824.40000,217720.50000,4.70000,7720.40000,-675.20000,10293.80000,228014.30000
2015-12-31,2564.80000,1429.30000,3994.10000,633.80000,70366.10000,2368.20000,138022.00000,214666.20000,218660.30000,62559.10000,3265.20000,142657.30000,146723.80000,209282.90000,4.70000,6875.90000,-882.50000,9377.40000,218660.30000
2014-12-31,1863.90000,1213.00000,3076.90000,590.20000,68939.70000,2330.90000,141156.30000,216010.10000,219087.00000,59604.00000,2531.20000,145615.00000,149251.00000,208855.00000,4.60000,6114.10000,50.40000,10232.00000,219087.00000
2013-12-31,2371.80000,1241.00000,3612.80000,500.70000,67289.00000,2559.30000,131152.60000,204578.60000,208191.40000,59494.00000,2601.40000,135242.60000,138920.40000,198414.40000,4.60000,5405.40000,183.20000,9777.00000,208191.40000
2012-12-31,4177.20000,1084.40000,5261.60000,464.20000,69395.70000,1458.10000,82660.59000,156568.60000,161830.20000,60979.90000,2671.30000,87799.90000,91146.90000,152126.80000,4.50000,4862.00000,640.30000,9703.40000,161830.20000
2011-12-31,2833.90000,1196.50000,4030.40000,457.20000,66766.50000,1372.90000,72306.70000,143331.30000,147361.70000,58540.60000,1564.80000,77650.60000,79449.40000,137990.00000,4.50000,4402.30000,258.00000,9371.70000,147361.70000
2010-12-31,1877.40000,1063.00000,2940.40000,458.70000,66643.60000,1180.00000,70878.59000,142690.70000,145631.10000,58047.50000,1583.70000,75698.80000,77698.59000,135746.10000,4.50000,4612.30000,272.40000,9885.00000,145631.10000
2009-12-31,2240.40000,1065.40000,3305.80000,489.30000,64628.40000,1238.10000,64416.40000,134453.60000,137759.40000,59711.00000,1584.60000,68324.40000,70032.00000,129743.00000,4.50000,4160.70000,-1042.00000,8016.40000,137759.40000
