,cash-on-hand,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,4148.00000,132391.00000,636.00000,49135.00000,2846.00000,4369.00000,57422.00000,189813.00000,157052.00000,19307.00000,,19307.00000,176359.00000,1257.00000,15616.00000,-6295.00000,13454.00000,189813.00000
2021-12-31,12624.00000,124411.00000,681.00000,53542.00000,2823.00000,4327.00000,61935.00000,186346.00000,156881.00000,12042.00000,,12042.00000,168923.00000,1257.00000,14553.00000,-586.00000,17423.00000,186346.00000
2020-12-31,18020.00000,125974.00000,753.00000,35772.00000,2852.00000,4286.00000,44362.00000,170336.00000,138646.00000,13709.00000,,13709.00000,152355.00000,1257.00000,12751.00000,738.00000,17981.00000,170336.00000
2019-12-31,3044.00000,103618.00000,814.00000,32515.00000,2917.00000,4233.00000,41370.00000,144988.00000,115502.00000,12448.00000,,12448.00000,127950.00000,1257.00000,12469.00000,26.00000,17038.00000,144988.00000
2018-12-31,4089.00000,99015.00000,882.00000,31613.00000,2832.00000,4171.00000,40598.00000,139613.00000,110285.00000,13732.00000,,13732.00000,124017.00000,1257.00000,11556.00000,-818.00000,15596.00000,139613.00000
2017-12-31,5954.00000,96826.00000,930.00000,30695.00000,2954.00000,4953.00000,40872.00000,137698.00000,108340.00000,14333.00000,,14333.00000,122673.00000,1257.00000,10335.00000,-779.00000,15025.00000,137698.00000
2016-12-31,4319.00000,94467.00000,978.00000,31182.00000,2830.00000,5411.00000,41986.00000,136453.00000,108193.00000,12384.00000,636.00000,13020.00000,121213.00000,1257.00000,9378.00000,-541.00000,15240.00000,136453.00000
2015-12-31,4102.00000,67111.00000,779.00000,19770.00000,1125.00000,4500.00000,28020.00000,95131.00000,73556.00000,10184.00000,632.00000,10816.00000,84372.00000,1017.00000,8922.00000,-405.00000,10759.00000,95131.00000
2014-12-31,5672.00000,65945.00000,841.00000,19135.00000,1158.00000,4418.00000,27876.00000,93821.00000,74617.00000,7875.00000,784.00000,8662.00000,83279.00000,1017.00000,8273.00000,-356.00000,10542.00000,93821.00000
2013-12-31,6945.00000,64180.00000,885.00000,18071.00000,1106.00000,4120.00000,28754.00000,92934.00000,72696.00000,7650.00000,414.00000,9918.00000,82614.00000,1017.00000,7606.00000,-352.00000,10320.00000,92934.00000
2012-12-31,5129.00000,60436.00000,965.00000,17089.00000,1150.00000,4314.00000,28800.00000,89236.00000,69276.00000,6847.00000,584.00000,9651.00000,78927.00000,1017.00000,6913.00000,-124.00000,10309.00000,89236.00000
2011-12-31,4836.00000,57212.00000,944.00000,19284.00000,934.00000,4551.00000,31573.00000,88785.00000,65767.00000,9520.00000,1026.00000,13096.00000,78863.00000,1017.00000,6246.00000,-28.00000,9922.00000,88785.00000
2010-12-31,2607.00000,55453.00000,908.00000,23308.00000,938.00000,4682.00000,36390.00000,91843.00000,65737.00000,10592.00000,1142.00000,14732.00000,80469.00000,946.00000,5557.00000,-17.00000,11374.00000,91843.00000
2009-12-31,3423.00000,64198.00000,880.00000,18153.00000,967.00000,4881.00000,29089.00000,93287.00000,69660.00000,11558.00000,1012.00000,12694.00000,82354.00000,946.00000,5158.00000,-3.00000,10933.00000,93287.00000
