,cash-on-hand,receivables-total,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,456.00000,1148.00000,253.00000,150.00000,2007.00000,32156.00000,3694.00000,1028.00000,36878.00000,38885.00000,2649.00000,14479.00000,1759.00000,23503.00000,26152.00000,230.00000,10697.00000,-351.00000,12733.00000,38885.00000
2021-12-31,839.00000,976.00000,218.00000,134.00000,2167.00000,31653.00000,3707.00000,966.00000,36326.00000,38493.00000,2521.00000,13287.00000,1879.00000,22331.00000,24852.00000,242.00000,11586.00000,-402.00000,13641.00000,38493.00000
2020-12-31,1115.00000,848.00000,221.00000,134.00000,2318.00000,31345.00000,3590.00000,709.00000,35644.00000,37962.00000,2160.00000,12102.00000,1987.00000,21011.00000,23171.00000,254.00000,12883.00000,-594.00000,14791.00000,37962.00000
2019-12-31,580.00000,920.00000,244.00000,337.00000,2081.00000,31614.00000,3428.00000,800.00000,35842.00000,37923.00000,2300.00000,11880.00000,1744.00000,20439.00000,22739.00000,259.00000,13207.00000,-491.00000,15184.00000,37923.00000
2018-12-31,358.00000,1009.00000,207.00000,288.00000,1862.00000,31091.00000,3109.00000,177.00000,34377.00000,36239.00000,2591.00000,10560.00000,1266.00000,18286.00000,20877.00000,269.00000,13440.00000,-563.00000,15362.00000,36239.00000
2017-12-31,690.00000,955.00000,222.00000,282.00000,2149.00000,30330.00000,2981.00000,251.00000,33562.00000,35711.00000,2545.00000,9136.00000,1347.00000,16807.00000,19352.00000,285.00000,14176.00000,-356.00000,16359.00000,35711.00000
2016-12-31,956.00000,945.00000,257.00000,133.00000,2291.00000,29751.00000,2777.00000,73.00000,32601.00000,34892.00000,2339.00000,9562.00000,1442.00000,20144.00000,22483.00000,292.00000,10425.00000,-487.00000,12409.00000,34892.00000
2015-12-31,1101.00000,946.00000,271.00000,194.00000,2512.00000,28992.00000,2572.00000,63.00000,31627.00000,34139.00000,2231.00000,9393.00000,1385.00000,19720.00000,21951.00000,299.00000,10191.00000,-445.00000,12188.00000,34139.00000
2014-12-31,973.00000,1055.00000,236.00000,347.00000,2778.00000,27694.00000,2679.00000,49.00000,30422.00000,33200.00000,1780.00000,8883.00000,1312.00000,19012.00000,20792.00000,310.00000,10348.00000,-398.00000,12408.00000,33200.00000
2013-12-31,1561.00000,1024.00000,223.00000,87.00000,3075.00000,26645.00000,2439.00000,324.00000,29408.00000,32483.00000,2305.00000,8903.00000,1444.00000,18889.00000,21194.00000,310.00000,9339.00000,-381.00000,11289.00000,32483.00000
2012-12-31,668.00000,1109.00000,216.00000,82.00000,2242.00000,25736.00000,2300.00000,64.00000,28100.00000,30342.00000,2081.00000,8432.00000,2237.00000,18501.00000,20582.00000,315.00000,8643.00000,-1109.00000,9760.00000,30342.00000
2011-12-31,301.00000,1022.00000,209.00000,76.00000,1751.00000,24469.00000,2234.00000,84.00000,26787.00000,28538.00000,1701.00000,7390.00000,2050.00000,16926.00000,18627.00000,332.00000,8693.00000,-1026.00000,9911.00000,28538.00000
2010-12-31,1110.00000,807.00000,169.00000,240.00000,2471.00000,23231.00000,2193.00000,304.00000,25728.00000,28199.00000,2082.00000,6567.00000,1793.00000,15448.00000,17530.00000,358.00000,9224.00000,-805.00000,10669.00000,28199.00000
2009-12-31,1086.00000,766.00000,164.00000,88.00000,2246.00000,22643.00000,2164.00000,316.00000,25123.00000,27369.00000,1789.00000,6679.00000,1801.00000,15227.00000,17016.00000,370.00000,9027.00000,-853.00000,10353.00000,27369.00000
