,cash-on-hand,receivables-total,other-current-assets,total-current-assets,net-property-plant-equipment,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,4964.20000,16408.90000,1461.50000,22834.60000,576.20000,12861.50000,989.80000,16073.20000,38907.80000,21888.00000,5562.80000,1903.80000,7829.60000,29717.60000,211.90000,3562.20000,-1140.40000,9190.20000,38907.80000
2021-12-31,4466.30000,11753.10000,1451.00000,17670.40000,500.80000,12620.20000,966.50000,15674.60000,33345.00000,16735.00000,5810.20000,1871.70000,8049.90000,24784.90000,208.50000,2882.30000,-726.10000,8560.10000,33345.00000
2020-12-31,3574.30000,6436.00000,1113.90000,11124.20000,450.70000,8526.90000,769.90000,11207.20000,22331.40000,10135.00000,4266.00000,1311.10000,5963.70000,16098.70000,193.70000,2371.70000,-643.60000,6232.70000,22331.40000
2019-12-31,2623.90000,5419.20000,1074.40000,9117.50000,467.40000,7937.20000,773.60000,10517.30000,19634.80000,8921.00000,3816.10000,1271.60000,5498.30000,14419.30000,188.10000,1901.30000,-759.60000,5215.50000,19634.80000
2018-12-31,2236.80000,4857.50000,1024.40000,8118.70000,436.90000,6398.60000,573.60000,8215.30000,16334.00000,7693.60000,3091.40000,900.90000,4070.70000,11764.30000,184.00000,1558.60000,-785.60000,4569.70000,16334.00000
2017-12-31,2305.00000,4082.80000,881.60000,7269.40000,412.20000,5809.40000,567.10000,7640.30000,14909.70000,6730.20000,2691.90000,1112.60000,3879.80000,10610.00000,181.00000,1221.80000,-555.40000,4299.70000,14909.70000
2016-12-31,1937.60000,1844.80000,633.70000,4416.10000,377.60000,5395.10000,504.30000,7073.50000,11489.60000,4611.70000,2144.60000,1077.50000,3222.10000,7833.80000,178.30000,916.40000,-763.60000,3655.80000,11489.60000
2015-12-31,1892.50000,1734.00000,587.20000,4213.70000,249.00000,5361.70000,442.60000,6696.80000,10910.50000,4187.10000,2071.70000,963.50000,3035.20000,7222.30000,176.90000,774.50000,-522.50000,3688.20000,10910.50000
2014-12-31,1682.00000,1462.50000,666.70000,3811.20000,195.40000,5225.60000,385.20000,6198.80000,10010.00000,3642.70000,2125.00000,937.20000,3062.20000,6704.90000,164.60000,676.00000,-260.60000,3305.10000,10010.00000
2013-12-31,1325.50000,1288.80000,261.30000,2875.60000,160.40000,3224.00000,320.70000,3984.90000,6860.50000,3284.80000,825.00000,665.20000,1490.20000,4775.00000,133.60000,596.40000,-2.60000,2085.50000,6860.50000
2012-12-31,1153.70000,1096.10000,179.70000,2429.50000,105.40000,2282.30000,283.30000,2922.80000,5352.30000,2362.90000,725.00000,605.80000,1330.80000,3693.70000,125.60000,510.40000,-32.80000,1658.60000,5352.30000
2011-12-31,983.70000,1027.10000,188.60000,2199.40000,91.30000,1716.80000,235.80000,2284.10000,4483.50000,2073.60000,675.00000,491.30000,1166.30000,3239.90000,114.70000,482.90000,-47.20000,1243.60000,4483.50000
2010-12-31,849.50000,750.10000,126.40000,1726.00000,75.80000,1367.20000,181.80000,1870.00000,3596.00000,1577.30000,550.00000,362.00000,912.00000,2489.30000,108.40000,488.30000,2.20000,1106.70000,3596.00000
2009-12-31,728.50000,693.70000,117.80000,1540.00000,80.70000,1180.70000,177.80000,1710.30000,3250.30000,1474.40000,550.00000,333.00000,883.00000,2357.40000,102.50000,450.30000,-9.00000,892.90000,3250.30000
