,cash-on-hand,receivables-total,pre-paid-expenses,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-01-31,1715.02800,1306.66600,152.87100,3276.88700,124.90000,46.43100,1566.39700,103.49700,2513.98800,5790.87500,2098.74200,3137.73100,19.49100,3469.36200,5568.10400,0.16700,-3808.54800,-1.19900,222.77100,5790.87500
2021-01-31,1858.91100,1114.19900,162.93900,3272.38000,182.78000,13.72800,1541.04100,85.42200,2596.10600,5868.48600,1524.74800,2302.63500,5.71000,2749.73300,4274.48100,0.16300,-2469.45100,-0.59200,1594.00500,5868.48600
2020-01-31,1755.16100,838.74300,129.83900,2822.81500,156.92800,35.37000,1531.25500,68.09300,2616.65600,5439.47100,1312.29600,1714.63000,0.65300,2127.74600,3440.04200,0.15700,-1561.47100,-5.31200,1999.42900,5439.47100
2019-01-31,2757.38500,469.65800,73.19700,3378.46300,158.27600,110.58800,595.01000,37.66900,1121.78000,4500.24300,1045.13800,1634.47400,95.24500,1934.64800,2979.78600,0.14900,-1232.04400,-2.50600,1520.45700,4500.24300
2018-01-31,1165.15000,396.41300,70.02100,1684.03500,160.88000,5.37500,209.52400,41.71100,455.41000,2139.44500,730.94900,,98.38300,277.17500,1008.12400,0.14300,-955.87100,0.15600,1131.32100,2139.44500
2017-01-31,1083.44200,238.28100,38.65000,1360.37300,166.39500,5.00000,162.35500,24.42300,358.17300,1718.54600,667.37300,,99.26000,246.01200,913.38500,0.13700,-1020.78400,-3.01300,805.16100,1718.54600
2016-01-31,1009.03900,181.66500,26.56500,1217.26900,134.99500,1.50000,172.80000,10.27500,319.57000,1536.83900,497.76600,,77.27700,179.65900,677.42500,0.13200,-665.59500,-3.77000,859.41400,1536.83900
2015-01-31,850.16400,128.41300,21.25600,999.83300,50.37400,165.08200,29.48600,3.01600,247.95800,1247.79100,346.64800,,33.62000,87.82200,434.47000,0.12300,-386.82300,-0.83700,813.32100,1247.79100
2014-01-31,897.45300,83.34800,12.01900,992.82000,15.50500,,31.36400,0.64200,47.51100,1040.33100,207.85400,,4.40400,47.56900,255.42300,0.11600,-169.70700,0.05800,784.90800,1040.33100
2013-01-31,305.93900,63.94800,6.86100,376.74800,13.20500,,,0.49200,13.69700,390.44500,116.95900,,0.79800,35.94200,152.90100,0.10100,-90.69900,-0.13500,237.54400,390.44500
2012-01-31,31.59900,34.49500,4.26100,70.35500,8.91900,,,2.94900,11.86800,82.22300,69.21300,1.30700,0.56100,13.74300,82.95600,0.02300,-54.01800,-0.02400,-0.73300,82.22300
2011-01-31,19.73700,14.14800,1.30700,35.19200,2.41800,,,1.18100,3.59900,38.79100,31.12300,,0.40200,4.22200,35.34500,0.01900,-43.02600,0.00200,3.44600,38.79100
2010-01-31,,,,,,,0.00000,,,0.00000,,,,,0.00000,0.00000,,,0.00000,0.00000
2009-01-31,,,,,,,,,,0.00000,,,,,,,,,,
