,cash-on-hand,receivables-total,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,220.90000,16249.00000,16469.90000,1034.00000,53830.80000,314.20000,1140.20000,58995.10000,75465.00000,53185.70000,6388.30000,6388.30000,59574.00000,584.90000,15721.20000,-2802.00000,15891.00000,75465.00000
2021-12-31,202.10000,14380.00000,14582.10000,1137.30000,51695.80000,570.00000,1791.50000,56550.20000,71132.30000,47849.00000,4898.80000,5051.70000,52900.70000,584.40000,15339.70000,40.70000,18231.60000,71132.30000
2020-12-31,76.50000,12179.50000,12256.00000,1106.00000,47706.70000,624.10000,1168.30000,51842.30000,64098.30000,41353.60000,5396.10000,5706.10000,47059.70000,585.20000,13354.90000,931.70000,17038.60000,64098.30000
2019-12-31,227.40000,10886.20000,11113.60000,1213.70000,39435.60000,681.00000,1410.10000,43796.90000,54910.50000,36486.60000,4407.10000,4750.70000,41237.30000,584.60000,10679.60000,341.70000,13673.20000,54910.50000
2018-12-31,75.00000,9193.20000,9268.20000,1131.70000,33758.20000,747.30000,674.80000,37306.80000,46575.00000,31133.80000,4404.90000,4619.40000,35753.20000,583.20000,8386.60000,-120.90000,10821.80000,46575.00000
2017-12-31,275.30000,7695.90000,7971.20000,1119.60000,27394.40000,819.30000,616.20000,30730.00000,38701.20000,25471.40000,3306.30000,3945.00000,29416.40000,581.70000,6031.70000,1282.20000,9284.80000,38701.20000
2016-12-31,226.40000,6394.00000,6620.40000,1177.10000,23586.50000,882.20000,510.10000,26807.10000,33427.50000,21727.20000,3148.20000,3743.20000,25470.40000,579.90000,5140.40000,933.40000,7957.10000,33427.50000
2015-12-31,224.40000,5476.50000,5700.90000,1037.20000,21039.50000,942.50000,535.10000,24118.40000,29819.30000,19247.80000,2707.90000,3282.10000,22529.90000,583.60000,4686.60000,800.40000,7289.40000,29819.30000
2014-12-31,108.40000,4769.40000,4877.80000,960.60000,19105.30000,12.90000,373.80000,20909.80000,25787.60000,16595.40000,2164.70000,2263.60000,18859.00000,587.80000,4133.40000,1023.10000,6928.60000,25787.60000
2013-12-31,75.10000,4400.90000,4476.00000,960.90000,18144.50000,,379.20000,19932.20000,24408.20000,16329.40000,1860.90000,1889.30000,18218.70000,595.80000,3500.00000,951.70000,6189.50000,24408.20000
2012-12-31,179.10000,4084.70000,4263.80000,933.70000,16565.50000,,497.20000,18430.90000,22694.70000,14624.60000,2063.10000,2063.10000,16687.70000,604.60000,3454.40000,871.00000,6007.00000,22694.70000
2011-12-31,155.70000,3747.80000,3903.50000,911.30000,16068.70000,,527.70000,17941.30000,21844.80000,13596.00000,2442.10000,2442.10000,16038.10000,613.00000,3495.00000,692.50000,5806.70000,21844.80000
2010-12-31,158.90000,3479.90000,3638.80000,932.60000,15632.70000,,529.00000,17511.50000,21150.30000,13143.20000,1958.20000,1958.20000,15101.40000,662.40000,3595.70000,783.70000,6048.90000,21150.30000
2009-12-31,160.70000,3019.60000,3180.30000,961.30000,14823.80000,,681.70000,16869.00000,20049.30000,12123.50000,2177.20000,2177.20000,14300.70000,672.60000,3683.10000,453.20000,5748.60000,20049.30000
