,cash-on-hand,receivables-total,pre-paid-expenses,total-current-assets,net-property-plant-equipment,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,645.00000,2921.00000,451.00000,4017.00000,36039.00000,99698.00000,4769.00000,140506.00000,144523.00000,12065.00000,96093.00000,4758.00000,119909.00000,131974.00000,-14821.00000,,12549.00000,144523.00000
2021-12-31,601.00000,2579.00000,386.00000,3566.00000,34310.00000,100968.00000,3647.00000,138925.00000,142491.00000,12458.00000,88564.00000,4217.00000,111877.00000,124335.00000,-12675.00000,,18156.00000,142491.00000
2020-12-31,1001.00000,2539.00000,369.00000,3909.00000,34357.00000,102491.00000,3449.00000,140297.00000,144206.00000,9875.00000,81744.00000,4198.00000,104050.00000,113925.00000,-5195.00000,,30281.00000,144206.00000
2019-12-31,3483.00000,2227.00000,761.00000,6471.00000,34591.00000,104329.00000,2797.00000,141717.00000,148188.00000,12385.00000,75578.00000,3703.00000,96992.00000,109377.00000,40.00000,,38811.00000,148188.00000
2018-12-31,551.00000,1733.00000,446.00000,2730.00000,35126.00000,106438.00000,1836.00000,143400.00000,146130.00000,12095.00000,69537.00000,2837.00000,89763.00000,101858.00000,2780.00000,-2.00000,44272.00000,146130.00000
2017-12-31,621.00000,1635.00000,299.00000,2555.00000,33888.00000,108824.00000,1356.00000,144068.00000,146623.00000,11090.00000,68186.00000,2502.00000,88002.00000,99092.00000,3832.00000,-1.00000,47531.00000,146623.00000
2016-12-31,1535.00000,1432.00000,333.00000,3300.00000,32963.00000,111433.00000,1371.00000,145767.00000,149067.00000,9572.00000,59719.00000,2745.00000,89129.00000,98701.00000,733.00000,-7.00000,50366.00000,149067.00000
2015-12-31,5.00000,279.00000,61.00000,345.00000,8345.00000,8030.00000,22596.00000,38971.00000,39316.00000,1972.00000,35723.00000,77.00000,37390.00000,39362.00000,-2061.00000,-13.00000,-46.00000,39316.00000
2014-12-31,3.00000,285.00000,57.00000,345.00000,8373.00000,8279.00000,7391.00000,24043.00000,24388.00000,1635.00000,20887.00000,72.00000,22607.00000,24242.00000,-1762.00000,-22.00000,146.00000,24388.00000
2013-12-31,21.00000,234.00000,67.00000,322.00000,7981.00000,8575.00000,417.00000,16973.00000,17295.00000,1467.00000,14181.00000,65.00000,15677.00000,17144.00000,-1568.00000,-41.00000,151.00000,17295.00000
2012-12-31,34.00000,234.00000,62.00000,330.00000,7206.00000,7664.00000,396.00000,15266.00000,15596.00000,1224.00000,12808.00000,94.00000,14223.00000,15447.00000,-1392.00000,-75.00000,149.00000,15596.00000
2011-12-31,29.00000,268.00000,60.00000,357.00000,6897.00000,7946.00000,401.00000,15244.00000,15601.00000,1157.00000,12856.00000,332.00000,14035.00000,15192.00000,-1082.00000,-65.00000,409.00000,15601.00000
2010-12-31,32.00000,247.00000,77.00000,356.00000,6819.00000,8208.00000,354.00000,15381.00000,15737.00000,1049.00000,12306.00000,336.00000,13210.00000,14259.00000,-235.00000,-57.00000,1478.00000,15737.00000
2009-12-31,754.00000,248.00000,69.00000,1071.00000,6833.00000,8558.00000,196.00000,15587.00000,16658.00000,968.00000,13252.00000,520.00000,13772.00000,14740.00000,2.00000,,1918.00000,16658.00000
