,cash-on-hand,receivables-total,inventory,pre-paid-expenses,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-03-31,2598.40000,469.10000,977.30000,172.50000,4217.30000,969.50000,,1011.60000,111.20000,3507.40000,7724.70000,2255.70000,1478.10000,322.70000,2933.00000,5188.70000,1.30000,6274.90000,-180.30000,2536.00000,7724.70000
2021-03-31,2776.50000,505.90000,759.00000,166.60000,4208.00000,1014.00000,,1055.70000,86.40000,3679.50000,7887.50000,1584.80000,2003.40000,400.40000,3698.30000,5283.10000,1.30000,5872.90000,-120.80000,2604.40000,7887.50000
2020-03-31,2116.30000,361.90000,736.20000,160.80000,3375.20000,979.50000,,1056.50000,111.90000,3904.70000,7279.90000,2092.00000,396.40000,530.10000,2494.80000,4586.80000,1.30000,5994.00000,-118.20000,2693.10000,7279.90000
2019-03-31,1987.50000,430.20000,817.80000,359.30000,3594.80000,1039.20000,,1083.30000,158.50000,2348.00000,5942.80000,1200.10000,689.10000,766.40000,1455.50000,2655.60000,1.30000,5979.10000,-103.40000,3287.20000,5942.80000
2018-03-31,2004.00000,459.40000,761.30000,323.70000,3548.40000,1186.30000,,1138.50000,183.50000,2594.90000,6143.30000,1587.20000,288.00000,810.70000,1098.70000,2685.90000,1.30000,5752.20000,-98.50000,3457.40000,6143.30000
2017-03-31,1353.00000,529.60000,791.50000,280.40000,2954.50000,1316.00000,,1124.40000,131.20000,2697.50000,5652.00000,1159.90000,588.20000,604.30000,1192.50000,2352.40000,1.20000,5751.90000,-198.40000,3299.60000,5652.00000
2016-03-31,1085.70000,574.30000,1124.60000,268.10000,3052.70000,1583.20000,,1161.80000,296.70000,3160.40000,6213.10000,1198.30000,597.00000,674.30000,1271.30000,2469.60000,1.20000,6015.00000,-181.50000,3743.50000,6213.10000
2015-03-31,1144.00000,712.00000,1042.00000,281.00000,3324.00000,1436.00000,,1170.00000,131.00000,2782.00000,6106.00000,1186.00000,298.00000,731.00000,1029.00000,2215.00000,1.00000,5787.00000,-165.00000,3891.00000,6106.00000
2014-03-31,1285.00000,650.00000,1020.00000,224.00000,3329.00000,1322.00000,,1263.00000,135.00000,2759.00000,6088.00000,970.00000,298.00000,786.00000,1084.00000,2054.00000,1.00000,5257.00000,114.00000,4034.00000,6088.00000
2013-03-31,1299.00000,487.00000,896.00000,161.00000,2963.00000,932.00000,81.00000,1296.00000,124.00000,2455.00000,5418.00000,1121.00000,,512.00000,512.00000,1633.00000,1.00000,4647.00000,94.00000,3785.00000,5418.00000
2012-03-31,1187.30000,564.40000,841.60000,181.00000,2899.90000,884.10000,99.90000,1363.00000,129.70000,2516.50000,5416.40000,946.20000,274.40000,543.30000,817.70000,1763.90000,1.20000,4042.40000,196.60000,3652.50000,5416.40000
2011-03-31,1046.90000,500.60000,702.10000,136.30000,2478.00000,788.80000,83.60000,1404.00000,150.00000,2503.10000,4981.10000,832.00000,291.90000,552.50000,844.40000,1676.40000,1.20000,3435.30000,215.80000,3304.70000,4981.10000
2010-03-31,1147.20000,383.20000,504.00000,138.40000,2275.80000,697.20000,75.50000,1349.80000,148.70000,2373.10000,4648.90000,747.30000,282.10000,502.90000,785.00000,1532.30000,1.20000,2915.30000,154.00000,3116.60000,4648.90000
2009-03-31,819.90000,474.90000,525.10000,135.00000,2056.70000,651.60000,29.70000,1315.30000,200.40000,2299.80000,4356.50000,674.10000,406.40000,386.10000,947.30000,1621.40000,1.10000,2465.50000,126.80000,2735.10000,4356.50000
