,cash-on-hand,receivables-total,pre-paid-expenses,other-current-assets,total-current-assets,net-property-plant-equipment,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-03-31,2672.00000,3854.00000,617.00000,303.00000,7446.00000,2412.00000,3995.00000,4932.00000,12693.00000,20139.00000,6853.00000,4065.00000,585.00000,7911.00000,14764.00000,3.00000,-4450.00000,-385.00000,5375.00000,20139.00000
2021-03-31,2968.00000,4156.00000,567.00000,517.00000,8208.00000,2946.00000,4684.00000,4545.00000,13830.00000,22038.00000,8150.00000,4345.00000,928.00000,8580.00000,16730.00000,3.00000,-5331.00000,-302.00000,5308.00000,22038.00000
2020-03-31,3679.00000,4392.00000,646.00000,270.00000,8987.00000,3547.00000,7748.00000,4031.00000,17019.00000,26006.00000,7895.00000,8672.00000,1751.00000,12982.00000,20877.00000,3.00000,-5177.00000,-603.00000,5129.00000,26006.00000
2019-03-31,2899.00000,5181.00000,627.00000,359.00000,9066.00000,3179.00000,13545.00000,3429.00000,20508.00000,29574.00000,9453.00000,5470.00000,1880.00000,8396.00000,17849.00000,3.00000,478.00000,-244.00000,11725.00000,29574.00000
2018-03-31,2593.00000,5481.00000,496.00000,469.00000,9620.00000,3363.00000,13995.00000,3207.00000,24301.00000,33921.00000,9852.00000,6092.00000,2010.00000,10232.00000,20084.00000,3.00000,1301.00000,58.00000,13837.00000,33921.00000
2017-03-31,1263.00000,1643.00000,223.00000,118.00000,3247.00000,903.00000,3649.00000,483.00000,5416.00000,8663.00000,2950.00000,2225.00000,694.00000,3547.00000,6497.00000,1.00000,-170.00000,-162.00000,2166.00000,8663.00000
2016-03-31,1178.00000,1831.00000,403.00000,,3412.00000,1025.00000,2605.00000,349.00000,4324.00000,7736.00000,2608.00000,1934.00000,516.00000,3096.00000,5704.00000,149.00000,33.00000,-111.00000,2032.00000,7736.00000
2015-03-31,2076.00000,1682.00000,292.00000,,4856.00000,1110.00000,1882.00000,498.00000,5365.00000,10221.00000,3564.00000,1635.00000,209.00000,3692.00000,7256.00000,148.00000,928.00000,21.00000,2965.00000,10221.00000
2014-03-31,2443.00000,2759.00000,426.00000,,5628.00000,2031.00000,2744.00000,986.00000,5761.00000,11389.00000,3462.00000,2207.00000,1776.00000,3983.00000,7445.00000,155.00000,1592.00000,279.00000,3944.00000,11389.00000
2013-03-31,2054.00000,3199.00000,420.00000,,5673.00000,2184.00000,2632.00000,762.00000,5578.00000,11251.00000,3349.00000,2498.00000,2244.00000,4742.00000,8091.00000,159.00000,1101.00000,108.00000,3160.00000,11251.00000
2012-03-31,1093.00000,3257.00000,533.00000,,4883.00000,2441.00000,2963.00000,902.00000,6306.00000,11189.00000,4536.00000,1486.00000,2333.00000,3819.00000,8355.00000,164.00000,1930.00000,-1093.00000,2834.00000,11189.00000
2011-03-31,1837.00000,3719.00000,2001.00000,,7557.00000,2496.00000,5247.00000,820.00000,8563.00000,16120.00000,4178.00000,2409.00000,1973.00000,4382.00000,8560.00000,163.00000,6296.00000,-690.00000,7560.00000,16120.00000
2010-03-31,2784.00000,3849.00000,1789.00000,,8422.00000,2241.00000,5019.00000,773.00000,8033.00000,16455.00000,4122.00000,3669.00000,2156.00000,5825.00000,9947.00000,162.00000,5709.00000,-1052.00000,6508.00000,16455.00000
2009-03-31,2297.00000,3786.00000,1624.00000,,7707.00000,2353.00000,4944.00000,615.00000,7912.00000,15619.00000,4016.00000,4173.00000,1812.00000,5985.00000,10001.00000,160.00000,4893.00000,-1004.00000,5618.00000,15619.00000
