,cash-on-hand,receivables-total,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,other-share-holders-equity,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,4964.00000,2518.00000,2329.00000,168.00000,11270.00000,5731.00000,733.00000,22158.00000,103.00000,30085.00000,41355.00000,3733.00000,7774.00000,1151.00000,10605.00000,14338.00000,5.00000,-21065.00000,-791.00000,,27017.00000,41355.00000
2021-12-31,1972.00000,2159.00000,2086.00000,422.00000,14303.00000,5753.00000,919.00000,23203.00000,53.00000,31404.00000,45707.00000,4931.00000,10632.00000,873.00000,13726.00000,18657.00000,5.00000,-23187.00000,41.00000,,27050.00000,45707.00000
2020-12-31,2544.00000,2421.00000,2393.00000,991.00000,29008.00000,6867.00000,1047.00000,26774.00000,6206.00000,41896.00000,70904.00000,12226.00000,15611.00000,834.00000,19608.00000,31834.00000,7.00000,-11586.00000,44.00000,,39070.00000,70904.00000
2019-12-31,1540.00000,3802.00000,4319.00000,338.00000,9999.00000,10143.00000,1260.00000,46744.00000,,59350.00000,69349.00000,8346.00000,13617.00000,1191.00000,19447.00000,27793.00000,7.00000,-8400.00000,-1416.00000,,41556.00000,69349.00000
2018-12-31,8577.00000,3391.00000,4107.00000,305.00000,126655.00000,9917.00000,1820.00000,49151.00000,,61200.00000,187855.00000,73312.00000,12624.00000,764.00000,18643.00000,91955.00000,8.00000,30257.00000,-12394.00000,-134.00000,95900.00000,187855.00000
2017-12-31,14394.00000,16893.00000,16992.00000,1614.00000,49893.00000,36247.00000,8580.00000,92801.00000,,142271.00000,192164.00000,26128.00000,30056.00000,9206.00000,64109.00000,90237.00000,23.00000,29211.00000,-8972.00000,-189.00000,101927.00000,192164.00000
2016-12-31,6607.00000,8978.00000,7363.00000,711.00000,23659.00000,23486.00000,7424.00000,21298.00000,,55852.00000,79511.00000,12604.00000,20456.00000,6924.00000,39678.00000,52282.00000,3107.00000,30338.00000,-9822.00000,-239.00000,27229.00000,79511.00000
2015-12-31,8577.00000,7846.00000,6871.00000,647.00000,23941.00000,17854.00000,7697.00000,15771.00000,,43997.00000,67938.00000,11115.00000,16215.00000,4719.00000,30640.00000,41755.00000,3107.00000,28425.00000,-8667.00000,-272.00000,26183.00000,67938.00000
2014-12-31,5654.00000,9372.00000,8101.00000,316.00000,24255.00000,18051.00000,7260.00000,16400.00000,62.00000,44432.00000,68687.00000,11581.00000,18741.00000,3728.00000,33752.00000,45333.00000,3107.00000,23045.00000,-8017.00000,-325.00000,23354.00000,68687.00000
2013-12-31,5940.00000,9647.00000,8303.00000,344.00000,24977.00000,17454.00000,7407.00000,17112.00000,86.00000,44524.00000,69501.00000,11971.00000,16820.00000,3736.00000,29606.00000,41577.00000,3054.00000,21407.00000,-4827.00000,-357.00000,27924.00000,69501.00000
2012-12-31,4318.00000,9679.00000,8476.00000,334.00000,23684.00000,17520.00000,6999.00000,17450.00000,155.00000,45921.00000,69605.00000,11493.00000,19919.00000,3883.00000,36245.00000,47738.00000,3008.00000,18495.00000,-7516.00000,-391.00000,21867.00000,69605.00000
2011-12-31,5446.00000,9626.00000,7577.00000,302.00000,23422.00000,17299.00000,7057.00000,17991.00000,172.00000,45802.00000,69224.00000,13634.00000,18310.00000,3717.00000,32299.00000,45933.00000,2961.00000,19087.00000,-5996.00000,-434.00000,23291.00000,69224.00000
2010-12-31,7039.00000,9044.00000,7087.00000,349.00000,24130.00000,17668.00000,6383.00000,18497.00000,220.00000,45458.00000,69588.00000,13896.00000,20605.00000,3658.00000,33050.00000,46946.00000,2931.00000,17736.00000,-4399.00000,-476.00000,22642.00000,69588.00000
2009-12-31,2846.00000,9195.00000,6847.00000,,19542.00000,18141.00000,5995.00000,19179.00000,330.00000,46476.00000,66018.00000,13105.00000,19152.00000,4028.00000,31789.00000,44894.00000,2906.00000,16704.00000,-3892.00000,-519.00000,21124.00000,66018.00000
