,cash-on-hand,receivables-total,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,other-share-holders-equity,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,24871.00000,17976.00000,17403.00000,5983.00000,66234.00000,14478.00000,36048.00000,33423.00000,23008.00000,121554.00000,187788.00000,56947.00000,28593.00000,61522.00000,93258.00000,150206.00000,15.00000,84693.00000,-1311.00000,34173.00000,37582.00000,187788.00000
2021-12-31,28067.00000,15620.00000,15847.00000,6814.00000,66348.00000,15609.00000,42209.00000,35512.00000,25164.00000,132526.00000,198874.00000,51953.00000,30824.00000,71608.00000,105308.00000,157262.00000,15.00000,85110.00000,1582.00000,34691.00000,41612.00000,198874.00000
2020-12-31,43849.00000,16691.00000,15890.00000,8423.00000,84853.00000,16699.00000,42549.00000,35195.00000,21913.00000,171358.00000,256211.00000,54613.00000,70189.00000,86649.00000,164525.00000,219138.00000,702.00000,92247.00000,-9749.00000,34307.00000,37073.00000,256211.00000
2019-12-31,45699.00000,20280.00000,17215.00000,19901.00000,103096.00000,45879.00000,38632.00000,37387.00000,19619.00000,162081.00000,265177.00000,78865.00000,67241.00000,87451.00000,156450.00000,235316.00000,702.00000,87732.00000,-11732.00000,34405.00000,29861.00000,265177.00000
2018-12-31,64632.00000,29487.00000,13803.00000,,107922.00000,43611.00000,,46152.00000,37417.00000,203150.00000,311072.00000,60451.00000,88949.00000,90912.00000,199142.00000,259591.00000,702.00000,93109.00000,-14414.00000,35504.00000,51481.00000,311072.00000
2017-12-31,82663.00000,40846.00000,19419.00000,,142928.00000,53874.00000,,104241.00000,53469.00000,226315.00000,369245.00000,79296.00000,108575.00000,103778.00000,216450.00000,295747.00000,702.00000,117245.00000,-14403.00000,37384.00000,73498.00000,369245.00000
2016-12-31,92442.00000,42262.00000,22354.00000,,157058.00000,50518.00000,,86874.00000,54083.00000,208123.00000,365183.00000,81580.00000,105080.00000,93851.00000,206114.00000,287692.00000,702.00000,139532.00000,-18599.00000,37224.00000,77491.00000,365183.00000
2015-12-31,102456.00000,45856.00000,22515.00000,,170827.00000,54095.00000,,83323.00000,60771.00000,322245.00000,493071.00000,105080.00000,144659.00000,93734.00000,287852.00000,392933.00000,702.00000,140020.00000,-16529.00000,37613.00000,100138.00000,493071.00000
2014-12-31,105530.00000,42943.00000,17689.00000,,166162.00000,48070.00000,,66389.00000,44622.00000,488793.00000,654954.00000,111669.00000,186596.00000,91525.00000,406452.00000,518121.00000,702.00000,155333.00000,-18173.00000,32889.00000,136833.00000,654954.00000
2013-12-31,132536.00000,272442.00000,17325.00000,,422303.00000,68827.00000,,91958.00000,70858.00000,234257.00000,656560.00000,123087.00000,221665.00000,171092.00000,396690.00000,519777.00000,702.00000,149051.00000,-9120.00000,32494.00000,136783.00000,656560.00000
2012-12-31,125778.00000,285004.00000,15374.00000,,426156.00000,68633.00000,,85094.00000,101855.00000,258843.00000,684999.00000,144798.00000,236084.00000,172914.00000,411731.00000,556529.00000,702.00000,144055.00000,-20230.00000,33070.00000,128470.00000,684999.00000
2011-12-31,131875.00000,307957.00000,13792.00000,,453624.00000,65739.00000,,84693.00000,112412.00000,264565.00000,718189.00000,181953.00000,243459.00000,173145.00000,418102.00000,600055.00000,702.00000,137786.00000,-23974.00000,33693.00000,118134.00000,718189.00000
2010-12-31,122881.00000,329204.00000,11526.00000,,463611.00000,66212.00000,,74359.00000,131186.00000,284182.00000,747793.00000,156716.00000,293323.00000,168216.00000,466879.00000,623595.00000,702.00000,131137.00000,-17855.00000,36890.00000,124198.00000,747793.00000
2009-12-31,121831.00000,349761.00000,11987.00000,,483579.00000,68970.00000,,76827.00000,137397.00000,298322.00000,781901.00000,176115.00000,336172.00000,133911.00000,480650.00000,656765.00000,702.00000,126363.00000,-15265.00000,37729.00000,125136.00000,781901.00000
