,cash-on-hand,receivables-total,inventory,pre-paid-expenses,total-current-assets,net-property-plant-equipment,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,other-share-holders-equity,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,944.00000,1096.00000,799.00000,173.00000,3012.00000,630.00000,3649.00000,661.00000,4940.00000,7952.00000,1590.00000,1880.00000,471.00000,2859.00000,4449.00000,2.00000,2292.00000,-226.00000,,3503.00000,7952.00000
2021-12-31,1349.00000,953.00000,700.00000,158.00000,3160.00000,644.00000,3808.00000,664.00000,5116.00000,8276.00000,1391.00000,2440.00000,494.00000,3659.00000,5050.00000,2.00000,2154.00000,-371.00000,,3226.00000,8276.00000
2020-12-31,1875.00000,923.00000,558.00000,167.00000,3523.00000,657.00000,3947.00000,623.00000,5227.00000,8750.00000,1956.00000,2484.00000,573.00000,3818.00000,5774.00000,2.00000,1930.00000,-413.00000,,2976.00000,8750.00000
2019-12-31,724.00000,1036.00000,539.00000,151.00000,2450.00000,658.00000,4013.00000,589.00000,5260.00000,7710.00000,1501.00000,2040.00000,447.00000,3242.00000,4743.00000,2.00000,1866.00000,-375.00000,,2967.00000,7710.00000
2018-12-31,296.00000,1031.00000,595.00000,172.00000,2094.00000,656.00000,4208.00000,264.00000,5128.00000,7222.00000,1389.00000,2051.00000,297.00000,3051.00000,4440.00000,2.00000,1639.00000,-336.00000,,2782.00000,7222.00000
2017-12-31,414.00000,956.00000,524.00000,177.00000,2071.00000,643.00000,3936.00000,210.00000,4789.00000,6860.00000,1100.00000,2200.00000,347.00000,3241.00000,4341.00000,2.00000,1227.00000,-210.00000,,2519.00000,6860.00000
2016-12-31,308.00000,843.00000,522.00000,166.00000,1839.00000,616.00000,3833.00000,186.00000,4635.00000,6474.00000,1238.00000,2108.00000,161.00000,3029.00000,4267.00000,2.00000,1033.00000,-318.00000,,2207.00000,6474.00000
2015-12-31,680.00000,749.00000,433.00000,143.00000,2005.00000,439.00000,2019.00000,194.00000,2652.00000,4657.00000,823.00000,1196.00000,101.00000,1750.00000,2573.00000,2.00000,885.00000,-238.00000,,2084.00000,4657.00000
2014-12-31,663.00000,771.00000,486.00000,144.00000,2064.00000,461.00000,2105.00000,203.00000,2769.00000,4833.00000,903.00000,1195.00000,84.00000,1803.00000,2706.00000,2.00000,648.00000,-99.00000,,2127.00000,4833.00000
2013-12-31,533.00000,817.00000,475.00000,143.00000,2009.00000,488.00000,2206.00000,193.00000,2887.00000,4896.00000,853.00000,1199.00000,64.00000,1802.00000,2655.00000,2.00000,405.00000,167.00000,,2241.00000,4896.00000
2012-12-31,504.00000,776.00000,443.00000,110.00000,1874.00000,487.00000,2131.00000,187.00000,2805.00000,4679.00000,781.00000,1199.00000,52.00000,1824.00000,2605.00000,2.00000,264.00000,115.00000,,2074.00000,4679.00000
2011-12-31,318.00000,756.00000,433.00000,97.00000,1649.00000,463.00000,2115.00000,173.00000,2751.00000,4400.00000,817.00000,1201.00000,67.00000,1752.00000,2569.00000,2.00000,44.00000,122.00000,,1831.00000,4400.00000
2010-12-31,131.00000,690.00000,389.00000,79.00000,1336.00000,454.00000,1853.00000,92.00000,2399.00000,3735.00000,649.00000,4.00000,101.00000,367.00000,1016.00000,,,37.00000,2682.00000,2719.00000,3735.00000
2009-12-31,,,,,,,0.00000,,,0.00000,,,,,0.00000,0.00000,,,0.00000,0.00000,0.00000
