,cash-on-hand,receivables-total,total-current-assets,long-term-investments,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,1398.00000,6319.00000,7717.00000,217.00000,2596.00000,3775.00000,39966.00000,27914.00000,3084.00000,527.00000,3611.00000,31525.00000,1.00000,12042.00000,-1996.00000,8441.00000,39966.00000
2021-12-31,1441.00000,5349.00000,6790.00000,28381.00000,2141.00000,31394.00000,38184.00000,24401.00000,3089.00000,557.00000,3646.00000,28047.00000,1.00000,11700.00000,12.00000,10140.00000,38184.00000
2020-12-31,801.65100,4675.11700,5476.76800,24801.25000,1794.18500,27234.74000,32711.50000,20309.81000,1910.39200,765.12500,2675.51700,22985.33000,0.69600,10567.45000,534.89900,9726.17600,32711.50000
2019-12-31,808.03600,4022.55900,4830.59500,20057.27000,1548.61400,22493.46000,27324.05000,17067.80000,633.83200,489.49800,1123.33000,18191.13000,0.69400,10306.57000,28.15200,9132.92500,27324.05000
2018-12-31,656.09500,4565.31800,5221.41300,17881.59000,1136.41600,19529.58000,24750.99000,16003.63000,633.61300,252.95200,886.56490,16890.20000,0.69200,9531.43300,-462.55700,7860.79700,24750.99000
2017-12-31,635.06700,3492.54500,4127.61200,18089.17000,963.42100,19464.18000,23591.79000,14174.66000,633.39500,414.50000,1047.89500,15222.56000,0.69100,9685.90800,-160.89100,8369.23200,23591.79000
2016-12-31,481.92200,2682.01900,3163.94100,17097.64000,715.87100,18157.56000,21321.50000,12231.07000,633.17600,381.86300,1015.03900,13246.11000,0.68900,9422.93200,-216.76400,8075.39600,21321.50000
2015-12-31,283.65800,2635.66800,2919.32600,16493.68000,760.05200,17626.09000,20545.42000,11986.53000,632.95800,317.34100,950.29900,12936.83000,0.68600,8621.97200,-231.75500,7608.58500,20545.42000
2014-12-31,437.47400,2253.59900,2691.07300,17109.54000,618.80500,18126.75000,20817.82000,11902.21000,638.36400,404.58300,1464.49900,13366.70000,0.68300,7819.21000,48.31700,7451.12000,20817.82000
2013-12-31,611.38200,2172.33100,2783.71300,16104.16000,556.44300,17024.32000,19808.04000,11835.35000,488.31900,422.71500,1004.41200,12839.76000,0.68000,6765.96700,157.72800,6968.27600,19808.04000
2012-12-31,537.05000,1965.38200,2502.43200,16169.36000,540.82800,17275.48000,19777.91000,11884.61000,818.16100,341.66900,1159.83000,13044.44000,0.67100,5613.26600,537.04900,6733.46700,19777.91000
2011-12-31,448.65100,1699.51000,2148.16100,15478.92000,555.66200,16745.39000,18893.55000,11744.76000,818.10900,259.31200,1077.42100,12822.18000,0.66500,4884.71400,366.97800,6071.37500,18893.55000
2010-12-31,258.40800,1653.76500,1912.17300,15255.60000,683.55400,16472.03000,18384.20000,11055.86000,868.06000,176.75600,1044.81600,12100.68000,0.66000,5069.04800,332.25800,6283.51700,18384.20000
2009-12-31,247.59800,1760.12500,2007.72300,14830.10000,626.96900,15993.59000,18001.31000,10628.17000,1017.98400,253.43900,1271.42300,11899.59000,0.65800,4566.77100,272.03800,6101.72200,18001.31000
