,cash-on-hand,receivables-total,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,6305.10100,15711.70000,2198.80000,682.00000,24897.60000,3468.40000,4909.50000,8377.90000,33275.50000,9918.00000,7866.70000,1490.10000,10190.40000,20108.40000,522.00000,13402.40000,-953.40000,13167.10000,33275.50000
2021-12-31,4987.70000,13495.90000,1976.00000,732.90000,21192.50000,3398.10000,4918.80000,8316.90000,29509.40000,8379.50000,7128.80000,1487.60000,9535.89900,17915.40000,347.30000,12025.80000,-921.10000,11594.00000,29509.40000
2020-12-31,4968.60000,13018.20000,1221.90000,515.60000,19724.30000,3270.40000,5265.30000,8535.69900,28260.00000,7561.90000,7508.90000,1944.60000,10308.10000,17870.00000,346.60000,11005.20000,-1050.30000,10390.00000,28260.00000
2019-12-31,5337.20000,13392.10000,1153.20000,388.00000,20270.50000,2883.80000,5206.80000,8090.60000,28361.10000,8729.90000,7112.50000,1435.10000,9925.10000,18655.00000,346.30000,10398.50000,-1100.10000,9706.10000,28361.10000
2018-12-31,4456.30000,12155.20000,1184.70000,364.70000,18160.90000,2480.90000,4840.60000,7321.50000,25482.40000,7786.80000,6409.70000,1145.70000,9102.70000,16889.50000,346.60000,9275.40000,-1098.50000,8592.90000,25482.40000
2017-12-31,3731.80000,10825.00000,928.40000,404.40000,15889.60000,2464.40000,5086.20000,7550.60000,23440.20000,6391.70000,5945.50000,939.80000,8998.00000,15389.70000,351.80000,8369.10000,-793.60000,8050.50000,23440.20000
2016-12-31,3056.60000,9699.60000,727.80000,225.60000,13709.60000,2260.00000,4669.30000,6929.30000,20638.90000,5087.00000,6027.70000,739.10000,8774.30000,13861.30000,350.70000,7484.90000,-1128.10000,6777.60000,20638.90000
2015-12-31,3464.50000,10182.60000,796.50000,245.70000,14689.30000,2176.40000,4244.10000,6420.50000,21109.80000,5717.70000,5795.00000,720.20000,8451.70000,14169.40000,351.30000,7536.80000,-1017.00000,6940.40000,21109.80000
2014-12-31,3009.60000,10089.70000,925.70000,290.50000,14315.50000,2313.30000,3990.00000,6303.30000,20618.80000,5678.00000,5588.70000,718.80000,8187.60000,13865.60000,355.20000,6863.80000,-579.80000,6753.20000,20618.80000
2013-12-31,3017.60000,9831.70000,813.60000,308.10000,13971.00000,2513.30000,4241.20000,6754.50000,20725.50000,5524.40000,5765.30000,734.40000,8566.80000,14091.20000,354.30000,6165.10000,8.70000,6634.30000,20725.50000
2012-12-31,2465.10000,9200.40000,782.40000,331.70000,12779.60000,2312.90000,3535.30000,5848.20000,18627.80000,5945.40000,4317.40000,674.60000,6835.50000,12780.90000,353.40000,5596.40000,-159.50000,5846.90000,18627.80000
2011-12-31,3016.80000,8237.50000,710.40000,249.10000,12213.80000,1973.30000,2985.60000,4958.90000,17172.70000,6901.00000,2745.50000,507.00000,4907.30000,11808.30000,356.80000,5174.50000,-219.00000,5364.40000,17172.70000
2010-12-31,2491.30000,6681.30000,534.00000,218.60000,9925.20000,1673.70000,2635.20000,4308.90000,14234.10000,4347.60000,2880.80000,934.10000,4528.70000,8876.30000,365.30000,4846.10000,41.30000,5357.80000,14234.10000
2009-12-31,2131.50000,7052.40000,632.10000,224.30000,10040.30000,1757.70000,2771.00000,4528.70000,14569.00000,4716.40000,3061.60000,952.50000,4748.90000,9465.30000,364.40000,4640.50000,36.20000,5103.70000,14569.00000
