,cash-on-hand,receivables-total,pre-paid-expenses,other-current-assets,total-current-assets,net-property-plant-equipment,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,total-share-holder-equity,total-liabilities-share-holders-equity
2022-06-30,48.78700,361.89400,125.53700,20.20100,613.52400,211.70900,1193.05500,293.52600,1842.04000,2455.56400,543.83000,115.00000,50.99600,530.11100,1073.94100,1.03900,2636.34200,1381.62300,2455.56400
2021-06-30,50.99200,336.80700,109.72300,,543.73700,252.48100,1163.52300,249.21000,1792.41900,2336.15600,520.86000,100.08300,59.31100,496.00400,1016.86400,1.03800,2412.49600,1319.29200,2336.15600
2020-06-30,213.34500,321.99600,95.52500,,669.10100,273.43200,1151.82500,220.59100,1759.37300,2428.47400,494.84500,0.20800,68.27400,383.94100,878.78600,1.03600,2235.32000,1549.68800,2428.47400
2019-06-30,93.62800,327.89700,106.46600,6.35500,569.44800,272.47400,1118.08000,134.74300,1615.38100,2184.82900,469.96200,,14.29000,285.85400,755.81600,1.03500,2066.07300,1429.01300,2184.82900
2018-06-30,31.44000,318.94200,96.06900,1.30000,470.74200,285.55000,1091.60200,110.29900,1562.31600,2033.05800,448.05500,,12.87200,262.15900,710.21400,1.03300,1912.93300,1322.84400,2033.05800
2017-06-30,114.76500,297.05800,66.89400,,520.03100,282.93400,926.60800,82.52500,1388.91400,1908.94500,471.19200,50.00000,7.55400,405.70200,876.89400,1.03100,1585.27800,1032.05100,1908.94500
2016-06-30,70.31000,269.55900,56.58800,,431.92900,298.56400,914.75900,70.46100,1383.58300,1815.51200,443.73200,,9.44000,375.57000,819.30200,1.02900,1431.19200,996.21000,1815.51200
2015-06-30,148.31300,248.14000,69.09600,,493.49900,296.33200,898.14900,52.43200,1343.33600,1836.83500,443.61100,50.10200,8.92200,401.69000,845.30100,1.02700,1266.44300,991.53400,1836.83500
2014-06-30,70.37700,231.97800,61.07400,,390.50600,291.67500,875.40700,44.65700,1290.19700,1680.70300,446.80900,3.72900,9.68300,266.50700,713.31600,1.02400,1131.63200,967.38700,1680.70300
2013-06-30,127.90500,237.37000,60.84300,,456.11900,300.51100,822.45000,35.47000,1216.26700,1672.38600,434.20200,7.36600,5.58600,222.36800,656.57000,1.02000,1016.16800,1015.81600,1672.38600
2012-06-30,157.31300,226.78100,84.55500,,468.64900,276.73000,822.24600,51.86700,1150.84300,1619.49200,402.24300,106.16600,7.00200,234.19300,636.43600,1.01500,944.07800,983.05600,1619.49200
2011-06-30,64.12500,224.62600,65.19900,,353.95000,270.18600,834.08610,47.57500,1151.84700,1505.79700,380.51100,127.93900,10.00000,245.51000,626.02100,1.00800,827.22200,879.77600,1505.79700
2010-06-30,126.51800,215.39000,51.19400,,393.10200,274.67000,856.31010,36.47800,1167.45800,1560.56000,444.38500,272.73200,8.07000,365.80300,810.18800,0.99800,724.14200,750.37200,1560.56000
2009-06-30,119.25100,195.42500,44.08800,,359.64600,237.77800,434.52800,18.74800,691.05400,1050.70000,344.40700,,6.74000,79.78700,424.19400,0.98000,636.73300,626.50600,1050.70000
