,cash-on-hand,receivables-total,total-current-assets,net-property-plant-equipment,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,857.97500,7.61400,865.58900,29945.44000,3253.44900,34657.81000,35523.40000,2471.25900,10159.76000,209.13100,10378.50000,12849.76000,1.70700,,-20.81200,22673.63000,35523.40000
2021-12-31,415.22700,7.37900,422.60600,24980.67000,3573.86500,29796.77000,30219.37000,2210.41000,8791.86600,183.84700,8985.32500,11195.74000,1.58000,,-7.29400,19023.64000,30219.37000
2020-12-31,597.70500,7.33300,605.03800,18092.37000,3135.04400,22222.84000,22827.88000,1669.83200,7563.28600,150.98200,7725.61000,9395.44200,1.36700,,-6.62500,13432.44000,22827.88000
2019-12-31,242.68900,10.69100,253.38000,14844.04000,2381.19800,18137.12000,18390.50000,1320.26800,6777.47900,126.27800,6916.05700,8236.32500,1.20800,,-9.74900,10154.18000,18390.50000
2018-12-31,272.13000,9.79800,281.92800,11913.69000,1500.02800,14183.03000,14464.96000,981.70700,5478.25500,110.28000,5599.32100,6581.02800,1.11000,,-10.43500,7883.92800,14464.96000
2017-12-31,277.18600,10.26200,287.44800,10298.02000,862.32500,11816.50000,12103.95000,763.83200,4764.80700,92.14500,4868.46000,5632.29300,0.99800,,50.02400,6471.66000,12103.95000
2016-12-31,141.36600,9.74400,151.11000,9128.19200,543.67400,10203.78000,10354.89000,731.67100,4164.02500,76.91400,4252.24600,4983.91700,0.87700,,5.35500,5370.97100,10354.89000
2015-12-31,153.97000,10.48500,164.45500,7757.13400,486.77700,8716.56300,8881.01700,589.35600,3935.69200,62.00500,4011.91500,4601.26600,0.72500,,49.19100,4279.74600,8881.01700
2014-12-31,112.89500,10.54800,123.44300,7226.01600,350.65500,8012.59300,8136.03600,489.08500,3678.57900,58.81400,3751.70800,4240.79300,0.71500,,-0.62800,3895.24300,8136.03600
2013-12-31,85.40500,9.91800,95.32300,6776.91400,274.44400,7434.44100,7529.76400,435.34200,3061.06100,54.42000,3129.92500,3565.26700,0.71200,,-36.20400,3964.49700,7529.76400
2012-12-31,180.91800,8.44900,189.36700,6424.57800,205.72700,6960.74900,7150.11600,423.70800,3181.94900,41.40100,3237.91400,3661.62200,0.63200,,-24.83300,3488.49400,7150.11600
2011-12-31,101.87100,7.48000,109.35100,6008.44000,178.69100,6464.77800,6574.12900,325.39300,2779.26400,36.57900,2831.87700,3157.27000,0.61600,,-34.51100,3416.85900,6574.12900
2010-12-31,119.58600,5.49200,125.07800,5444.81400,130.07400,5780.78300,5905.86100,304.25700,2584.16200,31.11400,2631.19600,2935.45300,0.55000,0.73400,-18.33500,2970.40800,5905.86100
2009-12-31,117.91900,3.90200,121.82100,5039.12800,199.57800,5335.40600,5457.22700,282.51600,2746.94600,21.68600,2810.07300,3092.58900,0.43800,,-33.73000,2364.63800,5457.22700
